"","id","adj.P.Val.XBirA.over.No_BirA","AveExpr.XBirA.over.No_BirA","Log.P.Value.XBirA.over.No_BirA","logFC.XBirA.over.No_BirA","P.Value.XBirA.over.No_BirA","t.XBirA.over.No_BirA","Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian","Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian","Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian","Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian","Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian","Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian","id.query","id.mapped","id.concat","id.1","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Proteome.unique_peptides","Proteome.numSpectra","Proteome.totalIntensity","Proteome.pct_cov"
"671","P24668",1.31561e-06,-0.6895,86.37836801,3.294,2.30231e-09,42.34704127,-2.3045,-2.466,-2.239,0.937,0.903,1.0325,"P24668","M6pr","P24668_M6pr","P24668","M6pr",1,89,16,16,"P24668","MOUSE",31685.3,45.6,518,518.1,227.06,227.06,NA,278,"Cation-dependent mannose-6-phosphate receptor","lysosomal membrane|endosome|late endosome|membrane|integral component of membrane|perinuclear region of cytoplasm|","intracellular protein transport|mannose transport|","mannose transmembrane transporter activity|",16,89,7.91e+11,"45.6%"
"81","Q91YW3",1.65717e-05,-0.482166667,58.2425277,3.282,1.49881e-06,16.02423232,-1.9065,-2.014,-2.449,1.324,0.77,1.3825,"Q91YW3","Dnajc3","Q91YW3_Dnajc3","Q91YW3","Dnajc3",1,239,46,46,"Q91YW3","MOUSE",57919.4,73.8,58,58.1,684.12,684.12,NA,504,"DnaJ homolog subfamily C member 3","cytoplasm|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cytosol|membrane|extracellular exosome|extracellular vesicle|endoplasmic reticulum Sec complex|","negative regulation of protein kinase activity|endoplasmic reticulum unfolded protein response|negative regulation of apoptotic process|proteolysis involved in cellular protein catabolic process|negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation|negative regulation of cyclin-dependent protein kinase activity|","protein binding|chaperone binding|misfolded protein binding|",46,239,1.1e+12,"73.8%"
"2908","O35632",0.000519849,-0.720166667,39.89011693,3.23,0.000102562,8.223122276,-1.6755,-2.026,-3.304,0.943,0.732,1.0095,"O35632","Hyal2","O35632_Hyal2","O35632","Hyal2",1,5,3,3,"O35632|Q8C309|A0A0A6YX37","MOUSE",54244.2,5.2,2638,2638.1,25.61,25.61,NA,473,"Hyaluronidase-2","Golgi membrane|cytoplasm|lysosome|cytosol|microvillus|cell surface|cytoplasmic membrane-bounded vesicle|apical plasma membrane|endocytic vesicle|cytoplasmic vesicle|membrane raft|anchored component of plasma membrane|perinuclear region of cytoplasm|RNA polymerase II transcription factor complex|anchored component of external side of plasma membrane|","response to reactive oxygen species|hematopoietic progenitor cell differentiation|carbohydrate metabolic process|glycosaminoglycan catabolic process|response to virus|multicellular organismal aging|negative regulation of fibroblast migration|fusion of virus membrane with host plasma membrane|transformation of host cell by virus|hyaluronan catabolic process|negative regulation of cell growth|positive regulation of urine volume|monocyte activation|positive regulation of protein import into nucleus|negative regulation of MAP kinase activity|cellular response to fibroblast growth factor stimulus|positive regulation of transcription from RNA polymerase II promoter|response to antibiotic|viral entry into host cell|skeletal system morphogenesis|positive regulation of inflammatory response|cartilage development|defense response to virus|negative regulation of protein kinase B signaling|multicellular organismal iron ion homeostasis|negative regulation of protein tyrosine kinase activity|renal water absorption|cellular response to interleukin-1|cellular response to tumor necrosis factor|cellular response to UV-B|cellular response to transforming growth factor beta stimulus|positive regulation of interleukin-8 secretion|positive regulation of interleukin-6 secretion|positive regulation of extrinsic apoptotic signaling pathway|","virus receptor activity|hyalurononglucosaminidase activity|hyaluronic acid binding|enzyme binding|receptor signaling protein tyrosine kinase inhibitor activity|receptor tyrosine kinase binding|hyaluronoglucuronidase activity|transforming growth factor beta binding|virus receptor activity|RNA polymerase II transcription coactivator activity|",3,5,3.86e+08,"5.2%"
"1417","Q9ERR7",2.3915e-06,-0.721,75.64306901,3.195,2.72705e-08,29.5478643,-2.2505,-2.153,-2.552,0.913,0.814,0.9025,"Q9ERR7","Selenof","Q9ERR7_Selenof","Q9ERR7","Selenof",1,28,7,7,"Q9ERR7|A0A0R4J0K1|A0A1C7ZMY4","MOUSE",18191.8,35.1,1187,1187.1,109.74,109.74,NA,162,"Selenoprotein F","endoplasmic reticulum lumen|extracellular exosome|","'de novo' posttranslational protein folding|","protein binding|selenium binding|",7,28,3.49e+10,"35.1%"
"2095","Q61334",2.58006e-05,-0.494,55.50173103,3.170333333,2.81726e-06,14.53523259,-1.7355,-2.028,-2.474,1.248,0.752,1.2735,"Q61334","Bcap29","Q61334_Bcap29","Q61334","Bcap29",1,28,5,5,"Q61334","MOUSE",28020.4,14.5,1828,1828.1,58.14,58.14,NA,240,"B-cell receptor-associated protein 29","endoplasmic reticulum membrane|membrane|integral component of membrane|","osteoblast differentiation|intracellular protein transport|ER to Golgi vesicle-mediated transport|apoptotic process|protein localization to endoplasmic reticulum exit site|","",5,28,5.26e+10,"14.5%"
"582","Q9CYA0",1.5051e-05,-0.4585,58.94667177,3.164666667,1.27448e-06,16.42962949,-1.8485,-1.907,-2.367,1.255,0.777,1.3395,"Q9CYA0","Creld2","Q9CYA0_Creld2","Q9CYA0","Creld2",1,54,17,17,"Q9CYA0","MOUSE",40386.9,48.8,442,442.1,250.7,250.7,NA,350,"Cysteine-rich with EGF-like domain protein 2","extracellular space|endoplasmic reticulum|Golgi apparatus|","","calcium ion binding|",17,54,9.03e+10,"48.8%"
"2639","Q8CFG0",5.30368e-06,-0.696833333,67.31820865,3.161333333,1.8543e-07,22.07446622,-2.0895,-2.132,-2.611,0.942,0.794,0.9155,"Q8CFG0","Sulf2","Q8CFG0_Sulf2","Q8CFG0","Sulf2",1,5,3,3,"Q8CFG0","MOUSE",101750.8,3.2,2368,2368.1,33.15,33.15,NA,875,"Extracellular sulfatase Sulf-2","extracellular space|endoplasmic reticulum|Golgi stack|plasma membrane|cell surface|","kidney development|chondrocyte development|glomerular filtration|sulfur compound metabolic process|positive regulation of vascular endothelial growth factor production|esophagus smooth muscle contraction|positive regulation of Wnt signaling pathway|heparan sulfate proteoglycan metabolic process|glomerular basement membrane development|glial cell-derived neurotrophic factor receptor signaling pathway|negative regulation of fibroblast growth factor receptor signaling pathway|embryonic skeletal system development|cartilage development|bone development|innervation|","arylsulfatase activity|calcium ion binding|N-acetylglucosamine-6-sulfatase activity|",3,5,1.27e+08,"3.2%"
"3235","Q80ZX8",0.014340042,-0.257333333,23.04848059,3.153,0.004956236,4.12856304,-2.4305,-3.051,-0.02,0.797,1.929,1.2315,"Q80ZX8","Spag1","Q80ZX8_Spag1","Q80ZX8","Spag1",1,10,2,2,"Q80ZX8|Q80ZX8-3","MOUSE",101923.3,2.2,3005,3005.1,18.11,18.11,NA,901,"Sperm-associated antigen 1","nucleoplasm|cytoplasm|microtubule cytoskeleton|","single fertilization|metabolic process|axonemal dynein complex assembly|","GTP binding|hydrolase activity|",2,10,4.95e+10,"2.2%"
"710","Q9ERE7",1.51995e-06,-0.608166667,83.58749936,3.142666667,4.37774e-09,38.50649018,-2.0955,-2.196,-2.247,1.06,0.824,1.0055,"Q9ERE7","Mesd","Q9ERE7_Mesd","Q9ERE7","Mesd",1,73,15,15,"Q9ERE7","MOUSE",25320.3,45.5,554,554.1,218.75,218.75,NA,224,"LRP chaperone MESD","endoplasmic reticulum|plasma membrane|","protein folding|mesoderm development|Wnt signaling pathway|protein localization to cell surface|","protein binding|low-density lipoprotein particle receptor binding|",15,73,1.71e+11,"45.5%"
"251","O08795-2",2.18644e-06,-0.584666667,80.43199447,3.133,9.05317e-09,34.92436449,-2.0575,-2.253,-2.143,1.095,0.831,1.0195,"O08795","Prkcsh","O08795-2_Prkcsh","O08795-2","Prkcsh",1,183,28,28,"O08795-2|O08795","MOUSE",60528.5,47.1,179,179.1,429.12,429.12,NA,521,"Isoform 2 of Glucosidase 2 subunit beta","endoplasmic reticulum|","in utero embryonic development|liver development|N-glycan processing|nitrogen compound metabolic process|negative regulation of neuron projection development|protein heterooligomerization|renal system development|","RNA binding|protein kinase C binding|calcium ion binding|protein binding|ion channel binding|phosphoprotein binding|",28,183,3.05e+12,"47.1%"
"432","Q3TMX5",9.02717e-06,-0.418,62.79676935,3.106333333,5.25198e-07,18.82640993,-1.9845,-2.117,-1.812,1.328,0.77,1.3075,"Q3TMX5","Manf","Q3TMX5_Manf","Q3TMX5","Manf",1,137,21,21,"Q3TMX5|Q80ZP8|Q9CXI5","MOUSE",20843.8,56.9,331,331.1,295.92,295.92,NA,179,"Arginine-rich, mutated in early stage tumors, isoform CRA_b","extracellular space|nucleus|endoplasmic reticulum|perinuclear region of cytoplasm|","vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure|","poly(A) RNA binding|",21,137,5.7e+11,"56.9%"
"573","Q8BFR4",1.41273e-06,-0.696666667,84.36279509,3.106333333,3.66202e-09,39.49269585,-2.2415,-2.124,-2.384,0.835,0.828,0.9065,"Q8BFR4","Gns","Q8BFR4_Gns","Q8BFR4","Gns",1,67,18,18,"Q8BFR4|A0A1W2P6W9","MOUSE",61915.5,36.3,433,433.1,253.92,253.92,NA,544,"N-acetylglucosamine-6-sulfatase","lysosome|extracellular exosome|","glycosaminoglycan metabolic process|","N-acetylglucosamine-6-sulfatase activity|sulfuric ester hydrolase activity|metal ion binding|",18,67,1.07e+11,"36.3%"
"153","P14211",6.02967e-06,-0.600333333,65.7200398,3.105666667,2.67914e-07,20.86854608,-1.9295,-2.057,-2.473,1.006,0.802,1.0495,"P14211","Calr","P14211_Calr","P14211","Calr",1,219,38,38,"P14211","MOUSE",48164.8,79.8,110,110.1,550.76,550.76,NA,416,"Calreticulin","acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|","negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|","glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|",38,219,3.12e+12,"79.8%"
"3336","Q80U12-2",2.33543e-05,-0.535166667,56.06364347,3.086,2.47534e-06,14.82935832,-1.6635,-2.165,-2.406,1.193,0.73,1.1005,"Q80U12","Sgsm2","Q80U12-2_Sgsm2","Q80U12-2","Sgsm2",1,9,2,2,"Q80U12-2|Q80U12","MOUSE",119580.4,2,3156,3156.1,15.81,15.81,NA,1005,"Isoform 2 of Small G protein signaling modulator 2","cytoplasm|","late endosome to Golgi transport|positive regulation of GTPase activity|","GTPase activator activity|Rab GTPase binding|",2,9,1.3e+10,"2.0%"
"664","Q9CQ45",9.60274e-06,-0.631,62.23730634,3.084333333,5.97406e-07,18.45830453,-1.9315,-2.022,-2.566,0.95,0.802,0.9815,"Q9CQ45","Nenf","Q9CQ45_Nenf","Q9CQ45","Nenf",1,67,13,13,"Q9CQ45","MOUSE",18904.1,67.8,512,512.1,228.58,228.58,NA,171,"Neudesin","extracellular space|nucleus|nucleoplasm|endomembrane system|membrane|","negative regulation of appetite|positive regulation of MAPK cascade|","growth factor activity|heme binding|metal ion binding|",13,67,3.32e+11,"67.8%"
"37","P08003",4.01934e-06,-0.4805,70.10984766,3.073333333,9.75024e-08,24.34625231,-1.9255,-2.023,-2.103,1.22,0.776,1.1725,"P08003","Pdia4","P08003_Pdia4","P08003","Pdia4",1,405,74,57,"A0A0R4J0Z1|P08003","MOUSE",72323.4,68.4,21,21.1,1106.05,883.18,NA,638,"Protein disulfide-isomerase A4","endoplasmic reticulum|endoplasmic reticulum lumen|cell surface|endoplasmic reticulum chaperone complex|melanosome|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|chaperone-mediated protein folding|","protein disulfide isomerase activity|poly(A) RNA binding|",73,405,2.57e+12,"68.4%"
"1425","Q9DAU1",5.28726e-06,-0.4455,67.43679798,3.058666667,1.80435e-07,22.16661009,-1.8965,-1.958,-2.07,1.257,0.768,1.2265,"Q9DAU1","Cnpy3","Q9DAU1_Cnpy3","Q9DAU1","Cnpy3",1,34,7,7,"Q9DAU1|Q9DAU1-2|B0V2V1","MOUSE",30936.7,27.5,1194,1194.1,108.81,108.81,NA,276,"Protein canopy homolog 3","endoplasmic reticulum|","innate immune response|","receptor binding|",7,34,7.88e+10,"27.5%"
"30","P20029",5.6572e-06,-0.443,66.67546055,3.049,2.15008e-07,21.58151787,-1.8535,-2.1,-1.949,1.278,0.776,1.1905,"P20029","Hspa5","P20029_Hspa5","P20029","Hspa5",1,799,76,73,"P20029","MOUSE",72534.8,84.1,18,18.1,1187.92,1140.47,NA,655,"78 kDa glucose-regulated protein","extracellular region|nucleus|mitochondrion|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|smooth endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|plasma membrane|focal adhesion|cell surface|membrane|integral component of endoplasmic reticulum membrane|midbody|endoplasmic reticulum chaperone complex|melanosome|myelin sheath|extracellular exosome|COP9 signalosome|","ER overload response|activation of signaling protein activity involved in unfolded protein response|cerebellum structural organization|cerebellar Purkinje cell layer development|substantia nigra development|positive regulation of cell migration|negative regulation of transforming growth factor beta receptor signaling pathway|positive regulation of protein ubiquitination|response to endoplasmic reticulum stress|maintenance of protein localization in endoplasmic reticulum|positive regulation of embryonic development|cellular response to glucose starvation|negative regulation of apoptotic process|proteolysis involved in cellular protein catabolic process|cellular response to antibiotic|cellular response to interleukin-4|toxin transport|","glycoprotein binding|protein binding|ATP binding|ATPase activity|enzyme binding|protein domain specific binding|ubiquitin protein ligase binding|ribosome binding|unfolded protein binding|misfolded protein binding|",76,799,2.13e+13,"84.1%"
"128","P35564",4.76999e-06,-0.532833333,68.32678249,3.04,1.47001e-07,22.87022156,-1.8555,-2.054,-2.249,1.074,0.766,1.1215,"P35564","Canx","P35564_Canx","P35564","Canx",1,180,42,42,"P35564","MOUSE",67676.1,57.6,89,89.1,602.82,602.82,NA,591,"Calnexin","endoplasmic reticulum|endoplasmic reticulum membrane|smooth endoplasmic reticulum|rough endoplasmic reticulum|ribosome|membrane|integral component of membrane|axon|dendrite cytoplasm|melanosome|neuronal cell body|dendritic spine|myelin sheath|protein complex|ER-mitochondrion membrane contact site|extracellular exosome|integral component of lumenal side of endoplasmic reticulum membrane|","aging|synaptic vesicle endocytosis|chaperone-mediated protein folding|clathrin-mediated endocytosis|","glycoprotein binding|calcium ion binding|protein binding|carbohydrate binding|apolipoprotein binding|ionotropic glutamate receptor binding|poly(A) RNA binding|unfolded protein binding|",42,180,5.98e+11,"57.6%"
"770","Q80W54",8.33011e-06,-0.560666667,63.29894455,3.023,4.67849e-07,19.16286315,-1.8125,-2.05,-2.354,0.926,0.769,1.1575,"Q80W54","Zmpste24","Q80W54_Zmpste24","Q80W54","Zmpste24",1,70,14,14,"Q80W54","MOUSE",55018.7,27.5,608,608.1,207.14,207.14,NA,475,"CAAX prenyl protease 1 homolog","nuclear inner membrane|endoplasmic reticulum membrane|membrane|integral component of membrane|extracellular exosome|","nuclear envelope organization|prenylated protein catabolic process|CAAX-box protein processing|","metalloendopeptidase activity|metal ion binding|",14,70,7e+11,"27.5%"
"73","Q8VCT4",2.18644e-06,-0.554,79.65518077,3.015666667,1.08263e-08,33.99074093,-1.9975,-2.171,-2.017,1.074,0.808,0.9795,"Q8VCT4","Ces1d","Q8VCT4_Ces1d","Q8VCT4","Ces1d",1,254,44,43,"Q8VCT4|P23953|E9PYP1","MOUSE",62071.9,71.8,52,52.1,717.98,694.89,NA,565,"Carboxylesterase 1D","endoplasmic reticulum|endoplasmic reticulum lumen|lipid particle|cytosol|","acyl-CoA metabolic process|response to toxic substance|lipid catabolic process|short-chain fatty acid catabolic process|epithelial cell differentiation|very-low-density lipoprotein particle assembly|acylglycerol catabolic process|","sterol esterase activity|triglyceride lipase activity|fatty-acyl-ethyl-ester synthase activity|carboxylic ester hydrolase activity|",45,254,1.71e+12,"71.8%"
"13","P08113",2.3915e-06,-0.516,75.59569872,3.003,2.75696e-08,29.49899447,-1.9495,-1.969,-2.134,1.075,0.788,1.0935,"P08113","Hsp90b1","P08113_Hsp90b1","P08113","Hsp90b1",1,964,96,94,"P08113","MOUSE",92759.4,73,8,8.1,1503.66,1467.31,NA,802,"Endoplasmin","extracellular region|nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|cytosol|plasma membrane|focal adhesion|membrane|midbody|extracellular matrix|endoplasmic reticulum chaperone complex|melanosome|perinuclear region of cytoplasm|extracellular exosome|","response to hypoxia|protein folding|ER-associated ubiquitin-dependent protein catabolic process|retrograde protein transport, ER to cytosol|actin rod assembly|negative regulation of apoptotic process|regulation of phosphoprotein phosphatase activity|cellular response to ATP|","RNA binding|protein binding|ATP binding|protein phosphatase binding|virion binding|low-density lipoprotein particle receptor binding|unfolded protein binding|",96,964,1.8e+13,"73.0%"
"438","Q9D1D4",2.23924e-06,-0.559833333,77.13357451,2.993333333,1.93483e-08,31.12704639,-1.9655,-2.006,-2.198,1.072,0.799,0.9395,"Q9D1D4","Tmed10","Q9D1D4_Tmed10","Q9D1D4","Tmed10",1,122,19,19,"Q9D1D4|A0A1Y7VM54|Q9D1D4-2","MOUSE",25081.5,59.8,337,337.1,293.33,293.33,NA,219,"Transmembrane emp24 domain-containing protein 10","Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|cis-Golgi network|plasma membrane|integral component of membrane|COPI-coated vesicle|trans-Golgi network transport vesicle|transport vesicle membrane|secretory granule membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|melanosome|zymogen granule membrane|extracellular exosome|gamma-secretase complex|","kidney development|intracellular protein transport|retrograde vesicle-mediated transport, Golgi to ER|Golgi organization|COPI-coated vesicle budding|response to alkaloid|regulated secretory pathway|vesicle targeting, to, from or within Golgi|protein oligomerization|regulation of beta-amyloid formation|","syntaxin binding|protein complex binding|",19,122,6.02e+11,"59.8%"
