R128126,R128127,R128131,R129126,R129127,R129131,R130126,R130127,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,PCorNC,ES_score,signalP,TM
0.616,0.784,0.234,0.799,0.9915,0.4525,0.72,0.907,0.3595,E9QAX2,E9QAX2,Myo18a,1,95,51,51,E9QAX2|Q9JMH9-6|Q9JMH9|B2RRE2|K3W4L0|Q9JMH9-1|Q9JMH9-4|A0A1C7ZN10|Q9JMH9-2|Q9JMH9-7|Q9JMH9-5|E9Q405|E9QA74,MOUSE,237125.2,27.9,77,77.1,628.15,628.15,NA,2083,Unconventional myosin-XVIIIa,Golgi membrane|trans-Golgi network|cytoskeleton|membrane|myosin complex|actomyosin|,Golgi organization|metabolic process|cell migration|actomyosin structure organization|negative regulation of apoptotic process|Golgi vesicle budding|positive regulation of protein secretion|Golgi ribbon formation|asymmetric Golgi ribbon formation|,motor activity|ATP binding|ADP binding|poly(A) RNA binding|actin filament binding|,51,95,1.76E+10,0.279,0.008341505,-0.124,25.93619919,0.660333333,0.00254906,4.700161811,-0.5185,-0.686,-0.158,0.09,0.322,0.2065,undefined,7,NA,NA
0.565,0.596,0.292,0.602,0.5775,0.3495,0.616,0.626,0.3515,P48678,P48678,Lmna,1,105,44,44,P48678|P48678-2|P48678-3,MOUSE,74521.5,63.6,103,103.1,557.25,557.25,NA,665,Prelamin-A/C,nucleus|nuclear envelope|lamin filament|nucleoplasm|cytoplasm|nuclear matrix|nuclear membrane|perinuclear region of cytoplasm|,nucleus organization|nuclear envelope organization|spermatogenesis|muscle organ development|establishment of cell polarity|regulation of cell migration|establishment or maintenance of microtubule cytoskeleton polarity|protein localization to nucleus|sterol regulatory element binding protein import into nucleus|ventricular cardiac muscle cell development|cellular response to hypoxia|negative regulation of release of cytochrome c from mitochondria|positive regulation of cell aging|regulation of protein localization to nucleus|negative regulation of extrinsic apoptotic signaling pathway|,structural molecule activity|protein binding|,44,105,6.04E+10,0.636,0.003278832,-0.0835,30.75958812,0.515333333,0.00083954,5.758377709,-0.4465,-0.421,-0.156,0.123,0.192,0.2075,undefined,6,NA,NA
2.556,2.823,2.882,2.423,2.6495,2.7725,2.539,2.903,2.9725,Q8CG71,Q8CG71,P3h2,1,134,40,40,Q8CG71,MOUSE,81008.7,59.3,106,106.1,552.53,552.53,NA,703,Prolyl 3-hydroxylase 2,basement membrane|endoplasmic reticulum|Golgi apparatus|,negative regulation of cell proliferation|peptidyl-proline hydroxylation|collagen metabolic process|oxidation-reduction process|,iron ion binding|procollagen-proline 3-dioxygenase activity|L-ascorbic acid binding|,40,134,2.32E+11,0.593,4.49E-06,-0.522,68.97967524,2.707,1.26E-07,23.40023007,-1.6885,-1.81,-2.128,0.807,0.792,0.8955,undefined,9,TRUE,NA
2.616,2.59,2.839,2.422,2.4795,2.6585,2.537,2.617,2.7525,Q61739,Q61739,Itga6,1,153,41,41,Q61739|Q61739-2,MOUSE,123297.6,41.5,118,118.1,533.22,533.22,NA,1091,Integrin alpha-6,basement membrane|plasma membrane|focal adhesion|integrin complex|external side of plasma membrane|basal plasma membrane|cell surface|basolateral plasma membrane|hemidesmosome|basal part of cell|plasma membrane|,cell-matrix adhesion|integrin-mediated signaling pathway|ectodermal cell differentiation|positive regulation of cell-cell adhesion|cell-substrate adhesion|cellular response to extracellular stimulus|cell adhesion mediated by integrin|nail development|positive regulation of phosphorylation|odontogenesis of dentin-containing tooth|positive regulation of apoptotic process|skin development|positive regulation of transcription from RNA polymerase II promoter|filopodium assembly|digestive tract development|brown fat cell differentiation|leukocyte migration|renal system development|amelogenesis|negative regulation of extrinsic apoptotic signaling pathway|,integrin binding|metal ion binding|,41,153,2.41E+11,0.415,1.32E-06,-0.459,85.24555621,2.567666667,2.99E-09,40.37868353,-1.7285,-1.682,-1.818,0.83,0.765,0.8795,undefined,9,TRUE,TRUE
2.74,2.791,2.763,3.006,3.0885,3.0625,3.001,3.039,3.0285,Q6ZQM8,Q6ZQM8,Ugt1a7c,1,359,33,16,Q6ZQM8|D3Z748|D3YZE6|D6RH94,MOUSE,60498.4,71.7,119,119.1,532.87,286,NA,531,UDP-glucuronosyltransferase 1-7C,endoplasmic reticulum membrane|integral component of membrane|intracellular membrane-bounded organelle|,flavonoid biosynthetic process|cellular response to hormone stimulus|flavonoid glucuronidation|xenobiotic glucuronidation|,glucuronosyltransferase activity|,33,359,1.73E+13,0.717,2.19E-06,-0.515833333,78.02931237,2.979333333,1.57E-08,32.11588279,-1.9845,-1.969,-2.063,0.786,1.111,1.0245,undefined,9,TRUE,TRUE
2.328,2.32,2.346,2.208,2.2095,2.2535,2.589,2.561,2.5895,P70691,P70691,Ugt1a2,1,83,25,12,P70691|B2RT14,MOUSE,61026,55.1,119,119.2,410.8,200.07,NA,533,UDP-glucuronosyltransferase 1-2,endoplasmic reticulum|endoplasmic reticulum membrane|integral component of membrane|intracellular membrane-bounded organelle|,flavonoid biosynthetic process|cellular response to hormone stimulus|cellular glucuronidation|flavonoid glucuronidation|xenobiotic glucuronidation|,retinoic acid binding|glucuronosyltransferase activity|enzyme binding|protein homodimerization activity|protein heterodimerization activity|,12,83,7.16E+11,0.288,2.19E-06,-0.338333333,77.53095641,2.337,1.77E-08,31.10335896,-1.5455,-1.435,-1.54,0.757,0.776,0.9575,undefined,9,TRUE,TRUE
1.399,1.798,1.34,1.23,1.4485,1.1665,1.627,2.03,1.7195,Q91WH2,Q91WH2,Ugt2b38,1,5,4,3,Q91WH2|Q8VCN3|Q8K169|P17717|Q8BJL9|Q8R084|Q3UEP4,MOUSE,61498.5,8.3,119,119.7,54.31,36.91,NA,530,MCG131371,endoplasmic reticulum|intracellular membrane-bounded organelle|,flavonoid biosynthetic process|cellular response to hormone stimulus|flavonoid glucuronidation|,glucuronosyltransferase activity|,3,5,1.16E+09,0.06,0.000293025,0.019,42.91201857,1.647,5.11E-05,9.20655767,-0.8055,-0.83,-0.778,0.817,0.473,1.2375,undefined,9,TRUE,TRUE
1.343,1.578,1.68,1.202,1.4565,1.5885,1.572,1.78,2.0095,P01132,P01132,Egf,1,111,33,33,P01132|A0A0G2JF92|A0A0G2JDT8|A0A0G2JFB8,MOUSE,136607.2,32,164,164.1,445.4,445.4,NA,1217,Pro-epidermal growth factor,extracellular region|extracellular space|lysosomal membrane|plasma membrane|integral component of membrane|extracellular exosome|,"activation of MAPKK activity|angiogenesis|epidermal growth factor receptor signaling pathway|STAT protein import into nucleus|positive regulation of cell proliferation|positive regulation of peptidyl-threonine phosphorylation|peptidyl-tyrosine phosphorylation|positive regulation of cerebellar granule cell precursor proliferation|positive regulation of catenin import into nucleus|positive regulation of phosphorylation|positive regulation of DNA binding|positive regulation of MAP kinase activity|positive regulation of epidermal growth factor-activated receptor activity|positive regulation of mitotic nuclear division|positive regulation of transcription, DNA-templated|branching morphogenesis of an epithelial tube|regulation of peptidyl-tyrosine phosphorylation|negative regulation of secretion|regulation of protein transport|mammary gland alveolus development|ERK1 and ERK2 cascade|regulation of calcium ion import|negative regulation of cholesterol efflux|positive regulation of hyaluronan biosynthetic process|regulation of protein localization to cell surface|positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process|",epidermal growth factor receptor binding|calcium ion binding|protein binding|growth factor activity|,33,111,9.86E+10,0.32,9.62E-05,-0.164,48.61844227,1.624333333,1.37E-05,11.34879833,-0.7615,-0.948,-1.219,0.592,0.49,0.8625,undefined,9,TRUE,TRUE
0.802,0.634,1.19,0.608,0.4555,1.0115,0.77,0.597,1.1575,D3Z4J2,D3Z4J2,Katnal2,1,2,3,2,D3Z4J2|Q9D3R6|Q9D3R6-3|D6RGM7|Q9D3R6-2,MOUSE,56216.3,12.1,165,165.2,22.09,10.46,NA,495,Katanin p60 ATPase-containing subunit A-like 2,cytoplasm|microtubule|,metabolic process|cytoplasmic microtubule organization|microtubule severing|,ATP binding|microtubule binding|microtubule-severing ATPase activity|,2,2,1.30E+08,0.096,0.005013828,-0.108333333,28.62229754,0.834333333,0.001373315,5.271976755,-0.4315,-0.26,-0.885,0.373,0.204,0.3495,NC,9,NA,NA
2.012,2.003,2.12,1.835,1.7225,2.0325,2.035,1.951,2.1175,P28825,P28825,Mep1a,1,102,27,27,A0A0R4J043|P28825,MOUSE,85313.7,43.7,190,190.1,412.14,412.14,NA,747,Meprin A subunit alpha,membrane|integral component of membrane|extracellular exosome|,proteolysis|,metalloendopeptidase activity|zinc ion binding|,27,102,1.51E+11,0.437,4.49E-06,-0.299666667,69.01012989,1.974333333,1.26E-07,23.35576411,-1.2685,-1.157,-1.435,0.705,0.617,0.7405,PC,9,TRUE,TRUE
1.687,1.498,1.649,1.705,1.4985,1.6705,1.693,1.578,1.6835,P35822,P35822,Ptprk,1,93,35,35,A0A1W2P7Y1|P35822|B2RRF0|Q68FM4|P28828,MOUSE,166179.6,26.3,202,202.1,405.51,405.51,NA,1457,Receptor-type tyrosine-protein phosphatase kappa,photoreceptor outer segment|cell-cell junction|cell surface|integral component of membrane|axon|dendrite|leading edge membrane|neuronal cell body|,"protein dephosphorylation|cell adhesion|signal transduction|transforming growth factor beta receptor signaling pathway|negative regulation of cell proliferation|negative regulation of keratinocyte proliferation|cell migration|negative regulation of cell migration|protein localization to cell surface|cellular response to reactive oxygen species|cellular response to UV|peptidyl-tyrosine dephosphorylation|negative regulation of cell cycle|negative regulation of transcription, DNA-templated|focal adhesion assembly|",protein tyrosine phosphatase activity|beta-catenin binding|protein kinase binding|gamma-catenin binding|,35,93,9.14E+10,0.263,3.06E-06,-0.1785,72.98633403,1.674,5.03E-08,26.42910704,-1.0635,-0.923,-1.06,0.633,0.703,0.6395,undefined,9,TRUE,TRUE
2.023,2.009,2.236,1.597,1.7135,1.9035,1.992,2.024,2.2815,Q921L8,Q921L8,Galnt11,1,116,27,27,Q921L8,MOUSE,70056,49.6,204,204.1,403.59,403.59,NA,608,Polypeptide N-acetylgalactosaminyltransferase 11,Golgi membrane|integral component of membrane|,Notch receptor processing|determination of left/right symmetry|regulation of Notch signaling pathway|protein O-linked glycosylation via threonine|cilium morphogenesis|Notch signaling involved in heart development|,polypeptide N-acetylgalactosaminyltransferase activity|Notch binding|carbohydrate binding|metal ion binding|,27,116,1.24E+11,0.496,3.91E-05,-0.201,53.22272622,1.995,4.76E-06,13.39783782,-1.0555,-1.045,-1.495,0.911,0.589,0.8895,undefined,9,NA,TRUE
1.187,1.703,0.59,0.829,1.4325,0.1825,1.054,1.564,0.4845,Q8CJ40,Q8CJ40,Crocc,1,50,37,37,Q8CJ40|Q8CJ40-2|Q8CJ40-3,MOUSE,227511.1,21.2,211,211.1,394.74,394.74,NA,2009,Rootletin,photoreceptor inner segment|cytoplasm|centrosome|centriole|plasma membrane|actin cytoskeleton|ciliary rootlet|extracellular exosome|,cell cycle|protein localization|centriole-centriole cohesion|epithelial structure maintenance|cell projection organization|ciliary basal body organization|protein localization to organelle|photoreceptor cell maintenance|centrosome organization|establishment of organelle localization|,actin binding|structural molecule activity|protein binding|kinesin binding|,37,50,1.36E+10,0.212,0.020408812,-0.1885,21.17152837,0.958,0.00763567,3.777871905,-0.7065,-1.175,-0.121,0.415,0.096,0.3605,NC,8,NA,NA
1.759,1.68,1.846,1.623,1.6395,1.6915,1.712,1.735,1.9215,O88307,O88307,Sorl1,1,61,33,33,O88307,MOUSE,252559.2,19.8,215,215.1,390.03,390.03,NA,2215,Sortilin-related receptor,extracellular space|nuclear envelope lumen|endosome|early endosome|endoplasmic reticulum|Golgi apparatus|trans-Golgi network|membrane|integral component of membrane|Golgi cisterna|low-density lipoprotein particle|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|,protein targeting to Golgi|protein targeting|protein targeting to lysosome|lipid transport|post-Golgi vesicle-mediated transport|endocytosis|cholesterol metabolic process|regulation of smooth muscle cell migration|negative regulation of protein binding|negative regulation of protein oligomerization|negative regulation of MAP kinase activity|protein retention in Golgi apparatus|positive regulation of protein catabolic process|negative regulation of neurogenesis|protein maturation|positive regulation of protein exit from endoplasmic reticulum|negative regulation of neuron death|negative regulation of beta-amyloid formation|positive regulation of choline O-acetyltransferase activity|negative regulation of tau-protein kinase activity|positive regulation of ER to Golgi vesicle-mediated transport|positive regulation of early endosome to recycling endosome transport|negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process|negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process|positive regulation of protein localization to early endosome|negative regulation of neurofibrillary tangle assembly|positive regulation of endocytic recycling|,beta-amyloid binding|protein binding|low-density lipoprotein particle binding|ADP-ribosylation factor binding|,33,61,5.05E+09,0.198,1.11E-05,-0.2185,61.33040689,1.756,7.36E-07,17.87632305,-1.0435,-0.953,-1.293,0.622,0.615,0.7415,PC,9,TRUE,TRUE
2.667,2.617,2.607,2.177,2.0755,2.4445,2.675,2.662,2.7485,P56677,P56677,St14,1,76,26,26,P56677|D6RIN3|A0A1L1SU89,MOUSE,96935.4,43.8,222,222.1,382.78,382.78,NA,855,Suppressor of tumorigenicity 14 protein homolog,extracellular region|extracellular space|integral component of plasma membrane|basolateral plasma membrane|extrinsic component of plasma membrane|extracellular exosome|,neural tube closure|proteolysis|cell migration|keratinocyte differentiation|epithelial cell morphogenesis involved in placental branching|,serine-type endopeptidase activity|serine-type peptidase activity|,26,76,5.05E+10,0.438,7.43E-06,-0.291333333,64.1577522,2.468333333,3.84E-07,19.75180436,-1.5435,-1.358,-1.675,1.03,0.713,1.0855,undefined,9,NA,TRUE
2.669,2.682,2.852,2.15,2.2945,2.3965,2.792,2.867,2.9365,Q09324,Q09324,Gcnt1,1,81,28,28,Q09324,MOUSE,50465.4,52.8,244,244.1,365.33,365.33,NA,428,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Golgi membrane|extracellular space|trans-Golgi network|integral component of membrane|Golgi cisterna|,protein glycosylation|glycoprotein biosynthetic process|response to insulin|tissue morphogenesis|leukocyte tethering or rolling|cell adhesion molecule production|kidney morphogenesis|,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity|",28,81,6.38E+10,0.528,1.58E-05,-0.302333333,58.59032259,2.619,1.38E-06,16.22325754,-1.4665,-1.536,-1.833,1.113,0.687,1.2215,undefined,9,NA,TRUE
0.851,0.858,0.767,0.765,0.7965,0.7675,0.779,0.877,0.7895,E9PUJ6,E9PUJ6,Mycbp2,1,49,33,33,E9PUJ6|Q7TPH6|Q7TPH6-2,MOUSE,529004.7,8.5,256,256.1,354.75,354.75,NA,4746,E3 ubiquitin-protein ligase MYCBP2,microtubule cytoskeleton|membrane|axon|,motor neuron axon guidance|protein ubiquitination|branchiomotor neuron axon guidance|central nervous system projection neuron axonogenesis|regulation of protein localization|negative regulation of protein catabolic process|cell morphogenesis involved in neuron differentiation|regulation of cytoskeleton organization|,ubiquitin-protein transferase activity|protein binding|zinc ion binding|protein homodimerization activity|,33,49,6.18E+09,0.085,1.62E-05,-0.058,58.38753731,0.825,1.45E-06,15.88280707,-0.4775,-0.496,-0.438,0.34,0.345,0.3785,undefined,9,NA,NA
