id,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov
E9Q4Z2,0.035838529,0.0125,18.14503089,-0.334,0.015328403,-3.241449006,0.1115,0.13,0.297,0.036,-0.193,-0.3065,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,464,112,97,E9Q4Z2,MOUSE,278141.4,49.4,7,7.1,1556.4,1343.97,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,112,464,8.84E+11,49.4%
Q5SWU9-2,0.534064387,0.028666667,3.493916957,-0.133666667,0.447309688,-0.807593195,0.1685,0.005,0.113,0.353,-0.182,-0.2855,Q5SWU9,Acaca,Q5SWU9-2_Acaca,Q5SWU9-2,Acaca,1,305,108,93,Q5SWU9-2|Q5SWU9,MOUSE,271550.9,52.7,7,7.2,1548.6,1336.17,,2345,Isoform 2 of Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,93,305,2.98E+11,45.8%
P08113,2.3915E-06,-0.516,75.59569872,3.003,2.75696E-08,29.49899447,-1.9495,-1.969,-2.134,1.075,0.788,1.0935,P08113,Hsp90b1,P08113_Hsp90b1,P08113,Hsp90b1,1,964,96,94,P08113,MOUSE,92759.4,73,8,8.1,1503.66,1467.31,,802,Endoplasmin,extracellular region|nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|cytosol|plasma membrane|focal adhesion|membrane|midbody|extracellular matrix|endoplasmic reticulum chaperone complex|melanosome|perinuclear region of cytoplasm|extracellular exosome|,"response to hypoxia|protein folding|ER-associated ubiquitin-dependent protein catabolic process|retrograde protein transport, ER to cytosol|actin rod assembly|negative regulation of apoptotic process|regulation of phosphoprotein phosphatase activity|cellular response to ATP|",RNA binding|protein binding|ATP binding|protein phosphatase binding|virion binding|low-density lipoprotein particle receptor binding|unfolded protein binding|,96,964,1.8E+13,73.0%
P11499,0.019582855,-0.016166667,21.37777476,-0.309333333,0.007281528,-3.806698147,0.1155,0.218,0.082,-0.081,-0.315,-0.1165,P11499,Hsp90ab1,P11499_Hsp90ab1,P11499,Hsp90ab1,1,191,68,44,P11499|E9PX27,MOUSE,83622,68.9,8,8.2,947.34,598.97,,724,Heat shock protein HSP 90-beta,intracellular|cytoplasm|mitochondrion|cytosol|cell surface|membrane|inclusion body|basolateral plasma membrane|apical plasma membrane|brush border membrane|melanosome|extracellular exosome|COP9 signalosome|,"placenta development|protein folding|response to salt stress|virion attachment to host cell|positive regulation of protein binding|negative regulation of proteasomal ubiquitin-dependent protein catabolic process|positive regulation of protein import into nucleus, translocation|negative regulation of neuron apoptotic process|positive regulation of nitric oxide biosynthetic process|positive regulation of cell size|regulation of interferon-gamma-mediated signaling pathway|regulation of type I interferon-mediated signaling pathway|cellular response to interleukin-4|cellular response to organic cyclic compound|positive regulation of protein serine/threonine kinase activity|fibril organization|",UTP binding|CTP binding|double-stranded RNA binding|protein binding|ATP binding|GTP binding|sulfonylurea receptor binding|kinase binding|protein kinase binding|MHC class II protein complex binding|nitric-oxide synthase regulator activity|TPR domain binding|dATP binding|ion channel binding|poly(A) RNA binding|unfolded protein binding|,44,191,6.92E+11,53.0%
P07901,0.001763508,-0.015833333,33.84111832,-0.472666667,0.000412941,-6.479514323,0.1835,0.299,0.179,-0.174,-0.364,-0.2185,P07901,Hsp90aa1,P07901_Hsp90aa1,P07901,Hsp90aa1,1,101,53,31,P07901,MOUSE,85185.7,60.5,8,8.3,743.09,431.07,,733,Heat shock protein HSP 90-alpha,intracellular|nucleus|nucleoplasm|cytoplasm|mitochondrion|cytosol|membrane|ruffle membrane|melanosome|myelin sheath|extracellular exosome|,nitric oxide biosynthetic process|response to unfolded protein|response to cold|protein refolding|protein import into mitochondrial outer membrane|positive regulation of nitric oxide biosynthetic process|positive regulation of cytotoxic T cell differentiation|regulation of catalytic activity|chaperone-mediated protein complex assembly|,protein binding|ATP binding|ATPase activity|MHC class II protein complex binding|nitric-oxide synthase regulator activity|TPR domain binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|GTPase binding|unfolded protein binding|,31,101,1.71E+11,45.1%
Q9CQN1,0.010089989,0.010833333,24.94901706,-0.256,0.003199619,-4.47930563,0.0915,0.204,0.121,-0.087,-0.123,-0.1415,Q9CQN1,Trap1,Q9CQN1_Trap1,Q9CQN1,Trap1,1,231,45,44,Q9CQN1,MOUSE,80549.8,64.1,8,8.4,699.82,679.18,,706,"Heat shock protein 75 kDa, mitochondrial",nucleoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial intermembrane space|mitochondrial matrix|lipid particle|membrane|extracellular exosome|,protein folding|response to stress|translational attenuation|negative regulation of cellular respiration|negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|,ATP binding|protein kinase binding|poly(A) RNA binding|unfolded protein binding|,44,231,9.59E+11,62.1%
Q5SXR6,0.003420677,0.1335,30.55130095,-1.016,0.000880785,-5.709661303,0.2065,0.892,0.826,-0.322,-0.378,-0.4235,Q5SXR6,NotFound,Q5SXR6_NotFound,Q5SXR6,Cltc,1,430,95,95,Q5SXR6|Q68FD5,MOUSE,193751.2,56.2,9,9.1,1461.62,1461.62,,1679,Clathrin heavy chain,cytoplasm|mitochondrion|spindle|focal adhesion|membrane|membrane coat|clathrin coat of trans-Golgi network vesicle|clathrin coat of coated pit|clathrin-coated vesicle|Myb complex|intracellular membrane-bounded organelle|protein complex|extracellular exosome|clathrin complex|extracellular vesicle|,osteoblast differentiation|intracellular protein transport|receptor-mediated endocytosis|mitotic nuclear division|receptor internalization|transferrin transport|mitotic spindle assembly|negative regulation of hyaluronan biosynthetic process|negative regulation of protein localization to plasma membrane|,double-stranded RNA binding|structural molecule activity|protein binding|clathrin light chain binding|poly(A) RNA binding|,95,430,1.19E+12,56.2%
Q9DBM2,0.003970384,0.087333333,29.82705813,-1.086333333,0.001040625,-5.542518028,0.9895,0.704,0.198,-0.299,-0.526,-0.5425,Q9DBM2,Ehhadh,Q9DBM2_Ehhadh,Q9DBM2,Ehhadh,1,1270,83,83,Q9DBM2,MOUSE,78870.6,92.7,10,10.1,1459.4,1459.4,,718,Peroxisomal bifunctional enzyme,mitochondrion|peroxisome|cytosol|,internal protein amino acid acetylation|fatty acid beta-oxidation|acyl-CoA metabolic process|,3-hydroxyacyl-CoA dehydrogenase activity|dodecenoyl-CoA delta-isomerase activity|enoyl-CoA hydratase activity|receptor binding|enzyme binding|,83,1270,6.57E+13,92.7%
Q80X90,0.021072599,0.0225,20.9793587,-0.233333333,0.007981125,-3.728944483,0.1105,0.071,0.236,-0.091,-0.097,-0.0945,Q80X90,Flnb,Q80X90_Flnb,Q80X90,Flnb,1,280,98,93,Q80X90,MOUSE,280272.8,46.8,11,11.1,1349.25,1283.75,,2602,Filamin-B,stress fiber|cytoplasm|plasma membrane|brush border|focal adhesion|cell cortex|Z disc|extracellular exosome|,keratinocyte development|epithelial cell morphogenesis|skeletal muscle tissue development|actin cytoskeleton organization|,actin binding|protein binding|identical protein binding|poly(A) RNA binding|,98,280,1.25E+11,46.8%
Q8BTM8,0.147003527,-0.0135,10.4548447,0.148666667,0.090056596,1.980685815,-0.1655,-0.102,0.004,0.035,-0.017,0.1645,Q8BTM8,Flna,Q8BTM8_Flna,Q8BTM8,Flna,1,85,48,44,Q8BTM8|B7FAU9|Q8BTM8-2,MOUSE,284069.1,23.6,11,11.2,568.21,513.68,,2647,Filamin-A,nucleus|nucleolus|cytoplasm|trans-Golgi network|plasma membrane|brush border|focal adhesion|cell cortex|actin cytoskeleton|membrane|Myb complex|actin filament bundle|extracellular exosome|,epithelial to mesenchymal transition|adenylate cyclase-inhibiting dopamine receptor signaling pathway|negative regulation of transcription from RNA polymerase I promoter|actin cytoskeleton organization|actin cytoskeleton reorganization|protein localization to cell surface|negative regulation of protein catabolic process|cilium assembly|positive regulation of transcription factor import into nucleus|negative regulation of apoptotic process|receptor clustering|positive regulation of I-kappaB kinase/NF-kappaB signaling|negative regulation of sequence-specific DNA binding transcription factor activity|early endosome to late endosome transport|establishment of protein localization|protein stabilization|cytoplasmic sequestering of protein|actin crosslink formation|platelet aggregation|mitotic spindle assembly|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of integrin-mediated signaling pathway|,glycoprotein binding|actin binding|signal transducer activity|protein kinase C binding|protein binding|transcription factor binding|Rho GTPase binding|Ral GTPase binding|small GTPase binding|Fc-gamma receptor I complex binding|protein homodimerization activity|poly(A) RNA binding|Rac GTPase binding|actin filament binding|,44,85,7930000000,22.1%
V9GX76,2.5176E-06,-0.1885,74.16393931,1.501333333,3.83359E-08,27.53002663,-0.9595,-0.893,-0.965,0.548,0.6,0.5385,V9GX76,Myo6,V9GX76_Myo6,V9GX76,Myo6,1,435,93,3,V9GX76|E9Q174|V9GXM4|E9Q3L1|Q64331,MOUSE,150710.4,67.3,12,12.1,1346.5,31.11,,1294,Unconventional myosin-VI,"ruffle|nucleus|nucleoplasm|cytoplasm|Golgi apparatus|plasma membrane|vesicle membrane|membrane|cytoplasmic membrane-bounded vesicle|myosin complex|DNA-directed RNA polymerase II, holoenzyme|axon|filamentous actin|nuclear membrane|neuronal cell body|synapse|perinuclear region of cytoplasm|extracellular exosome|clathrin-coated endocytic vesicle|","protein targeting|endocytosis|synaptic transmission|synapse assembly|sensory perception of sound|locomotory behavior|metabolic process|glutamate secretion|dendrite development|DNA damage response, signal transduction by p53 class mediator|inner ear morphogenesis|auditory receptor cell differentiation|positive regulation of transcription from RNA polymerase II promoter|regulation of synaptic plasticity|inner ear development|regulation of secretion|cellular response to electrical stimulus|",motor activity|protein binding|ATP binding|actin filament binding|,94,435,1.7E+12,67.3%
Q91ZA3,0.001941946,0.042333333,33.35362509,-0.503666667,0.000461995,-6.363577053,0.2145,0.265,0.403,-0.231,-0.102,-0.2955,Q91ZA3,Pcca,Q91ZA3_Pcca,Q91ZA3,Pcca,1,2247,77,77,Q91ZA3,MOUSE,80547.9,83.4,13,13.1,1308.44,1308.44,,724,"Propionyl-CoA carboxylase alpha chain, mitochondrial",mitochondrion|mitochondrial matrix|,metabolic process|,biotin carboxylase activity|propionyl-CoA carboxylase activity|ATP binding|enzyme binding|metal ion binding|,77,2247,1.65E+14,83.4%
Q9JLB4,1.46986E-05,-0.2185,59.21518287,2.202,1.19807E-06,16.58679017,-1.2025,-1.254,-1.502,0.961,0.63,1.0565,Q9JLB4,Cubn,Q9JLB4_Cubn,Q9JLB4,Cubn,1,337,92,92,Q9JLB4,MOUSE,407932.7,29.5,14,14.1,1293.13,1293.13,,3623,Cubilin,cytoplasm|lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|endosome membrane|apical plasma membrane|endocytic vesicle|apical part of cell|extracellular exosome|,receptor-mediated endocytosis|cholesterol metabolic process|lipoprotein transport|,receptor activity|calcium ion binding|protein binding|cobalamin binding|protein homodimerization activity|,92,337,3.91E+11,29.5%
Q62261,0.00014106,-0.073166667,46.62820675,0.709333333,2.1736E-05,10.44595841,-0.4545,-0.512,-0.317,0.283,0.251,0.3105,Q62261,Sptbn1,Q62261_Sptbn1,Q62261,Sptbn1,1,262,101,94,Q62261|Q62261-2|Q3UGX2|E9Q397|P15508,MOUSE,275074,46.5,15,15.1,1248.73,1153.22,,2363,"Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,103,262,1.1E+11,46.5%
Q68FG2,0.094229356,-0.011333333,12.85132804,0.134333333,0.051864142,2.360984028,-0.0415,-0.124,-0.07,0.003,0.069,0.0955,Q68FG2,Sptbn2,Q68FG2_Sptbn2,Q68FG2,Sptbn2,1,22,26,17,Q68FG2,MOUSE,272173.4,12.1,15,15.2,290.23,181.55,,2388,Spectrin beta chain,photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|,synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|,actin binding|structural constituent of cytoskeleton|phospholipid binding|,17,22,6170000000,8.9%
Q9JKR6,4.01934E-06,-0.409333333,69.97281776,2.849666667,1.00628E-07,24.22958354,-1.7715,-1.876,-1.855,1.193,0.753,1.1005,Q9JKR6,Hyou1,Q9JKR6_Hyou1,Q9JKR6,Hyou1,1,553,77,77,Q9JKR6|E0CYZ2,MOUSE,111407.3,64.2,16,16.1,1226.46,1226.46,,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,77,553,3.62E+12,64.2%
P11881,0.010559025,0.031833333,24.68125802,0.468,0.003403096,4.446645504,-0.1805,-0.114,-0.312,0.094,0.456,0.2475,P11881,Itpr1,P11881_Itpr1,P11881,Itpr1,1,252,95,82,P11881|P11881-3|P11881-2|P11881-4|P11881-5|P11881-6|P11881-7|P11881-8,MOUSE,316584.8,33,17,17.1,1221.15,1060.52,,2749,"Inositol 1,4,5-trisphosphate receptor type 1",nuclear envelope|nuclear inner membrane|nucleolus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum membrane|calcineurin complex|postsynaptic density|membrane|integral component of membrane|sarcoplasmic reticulum|platelet dense granule membrane|platelet dense tubular network|protein complex|,response to hypoxia|calcium ion transport|post-embryonic development|endoplasmic reticulum calcium ion homeostasis|epithelial fluid transport|inositol phosphate-mediated signaling|negative regulation of calcium-mediated signaling|voluntary musculoskeletal movement|release of sequestered calcium ion into cytosol|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|calcium ion transmembrane transport|,"intracellular ligand-gated calcium channel activity|inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity|protein binding|calcium channel inhibitor activity|phosphatidylinositol binding|",95,252,2.38E+11,33.0%
Q9Z329,0.000598865,0.001,39.20641829,0.637666667,0.000120049,7.971594447,-0.3005,-0.334,-0.319,0.166,0.44,0.3535,Q9Z329,Itpr2,Q9Z329_Itpr2,Q9Z329,Itpr2,1,113,56,42,Q9Z329|Q9Z329-3|Q9Z329-2,MOUSE,310664.4,22,17,17.2,698.67,532.42,,2701,"Inositol 1,4,5-trisphosphate receptor type 2",cytoplasm|plasma membrane|cell cortex|membrane|integral component of membrane|sarcoplasmic reticulum|sarcoplasmic reticulum membrane|receptor complex|,response to hypoxia|calcium ion transport|inositol phosphate-mediated signaling|calcium ion transmembrane transport|cellular response to cAMP|cellular response to ethanol|,"inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity|calcium-release channel activity|phosphatidylinositol binding|",42,113,41800000000,18.3%
P70227,1.95782E-05,-0.063,57.11806458,1.124333333,1.94175E-06,15.24481942,-0.5515,-0.601,-0.723,0.401,0.557,0.5395,P70227,Itpr3,P70227_Itpr3,P70227,Itpr3,1,69,40,31,P70227,MOUSE,307122.1,16.9,17,17.3,499.71,389.95,,2670,"Inositol 1,4,5-trisphosphate receptor type 3",nucleus|nucleoplasm|nucleolus|cytoplasm|endoplasmic reticulum membrane|plasma membrane|integral component of plasma membrane|membrane|receptor complex|,calcium ion transport|memory|inositol phosphate-mediated signaling|sensory perception of bitter taste|sensory perception of sweet taste|sensory perception of umami taste|response to calcium ion|long-term synaptic potentiation|calcium ion transport into cytosol|calcium ion transmembrane transport|,"intracellular ligand-gated calcium channel activity|inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity|protein binding|phosphatidylinositol binding|inositol 1,4,5 trisphosphate binding|",31,69,11200000000,14.5%
