R128126,R128127,R128131,R129126,R129127,R129131,R130126,R130127,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome unique_peptides,Proteome numSpectra,Proteome totalIntensity,Proteome pct_cov,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,PCorNC,ES_score,signalP,TM,(Note: signalP and TM are for ES>=5)
-0.067,-0.059,-0.229,-0.366,-0.3575,-0.4985,-0.46,-0.49,-0.6385,E9Q4Z2,E9Q4Z2,Acacb,1,464,112,97,E9Q4Z2,MOUSE,278141.4,49.4,7,7.1,1556.4,1343.97,NA,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,112,464,8.84E+11,0.494,0.035838529,0.0125,18.14503089,-0.334,0.015328403,-3.241449006,0.1115,0.13,0.297,0.036,-0.193,-0.3065,undefined,0,,,
0.164,0.353,0.276,-0.416,-0.1815,-0.2955,-0.576,-0.294,-0.4465,Q5SWU9-2,Q5SWU9,Acaca,1,305,108,93,Q5SWU9-2|Q5SWU9,MOUSE,271550.9,52.7,7,7.2,1548.6,1336.17,NA,2345,Isoform 2 of Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,93,305,2.98E+11,0.458,0.534064387,0.028666667,3.493916957,-0.133666667,0.447309688,-0.807593195,0.1685,0.005,0.113,0.353,-0.182,-0.2855,undefined,0,,,
3.089,3.203,3.288,2.676,2.8325,2.9115,3.064,3.187,3.2035,P08113,P08113,Hsp90b1,1,964,96,94,P08113,MOUSE,92759.4,73,8,8.1,1503.66,1467.31,NA,802,Endoplasmin,extracellular region|nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|cytosol|plasma membrane|focal adhesion|membrane|midbody|extracellular matrix|endoplasmic reticulum chaperone complex|melanosome|perinuclear region of cytoplasm|extracellular exosome|,"response to hypoxia|protein folding|ER-associated ubiquitin-dependent protein catabolic process|retrograde protein transport, ER to cytosol|actin rod assembly|negative regulation of apoptotic process|regulation of phosphoprotein phosphatase activity|cellular response to ATP|",RNA binding|protein binding|ATP binding|protein phosphatase binding|virion binding|low-density lipoprotein particle receptor binding|unfolded protein binding|,96,964,1.80E+13,0.73,2.39E-06,-0.516,75.59569872,3.003,2.76E-08,29.49899447,-1.9495,-1.969,-2.134,1.075,0.788,1.0935,PC,9,TRUE,,
-0.259,-0.339,-0.25,-0.439,-0.5345,-0.4015,-0.251,-0.375,-0.2445,P11499,P11499,Hsp90ab1,1,191,68,44,P11499|E9PX27,MOUSE,83622,68.9,8,8.2,947.34,598.97,NA,724,Heat shock protein HSP 90-beta,intracellular|cytoplasm|mitochondrion|cytosol|cell surface|membrane|inclusion body|basolateral plasma membrane|apical plasma membrane|brush border membrane|melanosome|extracellular exosome|COP9 signalosome|,"placenta development|protein folding|response to salt stress|virion attachment to host cell|positive regulation of protein binding|negative regulation of proteasomal ubiquitin-dependent protein catabolic process|positive regulation of protein import into nucleus, translocation|negative regulation of neuron apoptotic process|positive regulation of nitric oxide biosynthetic process|positive regulation of cell size|regulation of interferon-gamma-mediated signaling pathway|regulation of type I interferon-mediated signaling pathway|cellular response to interleukin-4|cellular response to organic cyclic compound|positive regulation of protein serine/threonine kinase activity|fibril organization|",UTP binding|CTP binding|double-stranded RNA binding|protein binding|ATP binding|GTP binding|sulfonylurea receptor binding|kinase binding|protein kinase binding|MHC class II protein complex binding|nitric-oxide synthase regulator activity|TPR domain binding|dATP binding|ion channel binding|poly(A) RNA binding|unfolded protein binding|,44,191,6.92E+11,0.53,0.019582855,-0.016166667,21.37777476,-0.309333333,0.007281528,-3.806698147,0.1155,0.218,0.082,-0.081,-0.315,-0.1165,PC,0,,,
-0.392,-0.522,-0.382,-0.576,-0.7165,-0.5775,-0.458,-0.59,-0.4415,P07901,P07901,Hsp90aa1,1,101,53,31,P07901,MOUSE,85185.7,60.5,8,8.3,743.09,431.07,NA,733,Heat shock protein HSP 90-alpha,intracellular|nucleus|nucleoplasm|cytoplasm|mitochondrion|cytosol|membrane|ruffle membrane|melanosome|myelin sheath|extracellular exosome|,nitric oxide biosynthetic process|response to unfolded protein|response to cold|protein refolding|protein import into mitochondrial outer membrane|positive regulation of nitric oxide biosynthetic process|positive regulation of cytotoxic T cell differentiation|regulation of catalytic activity|chaperone-mediated protein complex assembly|,protein binding|ATP binding|ATPase activity|MHC class II protein complex binding|nitric-oxide synthase regulator activity|TPR domain binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|GTPase binding|unfolded protein binding|,31,101,1.71E+11,0.451,0.001763508,-0.015833333,33.84111832,-0.472666667,0.000412941,-6.479514323,0.1835,0.299,0.179,-0.174,-0.364,-0.2185,undefined,0,,,
-0.198,-0.333,-0.234,-0.248,-0.3625,-0.2615,-0.261,-0.358,-0.2795,Q9CQN1,Q9CQN1,Trap1,1,231,45,44,Q9CQN1,MOUSE,80549.8,64.1,8,8.4,699.82,679.18,NA,706,"Heat shock protein 75 kDa, mitochondrial",nucleoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial intermembrane space|mitochondrial matrix|lipid particle|membrane|extracellular exosome|,protein folding|response to stress|translational attenuation|negative regulation of cellular respiration|negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|,ATP binding|protein kinase binding|poly(A) RNA binding|unfolded protein binding|,44,231,9.59E+11,0.621,0.010089989,0.010833333,24.94901706,-0.256,0.003199619,-4.47930563,0.0915,0.204,0.121,-0.087,-0.123,-0.1415,undefined,0,,,
-0.671,-1.468,-1.292,-0.526,-1.3095,-1.1005,-0.66,-1.424,-1.2585,Q5SXR6,Q5SXR6,Cltc,1,430,95,95,Q5SXR6|Q68FD5,MOUSE,193751.2,56.2,9,9.1,1461.62,1461.62,NA,1679,Clathrin heavy chain,cytoplasm|mitochondrion|spindle|focal adhesion|membrane|membrane coat|clathrin coat of trans-Golgi network vesicle|clathrin coat of coated pit|clathrin-coated vesicle|Myb complex|intracellular membrane-bounded organelle|protein complex|extracellular exosome|clathrin complex|extracellular vesicle|,osteoblast differentiation|intracellular protein transport|receptor-mediated endocytosis|mitotic nuclear division|receptor internalization|transferrin transport|mitotic spindle assembly|negative regulation of hyaluronan biosynthetic process|negative regulation of protein localization to plasma membrane|,double-stranded RNA binding|structural molecule activity|protein binding|clathrin light chain binding|poly(A) RNA binding|,95,430,1.19E+12,0.562,0.003420677,0.1335,30.55130095,-1.016,0.000880785,-5.709661303,0.2065,0.892,0.826,-0.322,-0.378,-0.4235,undefined,0,,,
-1.35,-1.06,-0.512,-1.539,-1.2065,-0.6535,-1.576,-1.301,-0.7585,Q9DBM2,Q9DBM2,Ehhadh,1,1270,83,83,Q9DBM2,MOUSE,78870.6,92.7,10,10.1,1459.4,1459.4,NA,718,Peroxisomal bifunctional enzyme,mitochondrion|peroxisome|cytosol|,internal protein amino acid acetylation|fatty acid beta-oxidation|acyl-CoA metabolic process|,3-hydroxyacyl-CoA dehydrogenase activity|dodecenoyl-CoA delta-isomerase activity|enoyl-CoA hydratase activity|receptor binding|enzyme binding|,83,1270,6.57E+13,0.927,0.003970384,0.087333333,29.82705813,-1.086333333,0.001040625,-5.542518028,0.9895,0.704,0.198,-0.299,-0.526,-0.5425,NC,0,,,
-0.228,-0.188,-0.362,-0.281,-0.1615,-0.3495,-0.241,-0.169,-0.3275,Q80X90,Q80X90,Flnb,1,280,98,93,Q80X90,MOUSE,280272.8,46.8,11,11.1,1349.25,1283.75,NA,2602,Filamin-B,stress fiber|cytoplasm|plasma membrane|brush border|focal adhesion|cell cortex|Z disc|extracellular exosome|,keratinocyte development|epithelial cell morphogenesis|skeletal muscle tissue development|actin cytoskeleton organization|,actin binding|protein binding|identical protein binding|poly(A) RNA binding|,98,280,1.25E+11,0.468,0.021072599,0.0225,20.9793587,-0.233333333,0.007981125,-3.728944483,0.1105,0.071,0.236,-0.091,-0.097,-0.0945,NC,0,,,
0.17,0.169,0.009,0.131,0.1055,-0.0515,0.326,0.232,0.1155,Q8BTM8,Q8BTM8,Flna,1,85,48,44,Q8BTM8|B7FAU9|Q8BTM8-2,MOUSE,284069.1,23.6,11,11.2,568.21,513.68,NA,2647,Filamin-A,nucleus|nucleolus|cytoplasm|trans-Golgi network|plasma membrane|brush border|focal adhesion|cell cortex|actin cytoskeleton|membrane|Myb complex|actin filament bundle|extracellular exosome|,epithelial to mesenchymal transition|adenylate cyclase-inhibiting dopamine receptor signaling pathway|negative regulation of transcription from RNA polymerase I promoter|actin cytoskeleton organization|actin cytoskeleton reorganization|protein localization to cell surface|negative regulation of protein catabolic process|cilium assembly|positive regulation of transcription factor import into nucleus|negative regulation of apoptotic process|receptor clustering|positive regulation of I-kappaB kinase/NF-kappaB signaling|negative regulation of sequence-specific DNA binding transcription factor activity|early endosome to late endosome transport|establishment of protein localization|protein stabilization|cytoplasmic sequestering of protein|actin crosslink formation|platelet aggregation|mitotic spindle assembly|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of integrin-mediated signaling pathway|,glycoprotein binding|actin binding|signal transducer activity|protein kinase C binding|protein binding|transcription factor binding|Rho GTPase binding|Ral GTPase binding|small GTPase binding|Fc-gamma receptor I complex binding|protein homodimerization activity|poly(A) RNA binding|Rac GTPase binding|actin filament binding|,44,85,7.93E+09,0.221,0.147003527,-0.0135,10.4548447,0.148666667,0.090056596,1.980685815,-0.1655,-0.102,0.004,0.035,-0.017,0.1645,undefined,0,,,
1.529,1.464,1.471,1.527,1.4805,1.4835,1.474,1.438,1.4245,V9GX76,V9GX76,Myo6,1,435,93,3,V9GX76|E9Q174|V9GXM4|E9Q3L1|Q64331,MOUSE,150710.4,67.3,12,12.1,1346.5,31.11,NA,1294,Unconventional myosin-VI,"ruffle|nucleus|nucleoplasm|cytoplasm|Golgi apparatus|plasma membrane|vesicle membrane|membrane|cytoplasmic membrane-bounded vesicle|myosin complex|DNA-directed RNA polymerase II, holoenzyme|axon|filamentous actin|nuclear membrane|neuronal cell body|synapse|perinuclear region of cytoplasm|extracellular exosome|clathrin-coated endocytic vesicle|","protein targeting|endocytosis|synaptic transmission|synapse assembly|sensory perception of sound|locomotory behavior|metabolic process|glutamate secretion|dendrite development|DNA damage response, signal transduction by p53 class mediator|inner ear morphogenesis|auditory receptor cell differentiation|positive regulation of transcription from RNA polymerase II promoter|regulation of synaptic plasticity|inner ear development|regulation of secretion|cellular response to electrical stimulus|",motor activity|protein binding|ATP binding|actin filament binding|,94,435,1.70E+12,0.673,2.52E-06,-0.1885,74.16393931,1.501333333,3.83E-08,27.53002663,-0.9595,-0.893,-0.965,0.548,0.6,0.5385,undefined,9,,,
-0.54,-0.558,-0.695,-0.367,-0.4005,-0.5085,-0.571,-0.61,-0.7255,Q91ZA3,Q91ZA3,Pcca,1,2247,77,77,Q91ZA3,MOUSE,80547.9,83.4,13,13.1,1308.44,1308.44,NA,724,"Propionyl-CoA carboxylase alpha chain, mitochondrial",mitochondrion|mitochondrial matrix|,metabolic process|,biotin carboxylase activity|propionyl-CoA carboxylase activity|ATP binding|enzyme binding|metal ion binding|,77,2247,1.65E+14,0.834,0.001941946,0.042333333,33.35362509,-0.503666667,0.000461995,-6.363577053,0.2145,0.265,0.403,-0.231,-0.102,-0.2955,NC,0,,,
2.209,2.304,2.415,1.75,1.9175,1.9815,2.23,2.379,2.4235,Q9JLB4,Q9JLB4,Cubn,1,337,92,92,Q9JLB4,MOUSE,407932.7,29.5,14,14.1,1293.13,1293.13,NA,3623,Cubilin,cytoplasm|lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|endosome membrane|apical plasma membrane|endocytic vesicle|apical part of cell|extracellular exosome|,receptor-mediated endocytosis|cholesterol metabolic process|lipoprotein transport|,receptor activity|calcium ion binding|protein binding|cobalamin binding|protein homodimerization activity|,92,337,3.91E+11,0.295,1.47E-05,-0.2185,59.21518287,2.202,1.20E-06,16.58679017,-1.2025,-1.254,-1.502,0.961,0.63,1.0565,undefined,9,TRUE,,
0.733,0.814,0.6,0.666,0.7315,0.5405,0.79,0.834,0.5975,Q62261,Q62261,Sptbn1,1,262,101,94,Q62261|Q62261-2|Q3UGX2|E9Q397|P15508,MOUSE,275074,46.5,15,15.1,1248.73,1153.22,NA,2363,"Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,103,262,1.10E+11,0.465,0.00014106,-0.073166667,46.62820675,0.709333333,2.17E-05,10.44595841,-0.4545,-0.512,-0.317,0.283,0.251,0.3105,NC,9,,,
0.076,0.134,0.059,0.074,0.1535,0.1545,0.128,0.267,0.2285,Q68FG2,Q68FG2,Sptbn2,1,22,26,17,Q68FG2,MOUSE,272173.4,12.1,15,15.2,290.23,181.55,NA,2388,Spectrin beta chain,photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|,synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|,actin binding|structural constituent of cytoskeleton|phospholipid binding|,17,22,6.17E+09,0.089,0.094229356,-0.011333333,12.85132804,0.134333333,0.051864142,2.360984028,-0.0415,-0.124,-0.07,0.003,0.069,0.0955,undefined,0,,,
3.007,3.238,3.221,2.466,2.7245,2.7215,2.909,3.136,3.0215,Q9JKR6,Q9JKR6,Hyou1,1,553,77,77,Q9JKR6|E0CYZ2,MOUSE,111407.3,64.2,16,16.1,1226.46,1226.46,NA,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,77,553,3.62E+12,0.642,4.02E-06,-0.409333333,69.97281776,2.849666667,1.01E-07,24.22958354,-1.7715,-1.876,-1.855,1.193,0.753,1.1005,PC,9,TRUE,TRUE,
0.25,0.169,0.35,0.619,0.5495,0.7595,0.439,0.345,0.5665,P11881,P11881,Itpr1,1,252,95,82,P11881|P11881-3|P11881-2|P11881-4|P11881-5|P11881-6|P11881-7|P11881-8,MOUSE,316584.8,33,17,17.1,1221.15,1060.52,NA,2749,"Inositol 1,4,5-trisphosphate receptor type 1",nuclear envelope|nuclear inner membrane|nucleolus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum membrane|calcineurin complex|postsynaptic density|membrane|integral component of membrane|sarcoplasmic reticulum|platelet dense granule membrane|platelet dense tubular network|protein complex|,response to hypoxia|calcium ion transport|post-embryonic development|endoplasmic reticulum calcium ion homeostasis|epithelial fluid transport|inositol phosphate-mediated signaling|negative regulation of calcium-mediated signaling|voluntary musculoskeletal movement|release of sequestered calcium ion into cytosol|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|calcium ion transmembrane transport|,"intracellular ligand-gated calcium channel activity|inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity|protein binding|calcium channel inhibitor activity|phosphatidylinositol binding|",95,252,2.38E+11,0.33,0.010559025,0.031833333,24.68125802,0.468,0.003403096,4.446645504,-0.1805,-0.114,-0.312,0.094,0.456,0.2475,undefined,5,,TRUE,
