,id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
3356,A2A7A7,0.000209993,-0.351333333,50.94424002,2.116,8.05E-06,10.77236835,-1.167,-1.887,-1.174,0.795,0.567,0.758,A2A7A7,H6pd,A2A7A7_H6pd,A2A7A7,H6pd,1,3,2,2,A2A7A7|Q8CF,MOUSE,90478.8,3,2910,2910.1,17.15,17.15,NA,797,GDH/6PGL endoplasmic bifunctional protein,mitochondrion|,glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|,glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|,2,3,68300000,3.00%
1980,Q61334,0.000121745,-0.171833333,53.76888471,2.105,4.20E-06,11.80438821,-1.185,-0.987,-1.501,1.09,0.557,0.995,Q61334,Bcap29,Q61334_Bcap29,Q61334,Bcap29,1,12,5,5,Q61334,MOUSE,28020.4,16.2,1508,1508.1,69.63,69.63,NA,240,B-cell receptor-associated protein 29,endoplasmic reticulum membrane|membrane|integral component of membrane|,osteoblast differentiation|intracellular protein transport|ER to Golgi vesicle-mediated transport|apoptotic process|protein localization to endoplasmic reticulum exit site|,,5,12,1.93E+09,16.20%
2645,Q99KI3,0.000881855,0.091,43.00700332,2.095333333,5.00E-05,8.284191473,-1.015,-0.953,-0.902,1.469,0.48,1.467,Q99KI3,Emc3,Q99KI3_Emc3,Q99KI3,Emc3,1,6,4,4,Q99KI3,MOUSE,29979.5,9.1,2161,2161.1,36.33,36.33,NA,261,ER membrane protein complex subunit 3,integral component of membrane|ER membrane protein complex|,protein folding in endoplasmic reticulum|,,4,6,1.37E+09,9.10%
1169,Q05186,1.31E-05,-0.300666667,69.1050132,2.086666667,1.23E-07,18.54769027,-1.478,-1.277,-1.277,0.918,0.59,0.72,Q05186,Rcn1,Q05186_Rcn1,Q05186,Rcn1,1,35,12,12,Q05186,MOUSE,38112.4,42.4,789,789.1,164.59,164.59,NA,325,Reticulocalbin-1,endoplasmic reticulum|endoplasmic reticulum lumen|,in utero embryonic development|camera-type eye development|,calcium ion binding|,12,35,1.12E+10,42.40%
1881,Q9D1D4,5.43E-05,-0.147666667,58.64946225,2.068,1.36E-06,13.42255651,-1.33,-1.126,-1.089,0.969,0.558,1.132,Q9D1D4,Tmed10,Q9D1D4_Tmed10,Q9D1D4,Tmed10,1,21,6,6,Q9D1D4|A0A1Y7VM54|Q9D1D4-2,MOUSE,25081.5,33.3,1417,1417.1,77.35,77.35,NA,219,Transmembrane emp24 domain-containing protein 10,Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|cis-Golgi network|plasma membrane|integral component of membrane|COPI-coated vesicle|trans-Golgi network transport vesicle|transport vesicle membrane|secretory granule membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|melanosome|zymogen granule membrane|extracellular exosome|gamma-secretase complex|,"kidney development|intracellular protein transport|retrograde vesicle-mediated transport, Golgi to ER|Golgi organization|COPI-coated vesicle budding|response to alkaloid|regulated secretory pathway|vesicle targeting, to, from or within Golgi|protein oligomerization|regulation of beta-amyloid formation|",syntaxin binding|protein complex binding|,6,21,2.73E+09,33.30%
2084,Q99KF1,0.000118594,-0.171833333,53.95379468,2.063666667,4.02E-06,11.81948973,-1.47,-1.117,-1.024,0.957,0.531,1.092,Q99KF1,Tmed9,Q99KF1_Tmed9,Q99KF1,Tmed9,1,10,5,4,Q99KF1|A0A286YDS5,MOUSE,27240.8,18.2,1607,1607.1,61.8,46.99,NA,235,Transmembrane emp24 domain-containing protein 9,Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|integral component of membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|extracellular exosome|,Golgi organization|positive regulation of organelle organization|protein transport|COPI coating of Golgi vesicle|,syntaxin binding|,5,10,3.60E+08,18.20%
2705,Q7TQN3,0.000627114,-0.0175,44.9104007,2.055666667,3.23E-05,8.830767879,-1.295,-0.96,-0.881,1.19,0.472,1.369,Q7TQN3,Wfikkn2,Q7TQN3_Wfikkn2,Q7TQN3,Wfikkn2,1,5,3,3,Q7TQN3,MOUSE,65557.4,5.6,2219,2219.1,34.07,34.07,NA,571,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",extracellular region|,skeletal system development|transforming growth factor beta receptor signaling pathway|negative regulation of endopeptidase activity|negative regulation of protein binding|negative regulation of DNA binding|muscle fiber development|palate development|,serine-type endopeptidase inhibitor activity|protein binding|metalloendopeptidase inhibitor activity|,3,5,2.63E+08,5.60%
1629,A0A0R4J0I1,2.12E-05,-0.423666667,65.54835243,2.046,2.79E-07,16.62555036,-1.56,-1.2,-1.58,0.528,0.709,0.561,A0A0R4J0I1,Serpina3k,A0A0R4J0I1_Serpina3k,A0A0R4J0I1,Serpina3k,1,12,8,8,A0A0R4J0I1|P07759|Q03734|Q5I2A0|G3X8T9|P29621|Q91WP6|F2Z405,MOUSE,46900.1,30.8,1186,1186.1,101.38,101.38,NA,418,MCG1051009,,,,8,12,3.08E+08,30.80%
1261,P24668,0.00023927,-0.190666667,50.31158759,2.043333333,9.31E-06,10.55262257,-1.615,-1.062,-0.96,0.94,0.56,0.993,P24668,M6pr,P24668_M6pr,P24668,M6pr,1,23,10,10,P24668,MOUSE,31685.3,33.8,857,857.1,147.24,147.24,NA,278,Cation-dependent mannose-6-phosphate receptor,lysosomal membrane|endosome|late endosome|membrane|integral component of membrane|perinuclear region of cytoplasm|,intracellular protein transport|mannose transport|,mannose transmembrane transporter activity|,10,23,7.11E+09,33.80%
1940,Q8BPB5,2.47E-05,-0.194333333,63.84566283,2.041333333,4.13E-07,15.7740668,-1.23,-1.1,-1.315,0.835,0.593,1.051,Q8BPB5,Efemp1,Q8BPB5_Efemp1,Q8BPB5,Efemp1,1,11,7,7,Q8BPB5,MOUSE,57234.1,16.4,1471,1471.1,73.03,73.03,NA,493,EGF-containing fibulin-like extracellular matrix protein 1,proteinaceous extracellular matrix|extracellular space|extracellular exosome|extracellular matrix|,"regulation of transcription, DNA-templated|epidermal growth factor receptor signaling pathway|peptidyl-tyrosine phosphorylation|negative regulation of chondrocyte differentiation|",epidermal growth factor-activated receptor activity|epidermal growth factor receptor binding|calcium ion binding|growth factor activity|,7,11,7.45E+08,16.40%
3299,G5E8Q0,1.06E-05,-0.337,75.32357572,2.041333333,2.94E-08,22.43377321,-1.41,-1.36,-1.303,0.72,0.557,0.774,G5E8Q0,Lyst,G5E8Q0_Lyst,G5E8Q0,Lyst,1,4,2,2,G5E8Q0|P97412,MOUSE,430850.7,0.4,2845,2845.1,18.12,18.12,NA,3787,"Lysosomal trafficking regulator, isoform CRA_a",cytosol|endomembrane system|microtubule cytoskeleton|extrinsic component of membrane|,neutrophil mediated immunity|T cell mediated immunity|phospholipid metabolic process|microtubule-based process|lysosome organization|blood coagulation|endosomal transport|leukocyte chemotaxis|melanosome organization|endosome to lysosome transport via multivesicular body sorting pathway|positive regulation of natural killer cell activation|secretion of lysosomal enzymes|mast cell secretory granule organization|natural killer cell mediated cytotoxicity|response to drug|defense response to bacterium|defense response to protozoan|pigmentation|pigment granule organization|defense response to virus|phospholipid homeostasis|,phospholipid binding|,2,4,9.06E+08,0.40%
1757,P09470,0.000123671,-0.270666667,53.6608257,1.995333333,4.30E-06,11.62261682,-1.172,-1.501,-1.132,0.545,0.553,1.083,P09470,Ace,P09470_Ace,P09470,Ace,1,9,7,7,P09470|P09470-2,MOUSE,151771.2,7,1299,1299.1,89.28,89.28,NA,1312,Angiotensin-converting enzyme,extracellular space|cytoplasm|lysosome|endosome|plasma membrane|external side of plasma membrane|integral component of membrane|extracellular exosome|,kidney development|neutrophil mediated immunity|regulation of systemic arterial blood pressure by renin-angiotensin|positive regulation of systemic arterial blood pressure|proteolysis|spermatogenesis|regulation of blood pressure|posttranscriptional regulation of gene expression|negative regulation of gene expression|negative regulation of protein binding|positive regulation of protein binding|hormone catabolic process|peptide catabolic process|beta-amyloid metabolic process|arachidonic acid secretion|heart contraction|regulation of angiotensin metabolic process|positive regulation of protein tyrosine kinase activity|cell proliferation in bone marrow|positive regulation of peptidyl-tyrosine autophosphorylation|regulation of hematopoietic stem cell proliferation|negative regulation of gap junction assembly|positive regulation of peptidyl-cysteine S-nitrosylation|,actin binding|endopeptidase activity|carboxypeptidase activity|protein binding|drug binding|peptidase activity|metallopeptidase activity|exopeptidase activity|tripeptidyl-peptidase activity|peptidyl-dipeptidase activity|zinc ion binding|chloride ion binding|mitogen-activated protein kinase kinase binding|bradykinin receptor binding|mitogen-activated protein kinase binding|,7,9,9.78E+08,7.00%
424,Q8R180,1.06E-05,-0.336,75.04650463,1.993333333,3.13E-08,22.24496485,-1.449,-1.221,-1.328,0.681,0.621,0.68,Q8R180,Ero1l,Q8R180_Ero1l,Q8R180,Ero1a,1,89,30,30,Q8R180|A0A1Y7VJM4|Q8R2E9|A0A1Y7VNF4,MOUSE,54939.2,67,236,236.1,411.62,411.62,NA,464,ERO1-like protein alpha,endoplasmic reticulum|membrane|integral component of endoplasmic reticulum membrane|,protein folding|4-hydroxyproline metabolic process|protein maturation by protein folding|extracellular matrix organization|endoplasmic reticulum unfolded protein response|response to endoplasmic reticulum stress|cell redox homeostasis|brown fat cell differentiation|chaperone mediated protein folding requiring cofactor|release of sequestered calcium ion into cytosol|oxidation-reduction process|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|,"protein disulfide isomerase activity|protein disulfide oxidoreductase activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor|",32,89,4.58E+10,67.00%
2085,Q8R1V4,0.000250687,-0.1325,49.9488831,1.967666667,1.01E-05,10.42844499,-0.78,-1.425,-1.144,0.982,0.558,1.014,Q8R1V4,Tmed4,Q8R1V4_Tmed4,Q8R1V4,Tmed4,1,3,4,3,Q8R1V4,MOUSE,26249.7,14.9,1607,1607.2,57,42.19,NA,227,Transmembrane emp24 domain-containing protein 4,endoplasmic reticulum membrane|integral component of membrane|extracellular exosome|,signal transduction|protein transport|positive regulation of I-kappaB kinase/NF-kappaB signaling|,signal transducer activity|,3,3,3.47E+08,7.40%
1526,Q9DAU1,1.06E-05,-0.246333333,71.80256361,1.962,6.60E-08,20.14602711,-1.271,-1.192,-1.219,0.865,0.579,0.76,Q9DAU1,Cnpy3,Q9DAU1_Cnpy3,Q9DAU1,Cnpy3,1,17,7,7,Q9DAU1|Q9DAU1-2|B0V2V1,MOUSE,30936.7,29.3,1095,1095.1,111.6,111.6,NA,276,Protein canopy homolog 3,endoplasmic reticulum|,innate immune response|,receptor binding|,7,17,4.04E+09,29.30%
281,Q9R1E6-3,0.000149302,-0.055166667,52.52622413,1.944333333,5.59E-06,11.22969815,-1.113,-1.021,-0.948,0.951,0.538,1.262,Q9R1E6,Enpp2,Q9R1E6-3_Enpp2,Q9R1E6-3,Enpp2,1,139,41,41,Q9R1E6-3|Q9R1E6|Q9R1E6-2|G3UXY9,MOUSE,103560.5,43.6,135,135.1,584.76,584.76,NA,862,Isoform 3 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,extracellular space|integral component of plasma membrane|,receptor-mediated endocytosis|chemotaxis|immune response|phospholipid catabolic process|positive regulation of epithelial cell migration|regulation of cell migration|phosphatidylcholine catabolic process|regulation of angiogenesis|positive regulation of peptidyl-tyrosine phosphorylation|nucleic acid phosphodiester bond hydrolysis|positive regulation of lamellipodium morphogenesis|,nucleic acid binding|phosphodiesterase I activity|nucleotide diphosphatase activity|lysophospholipase activity|scavenger receptor activity|calcium ion binding|zinc ion binding|polysaccharide binding|alkylglycerophosphoethanolamine phosphodiesterase activity|,41,139,1.02E+11,43.60%
1908,Q9ERR7,1.06E-05,-0.337166667,77.32268574,1.924333333,1.85E-08,23.84308584,-1.331,-1.32,-1.247,0.69,0.577,0.608,Q9ERR7,Selenof,Q9ERR7_Selenof,Q9ERR7,Selenof,1,14,6,6,Q9ERR7|A0A0R4J0K1|A0A1C7ZMY4,MOUSE,18191.8,51.2,1442,1442.1,75.3,75.3,NA,162,Selenoprotein F,endoplasmic reticulum lumen|extracellular exosome|,'de novo' posttranslational protein folding|,protein binding|selenium binding|,6,14,5.14E+09,51.20%
459,E9PY90,2.18E-05,-0.185333333,64.88627549,1.909333333,3.25E-07,16.2893991,-1.184,-1.164,-1.072,0.953,0.543,0.812,E9PY90,Mia2,E9PY90_Mia2,E9PY90,Mia2,1,58,29,1,E9PY90|H3BK44|H3BKL6,MOUSE,87013.3,47.4,261,261.1,377.47,18.35,NA,772,Melanoma inhibitory activity protein 2,membrane|,,,29,58,1.50E+10,47.40%
2643,Q8K007,5.44E-05,-0.195166667,58.44312066,1.886333333,1.43E-06,13.33631111,-1.092,-1.297,-1.026,0.704,0.522,1.018,Q8K007,Sulf1,Q8K007_Sulf1,Q8K007,Sulf1,1,4,4,4,Q8K007|A0A0R4J2D2,MOUSE,102233.1,4.5,2159,2159.1,36.38,36.38,NA,870,Extracellular sulfatase Sulf-1,extracellular space|endoplasmic reticulum|Golgi apparatus|Golgi stack|plasma membrane|cell surface|membrane raft|,cartilage condensation|kidney development|negative regulation of endothelial cell proliferation|chondrocyte development|glomerular filtration|sulfur compound metabolic process|apoptotic process|cell adhesion|positive regulation of vascular endothelial growth factor production|esophagus smooth muscle contraction|negative regulation of angiogenesis|positive regulation of Wnt signaling pathway|heparan sulfate proteoglycan metabolic process|negative regulation of cell migration|positive regulation of BMP signaling pathway|glomerular basement membrane development|glial cell-derived neurotrophic factor receptor signaling pathway|limb joint morphogenesis|regulation of fibroblast growth factor receptor signaling pathway|negative regulation of fibroblast growth factor receptor signaling pathway|vascular endothelial growth factor receptor signaling pathway|positive regulation of smooth muscle cell proliferation|embryonic skeletal system development|cartilage development|bone development|innervation|negative regulation of prostatic bud formation|,arylsulfatase activity|calcium ion binding|N-acetylglucosamine-6-sulfatase activity|,4,4,8.30E+07,4.50%
3377,Q9Z1T2,0.001077727,-0.263666667,42.00360412,1.884,6.30E-05,8.007535283,-1.448,-1.222,-0.947,0.312,0.52,1.203,Q9Z1T2,Thbs4,Q9Z1T2_Thbs4,Q9Z1T2,Thbs4,1,2,2,2,Q9Z1T2,MOUSE,109046.1,3,2936,2936.1,16.65,16.65,NA,963,Thrombospondin-4,basement membrane|extracellular space|endoplasmic reticulum|sarcoplasmic reticulum|extracellular matrix|extracellular exosome|,positive regulation of endothelial cell proliferation|response to unfolded protein|negative regulation of angiogenesis|regulation of tissue remodeling|response to endoplasmic reticulum stress|behavioral response to pain|tissue remodeling|positive regulation of peptidyl-tyrosine phosphorylation|myoblast migration|positive regulation of cell division|endothelial cell-cell adhesion|positive regulation of neutrophil chemotaxis|,integrin binding|calcium ion binding|protein binding|growth factor activity|heparin binding|,2,2,11600000,3.00%
1335,P18242,3.68E-05,-0.206,61.52059465,1.87,7.05E-07,14.67777408,-1.059,-1.296,-1.068,0.689,0.544,0.954,P18242,Ctsd,P18242_Ctsd,P18242,Ctsd,1,30,9,9,P18242|F8WIR1,MOUSE,45409.4,27.8,924,924.1,137.47,137.47,NA,410,Cathepsin D,extracellular space|mitochondrion|lysosome|melanosome|membrane raft|extracellular exosome|extracellular matrix|,autophagosome assembly|proteolysis|autophagy|protein catabolic process|epithelial tube branching involved in lung morphogenesis|,aspartic-type endopeptidase activity|peptidase activity|peptide binding|,9,30,8.74E+09,27.80%
1616,Q80W54,2.15E-05,-0.194833333,65.24593859,1.867666667,2.99E-07,16.47119788,-1.13,-1.214,-1.042,0.93,0.559,0.728,Q80W54,Zmpste24,Q80W54_Zmpste24,Q80W54,Zmpste24,1,23,7,7,Q80W54,MOUSE,55018.7,19.1,1173,1173.1,103.64,103.64,NA,475,CAAX prenyl protease 1 homolog,nuclear inner membrane|endoplasmic reticulum membrane|membrane|integral component of membrane|extracellular exosome|,nuclear envelope organization|prenylated protein catabolic process|CAAX-box protein processing|,metalloendopeptidase activity|metal ion binding|,7,23,6.66E+09,19.10%
302,Q91YW3,4.30E-05,-0.121666667,60.43146197,1.863333333,9.05E-07,14.18925211,-1.147,-0.983,-1.03,0.863,0.543,1.024,Q91YW3,Dnajc3,Q91YW3_Dnajc3,Q91YW3,Dnajc3,1,126,41,41,Q91YW3,MOUSE,57919.4,68.6,151,151.1,552.26,552.26,NA,504,DnaJ homolog subfamily C member 3,cytoplasm|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cytosol|membrane|extracellular exosome|extracellular vesicle|endoplasmic reticulum Sec complex|,negative regulation of protein kinase activity|endoplasmic reticulum unfolded protein response|negative regulation of apoptotic process|proteolysis involved in cellular protein catabolic process|negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation|negative regulation of cyclin-dependent protein kinase activity|,protein binding|chaperone binding|misfolded protein binding|,41,126,1.07E+11,68.60%
1020,Q922Q9,1.06E-05,-0.289333333,71.25326836,1.846666667,7.49E-08,19.81015084,-1.108,-1.356,-1.174,0.672,0.595,0.635,Q922Q9,Chid1,Q922Q9_Chid1,Q922Q9,Chid1,1,33,12,12,A0A0R4J242|Q922Q9|A0A0R4J058|Q922Q9-2|A0A1B0GSH5,MOUSE,45075.9,35.1,660,660.1,189.2,189.2,NA,393,Chitinase domain-containing protein 1,extracellular region|extracellular space|nucleus|lysosome|late endosome|trans-Golgi network|membrane|extracellular exosome|,carbohydrate metabolic process|chitin catabolic process|innate immune response|negative regulation of cytokine production involved in inflammatory response|,chitinase activity|chitin binding|oligosaccharide binding|,12,33,5.32E+09,35.10%
604,Q8C341-2,1.06E-05,-0.292666667,77.21447421,1.843333333,1.90E-08,23.76463798,-1.236,-1.221,-1.186,0.628,0.585,0.674,Q8C341,Suco,Q8C341-2_Suco,Q8C341-2,Suco,1,40,23,23,Q8C341-2|Q8C341,MOUSE,140779.6,22.2,352,352.1,301.39,301.39,NA,1250,Isoform 2 of SUN domain-containing ossification factor,rough endoplasmic reticulum|membrane|integral component of membrane|rough endoplasmic reticulum membrane|,multicellular organismal development|positive regulation of collagen biosynthetic process|positive regulation of osteoblast differentiation|regulation of bone remodeling|,,23,40,2.38E+09,22.20%
972,Q03517,0.001080735,-0.027666667,41.9698367,1.831333333,6.35E-05,7.998358152,-0.917,-0.964,-0.949,1.398,0.894,0.372,Q03517,Scg2,Q03517_Scg2,Q03517,Scg2,1,39,15,15,Q03517|Q4W8U9,MOUSE,70642.7,30.3,624,624.1,199.64,199.64,NA,617,Secretogranin-2,extracellular space|secretory granule|,MAPK cascade|angiogenesis|positive regulation of endothelial cell proliferation|intracellular signal transduction|eosinophil chemotaxis|positive chemotaxis|induction of positive chemotaxis|negative regulation of endothelial cell apoptotic process|negative regulation of extrinsic apoptotic signaling pathway|,cytokine activity|chemoattractant activity|,15,39,4.70E+09,30.30%
124,Q6P5E4,1.06E-05,-0.236333333,72.177555,1.824666667,6.06E-08,20.37847724,-1.228,-1.131,-1.087,0.743,0.568,0.717,Q6P5E4,Uggt1,Q6P5E4_Uggt1,Q6P5E4,Uggt1,1,211,71,71,Q6P5E4|G3UZU8,MOUSE,177115,49.5,49,49.1,1024.32,1024.32,NA,1551,UDP-glucose:glycoprotein glucosyltransferase 1,endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|,protein glycosylation|UDP-glucosylation|,UDP-glucose:glycoprotein glucosyltransferase activity|protein binding|unfolded protein binding|,71,211,7.59E+10,49.50%
1294,Q9D0F3,0.001911789,0.082166667,39.04154212,1.813,0.000124694,7.234012066,-1.091,-0.739,-0.643,1.304,0.393,1.269,Q9D0F3,Lman1,Q9D0F3_Lman1,Q9D0F3,Lman1,1,34,11,11,Q9D0F3,MOUSE,58073,27,887,887.1,142.52,142.52,NA,517,Protein ERGIC-53,Golgi membrane|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|membrane|integral component of membrane|sarcomere|ER to Golgi transport vesicle|endoplasmic reticulum-Golgi intermediate compartment membrane|host cell perinuclear region of cytoplasm|extracellular exosome|,ER to Golgi vesicle-mediated transport|endoplasmic reticulum organization|Golgi organization|positive regulation of organelle organization|protein transport|,carbohydrate binding|metal ion binding|,11,34,7.94E+09,27.00%
1695,Q8VHI3,0.000245611,-0.271666667,50.0693114,1.811333333,9.84E-06,10.40675559,-0.764,-1.393,-1.375,0.757,0.598,0.547,Q8VHI3,Pofut2,Q8VHI3_Pofut2,Q8VHI3,Pofut2,1,16,8,8,Q8VHI3,MOUSE,49770.7,18.1,1244,1244.1,95.03,95.03,NA,429,GDP-fucose protein O-fucosyltransferase 2,endoplasmic reticulum|Golgi apparatus|,mesoderm formation|fucose metabolic process|regulation of gene expression|regulation of epithelial to mesenchymal transition|fucosylation|protein O-linked fucosylation|regulation of secretion|,fucosyltransferase activity|peptide-O-fucosyltransferase activity|,8,16,8.27E+08,18.10%
411,Q02819,1.06E-05,-0.281666667,71.92254421,1.806666667,6.42E-08,20.22012041,-1.287,-1.186,-1.082,0.673,0.558,0.634,Q02819,Nucb1,Q02819_Nucb1,Q02819,Nucb1,1,69,28,28,Q02819|A0A1C7CYU3,MOUSE,53407.7,63.8,227,227.1,421.43,421.43,NA,459,Nucleobindin-1,extracellular space|nucleus|early endosome|rough endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi-associated vesicle|cis-Golgi network|trans-Golgi network|microtubule cytoskeleton|membrane|Golgi cisterna membrane|extracellular exosome|extrinsic component of Golgi membrane|lumenal side of Golgi membrane|,response to cisplatin|regulation of protein targeting|,G-protein alpha-subunit binding|DNA binding|calcium ion binding|,28,69,3.88E+10,63.80%
1045,P09055,2.08E-05,-0.216666667,65.82701789,1.789333333,2.61E-07,16.76899957,-1.13,-0.944,-1.26,0.655,0.601,0.778,P09055,Itgb1,P09055_Itgb1,P09055,Itgb1,1,22,14,14,P09055|P09055-2|Q9Z0T9|B1AYG6,MOUSE,91481.9,19.6,683,683.1,184.78,184.78,NA,798,Integrin beta-1,cytoplasm|plasma membrane|focal adhesion|external side of plasma membrane|cell surface|intercalated disc|membrane|lamellipodium|filopodium|neuromuscular junction|integrin alpha1-beta1 complex|integrin alpha2-beta1 complex|integrin alpha3-beta1 complex|integrin alpha7-beta1 complex|integrin alpha10-beta1 complex|integrin alpha11-beta1 complex|myelin sheath abaxonal region|sarcolemma|melanosome|dendritic spine|receptor complex|membrane raft|synapse|recycling endosome|extracellular exosome|invadopodium membrane|synaptic membrane|plasma membrane|cytoplasmic vesicle|ruffle membrane|perinuclear region of cytoplasm|,G1/S transition of mitotic cell cycle|in utero embryonic development|cell fate specification|cell migration involved in sprouting angiogenesis|leukocyte cell-cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|integrin-mediated signaling pathway|positive regulation of cell proliferation|germ cell migration|visual learning|regulation of collagen catabolic process|cell migration|formation of radial glial scaffolds|neuron projection development|cell-substrate adhesion|cell-cell adhesion mediated by integrin|heterotypic cell-cell adhesion|negative regulation of Rho protein signal transduction|positive regulation of apoptotic process|sarcomere organization|negative regulation of cell differentiation|mesodermal cell differentiation|axon extension|cardiac muscle tissue development|dendrite morphogenesis|leukocyte tethering or rolling|regulation of cell cycle|cardiac muscle cell differentiation|positive regulation of establishment of protein localization to plasma membrane|negative regulation of anoikis|transforming growth factor beta receptor signaling pathway|stress fiber assembly|,fibronectin binding|protease binding|actin binding|receptor activity|integrin binding|protein binding|metal ion binding|protein heterodimerization activity|cell adhesion molecule binding|collagen binding involved in cell-matrix adhesion|laminin binding|,14,22,1.59E+09,19.60%
2037,P15208,5.01E-05,-0.177833333,59.36282668,1.766333333,1.16E-06,13.72472787,-1.096,-1.161,-0.926,0.698,0.489,0.929,P15208,Insr,P15208_Insr,P15208,Insr,1,3,5,3,P15208,MOUSE,158288.9,4,1561,1561.2,49.07,28.39,NA,1372,Insulin receptor,plasma membrane|integral component of plasma membrane|insulin receptor complex|caveola|membrane|intracellular membrane-bounded organelle|receptor complex|extracellular exosome|,"activation of MAPK activity|positive regulation of protein phosphorylation|heart morphogenesis|regulation of transcription, DNA-templated|G-protein coupled receptor signaling pathway|positive regulation of cell proliferation|insulin receptor signaling pathway|epidermis development|male gonad development|organ morphogenesis|peptidyl-tyrosine phosphorylation|transformation of host cell by virus|signal transduction by protein phosphorylation|male sex determination|adrenal gland development|positive regulation of cell migration|exocrine pancreas development|activation of protein kinase activity|activation of protein kinase B activity|cellular response to insulin stimulus|peptidyl-tyrosine autophosphorylation|glucose homeostasis|positive regulation of MAPK cascade|positive regulation of nitric oxide biosynthetic process|positive regulation of glycogen biosynthetic process|positive regulation of DNA replication|positive regulation of glycolytic process|positive regulation of mitotic nuclear division|positive regulation of transcription, DNA-templated|regulation of embryonic development|positive regulation of glucose import|protein autophosphorylation|positive regulation of developmental growth|protein heterotetramerization|positive regulation of meiotic cell cycle|positive regulation of protein kinase B signaling|positive regulation of respiratory burst|cellular response to growth factor stimulus|regulation of female gonad development|",protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|insulin-activated receptor activity|insulin-like growth factor receptor binding|protein binding|ATP binding|GTP binding|insulin-like growth factor I binding|insulin-like growth factor II binding|phosphatidylinositol 3-kinase binding|insulin binding|insulin receptor substrate binding|PTB domain binding|,3,3,67700000,2.60%
1163,Q8BYB9,1.06E-05,-0.338166667,72.9862746,1.761,5.03E-08,20.88865697,-1.201,-1.28,-1.175,0.454,0.594,0.579,Q8BYB9,Poglut1,Q8BYB9_Poglut1,Q8BYB9,Poglut1,1,27,13,13,Q8BYB9,MOUSE,46892.1,29.8,784,784.1,165.65,165.65,NA,392,Protein O-glucosyltransferase 1,endoplasmic reticulum lumen|extracellular exosome|,protein O-linked glycosylation|regulation of Notch signaling pathway|cardiovascular system development|,protein xylosyltransferase activity|UDP-glucosyltransferase activity|UDP-xylosyltransferase activity|glucosyltransferase activity|,13,27,4.12E+09,29.80%
3210,Q9EPS3,2.64E-05,-0.154,63.42001257,1.760666667,4.55E-07,15.56775928,-1.136,-0.919,-1.048,0.845,0.529,0.805,Q9EPS3,Glce,Q9EPS3_Glce,Q9EPS3,Glce,1,5,3,3,Q9EPS3,MOUSE,70429.9,5.3,2738,2738.1,20.07,20.07,NA,618,D-glucuronyl C5-epimerase,Golgi membrane|Golgi apparatus|integral component of membrane|,heparan sulfate proteoglycan biosynthetic process|heparin biosynthetic process|,"racemase and epimerase activity, acting on carbohydrates and derivatives|heparosan-N-sulfate-glucuronate 5-epimerase activity|UDP-glucuronate 5'-epimerase activity|",3,5,3.29E+08,5.30%
