Brain_Searched, 126:127, XBirA_2:No_BirA_6	Brain_Searched, 126:128, XBirA_2:No_BirA_5	Brain_Searched, 126:129, XBirA_2:XBirA_3	Brain_Searched, 126:130, XBirA_2:XBirA_1	Brain_Searched, 126:131, XBirA_2:No_BirA_4	Brain_Searched, 127:126, No_BirA_6:XBirA_2	Brain_Searched, 127:128, No_BirA_6:No_BirA_5	Brain_Searched, 127:129, No_BirA_6:XBirA_3	Brain_Searched, 127:130, No_BirA_6:XBirA_1	Brain_Searched, 127:131, No_BirA_6:No_BirA_4	Brain_Searched, 128:126, No_BirA_5:XBirA_2	Brain_Searched, 128:127, No_BirA_5:No_BirA_6	Brain_Searched, 128:129, No_BirA_5:XBirA_3	Brain_Searched, 128:130, No_BirA_5:XBirA_1	Brain_Searched, 128:131, No_BirA_5:No_BirA_4	Brain_Searched, 129:126, XBirA_3:XBirA_2	Brain_Searched, 129:127, XBirA_3:No_BirA_6	Brain_Searched, 129:128, XBirA_3:No_BirA_5	Brain_Searched, 129:130, XBirA_3:XBirA_1	Brain_Searched, 129:131, XBirA_3:No_BirA_4	Brain_Searched, 130:126, XBirA_1:XBirA_2	Brain_Searched, 130:127, XBirA_1:No_BirA_6	Brain_Searched, 130:128, XBirA_1:No_BirA_5	Brain_Searched, 130:129, XBirA_1:XBirA_3	Brain_Searched, 130:131, XBirA_1:No_BirA_4	Brain_Searched, 131:126, No_BirA_4:XBirA_2	Brain_Searched, 131:127, No_BirA_4:No_BirA_6	Brain_Searched, 131:128, No_BirA_4:No_BirA_5	Brain_Searched, 131:129, No_BirA_4:XBirA_3	Brain_Searched, 131:130, No_BirA_4:XBirA_1	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Brain_Searched unique_peptides	Brain_Searched numSpectra	Brain_Searched totalIntensity	Brain_Searched pct_cov
0.633	0.502	0.218	0.219	0.226	-0.633	-0.014	-0.311	-0.302	-0.396	-0.502	0.014	-0.308	-0.306	-0.397	-0.218	0.311	0.308	0.068	0.037	-0.219	0.302	0.306	-0.068	-0.026	-0.226	0.396	0.397	-0.037	0.026	Q6URW6	Q6URW6	Myh14	1	24	192	5	Q6URW6|K3W4R2	MOUSE	229494.5	72	3	3.7	2946.58	97.29		2000	Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	5	24	7.64e+09	2.6%
1.264	-2.484	0.518	0.348	-0.278	-1.264	-3.533	-1.006	-0.731	-1.588	2.484	3.533	2.952	2.948	2.125	-0.518	1.006	-2.952	-0.225	-0.841	-0.348	0.731	-2.948	0.225	-0.636	0.278	1.588	-2.125	0.841	0.636	Q5SX40	Q5SX40	Myh1	1	10	58	8	Q5SX40|P13541|B1AR69|Q91Z83|Q02566	MOUSE	224251.3	37.8	3	3.8	746.28	89.63		1942	Myosin-1	muscle myosin complex|intercalated disc|A band|myosin filament|cytoplasmic ribonucleoprotein granule|	muscle contraction|metabolic process|	motor activity|actin binding|calmodulin binding|ATP binding|	8	10	1.07e+10	6.2%
0.913	-1.037	0.365	0.29	-0.076	-0.913	-2.101	-0.596	-0.6	-1.056	1.037	2.101	1.486	1.479	1.045	-0.365	0.596	-1.486	-0.008	-0.441	-0.29	0.6	-1.479	0.008	-0.433	0.076	1.056	-1.045	0.441	0.433	G3UW82	G3UW82	Myh2	1	7	50	5	G3UW82	MOUSE	224185.4	31.2	3	3.9	656.33	48.98		1942	MCG140437, isoform CRA_d	Golgi apparatus|actomyosin contractile ring|muscle myosin complex|cell-cell junction|myofibril|A band|protein complex|	plasma membrane repair|muscle contraction|metabolic process|response to activity|actin-mediated cell contraction|	motor activity|actin binding|ATP binding|	5	7	1.54e+08	3.2%
0.756	-1.733	0.089	0.681	-0.764	-0.756	-2.499	-0.653	-0.056	-1.531	1.733	2.499	1.873	2.34	0.958	-0.089	0.653	-1.873	0.593	-0.915	-0.681	0.056	-2.34	-0.593	-1.371	0.764	1.531	-0.958	0.915	1.371	Q5SX39	Q5SX39	Myh4	1	4	41	4	Q5SX39	MOUSE	223767.7	27.4	3	3.1	538.32	49.92		1939	Myosin-4	cytosol|myofibril|myosin filament|	muscle contraction|metabolic process|response to activity|	double-stranded RNA binding|motor activity|actin binding|calmodulin binding|ATP binding|	4	4	77300000	3.1%
1.196	0.865	0.187	0.4	0.236	-1.196	-0.341	-1.006	-0.792	-0.949	-0.865	0.341	-0.663	-0.453	-0.621	-0.187	1.006	0.663	0.203	0.049	-0.4	0.792	0.453	-0.203	-0.165	-0.236	0.949	0.621	-0.049	0.165	E9PVY8	E9PVY8	Macf1	1	1613	426	6	E9PVY8|B1ARU4|E9QA63|Q9QXZ0|A0A0A0MQA6|Q9QXZ0-2|Q9QXZ0-3	MOUSE	837396.4	52.1	4	4.1	6329.32	81.8		7355	Microtubule-actin cross-linking factor 1	Golgi apparatus|microtubule|cell cortex|actin cytoskeleton|microtubule cytoskeleton|ruffle membrane|neuronal postsynaptic density|	mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|regulation of microtubule-based process|Golgi to plasma membrane protein transport|positive regulation of axon extension|	actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|poly(A) RNA binding|	426	1613	1.12e+12	52.1%
0.961	0.936	0.208	0.454	0.341	-0.961	-0.086	-0.929	-0.547	-0.592	-0.936	0.086	-0.776	-0.448	-0.542	-0.208	0.929	0.776	0.155	0.121	-0.454	0.547	0.448	-0.155	-0.107	-0.341	0.592	0.542	-0.121	0.107	E9QNP1	E9QNP1	Macf1	1	16	406	4	E9QNP1	MOUSE	626078.8	65.6	4	4.2	6058.54	58.26		5478	Microtubule-actin cross-linking factor 1	cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|	mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|	actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|	4	16	1.63e+09	1.1%
1.149	0.872	0.192	0.223	0.253	-1.149	-0.429	-1.011	-0.941	-0.893	-0.872	0.429	-0.703	-0.705	-0.658	-0.192	1.011	0.703	0.067	0.092	-0.223	0.941	0.705	-0.067	0.025	-0.253	0.893	0.658	-0.092	-0.025	S4R1P5	S4R1P5	Dst	1	20	340	9	S4R1P5|Q91ZU6|Q91ZU6-4|Q91ZU6-3|E9Q9|Q91ZU6-6|A0A0A6YXR1|A0A0A6YX28|Q91ZU6-8	MOUSE	876109	43.1	4	4.3	4907.88	107.41		7717	Dystonin	actin cytoskeleton|cytoplasmic membrane-bounded vesicle|hemidesmosome|neuronal postsynaptic density|	cytoskeleton organization|cell cycle arrest|axonogenesis|retrograde axon cargo transport|	actin binding|calcium ion binding|protein binding|	9	20	3.09e+09	1.1%
1.29	0.915	0.426	0.512	0.341	-1.29	-0.375	-0.864	-0.778	-0.949	-0.915	0.375	-0.489	-0.404	-0.574	-0.426	0.864	0.489	0.086	-0.085	-0.512	0.778	0.404	-0.086	-0.171	-0.341	0.949	0.574	0.085	0.171	Q91ZU6-2	Q91ZU6-2	Dst	1	2	334	2	Q91ZU6-2	MOUSE	618170.1	60.3	4	4.4	4833.82	27.95		7393	Isoform 1 of Dystonin	stress fiber|nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum membrane|intermediate filament|focal adhesion|cell cortex|cytoplasmic side of plasma membrane|intercalated disc|actin cytoskeleton|microtubule cytoskeleton|membrane|integral component of membrane|cytoplasmic membrane-bounded vesicle|Z disc|hemidesmosome|axon|H zone|microtubule plus-end|sarcolemma|perinuclear region of cytoplasm|perinuclear endoplasmic reticulum|neuronal postsynaptic density|	cell cycle arrest|cell adhesion|axonogenesis|retrograde axon cargo transport|intermediate filament cytoskeleton organization|intracellular transport|	actin binding|calcium ion binding|protein binding|protein homodimerization activity|microtubule plus-end binding|	2	2	1.2e+08	0.6%
1.044	1.017	0.129	0.315	0.209	-1.044	-0.098	-1.014	-0.763	-0.931	-1.017	0.098	-0.897	-0.695	-0.833	-0.129	1.014	0.897	0.26	0.09	-0.315	0.763	0.695	-0.26	-0.145	-0.209	0.931	0.833	-0.09	0.145	B1ARU1	B1ARU1	Macf1	1	7	304	6	B1ARU1	MOUSE	667436.8	47.7	4	4.5	4556.52	84.19		5895	Microtubule-actin cross-linking factor 1	cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|	mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|	actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|	6	7	8.45e+08	1.3%
1.229	0.97	0.478	0.302	0.417	-1.229	-0.247	-0.74	-0.923	-0.805	-0.97	0.247	-0.513	-0.671	-0.578	-0.478	0.74	0.513	-0.172	-0.106	-0.302	0.923	0.671	0.172	0.093	-0.417	0.805	0.578	0.106	-0.093	Q6ZWR6	Q6ZWR6	Syne1	1	1208	458	1	Q6ZWR6|Q6ZWR6-4|Q6ZWR6-3|Q6ZWR6-2	MOUSE	1017267.9	54.3	5	5.1	6296.78	18.29		8799	Nesprin-1	nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|	Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|	actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|	458	1208	4.3e+11	54.3%
1.158	0.964	0.189	0.268	0.238	-1.158	-0.225	-0.963	-0.9	-0.899	-0.964	0.225	-0.798	-0.624	-0.71	-0.189	0.963	0.798	0.094	-0.046	-0.268	0.9	0.624	-0.094	-0.134	-0.238	0.899	0.71	0.046	0.134	A0A1L1STC6	A0A1L1STC6	Syne1	1	6	458	2	A0A1L1STC6	MOUSE	1017264.5	54.5	5	5.2	6289.54	26.53		8799	Nesprin-1				2	6	1.42e+09	0.5%
1.452	0.722	-0.126	0.139	-0.086	-1.452	-0.65	-1.456	-1.283	-1.622	-0.722	0.65	-0.741	-0.598	-0.934	0.126	1.456	0.741	0.314	-0.087	-0.139	1.283	0.598	-0.314	-0.225	0.086	1.622	0.934	0.087	0.225	Q6ZWR6-5	Q6ZWR6-5	Syne1	1	4	93	2	Q6ZWR6-5	MOUSE	166097.3	60.3	5	5.3	1293.47	35.92		8799	Isoform 5 of Nesprin-1	nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|	Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|	actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|	2	4	3.39e+09	1.5%
1.194	1.324	0.029	0.032	0.696	-1.194	-0.074	-1.038	-1.165	-0.685	-1.324	0.074	-0.966	-0.948	-0.79	-0.029	1.038	0.966	-0.065	0.447	-0.032	1.165	0.948	0.065	0.267	-0.696	0.685	0.79	-0.447	-0.267	Q6ZWQ0	Q6ZWQ0	Syne2	1	12	11	8	Q6ZWQ0|E9QP46|Q6ZWQ0-3	MOUSE	788473.2	1.5	5	5.4	98.65	68.36		6874	Nesprin-2	nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|mitochondrion|focal adhesion|integral component of membrane|aggresome|sarcoplasmic reticulum|Z disc|lamellipodium membrane|filopodium membrane|nuclear membrane|nuclear lumen|sarcoplasmic reticulum membrane|LINC complex|intermediate filament cytoskeleton|extracellular exosome|myofibril|Z disc|	nuclear envelope organization|nuclear migration|establishment or maintenance of cell polarity|fibroblast migration|positive regulation of cell migration|nuclear migration along microfilament|protein localization to nucleus|centrosome localization|cytoskeletal anchoring at nuclear membrane|	actin binding|actin filament binding|	8	12	9.65e+08	1.2%
1.1	0.863	0.414	0.484	0.141	-1.1	-0.233	-0.707	-0.615	-0.952	-0.863	0.233	-0.445	-0.376	-0.713	-0.414	0.707	0.445	0.08	-0.262	-0.484	0.615	0.376	-0.08	-0.344	-0.141	0.952	0.713	0.262	0.344	Q62261	Q62261	Sptbn1	1	2492	365	28	Q62261	MOUSE	275074	92	6	6.1	5754.67	459.89		2363	Spectrin beta chain, non-erythrocytic 1	nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|	mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|	actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|	365	2492	9.6e+12	92.0%
1.023	0.719	0.353	0.138	0.111	-1.023	-0.304	-0.67	-0.885	-0.912	-0.719	0.304	-0.366	-0.581	-0.608	-0.353	0.67	0.366	-0.215	-0.242	-0.138	0.885	0.581	0.215	-0.027	-0.111	0.912	0.608	0.242	0.027	Q62261-2	Q62261-2	Sptbn1	1	3	334	2	Q62261-2	MOUSE	251893.6	91	6	6.2	5268.66	23.47		2363	Isoform 2 of Spectrin beta chain, non-erythrocytic 1	nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|	mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|	actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|	2	3	32600000	1.5%
0.858	0.889	0.236	0.332	0.162	-0.858	0.022	-0.614	-0.517	-0.677	-0.889	-0.022	-0.637	-0.539	-0.704	-0.236	0.614	0.637	0.094	-0.073	-0.332	0.517	0.539	-0.094	-0.169	-0.162	0.677	0.704	0.073	0.169	Q68FG2	Q68FG2	Sptbn2	1	1132	237	197	Q68FG2	MOUSE	272173.4	84.2	6	6.3	3776.17	3209.08		2388	Spectrin beta chain	photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|	synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|	actin binding|structural constituent of cytoskeleton|phospholipid binding|	197	1132	2.1e+12	77.5%
