Brain_Searched, 126:127, XBirA_2:No_BirA_6	Brain_Searched, 126:128, XBirA_2:No_BirA_5	Brain_Searched, 126:129, XBirA_2:XBirA_3	Brain_Searched, 126:130, XBirA_2:XBirA_1	Brain_Searched, 126:131, XBirA_2:No_BirA_4	Brain_Searched, 127:126, No_BirA_6:XBirA_2	Brain_Searched, 127:128, No_BirA_6:No_BirA_5	Brain_Searched, 127:129, No_BirA_6:XBirA_3	Brain_Searched, 127:130, No_BirA_6:XBirA_1	Brain_Searched, 127:131, No_BirA_6:No_BirA_4	Brain_Searched, 128:126, No_BirA_5:XBirA_2	Brain_Searched, 128:127, No_BirA_5:No_BirA_6	Brain_Searched, 128:129, No_BirA_5:XBirA_3	Brain_Searched, 128:130, No_BirA_5:XBirA_1	Brain_Searched, 128:131, No_BirA_5:No_BirA_4	Brain_Searched, 129:126, XBirA_3:XBirA_2	Brain_Searched, 129:127, XBirA_3:No_BirA_6	Brain_Searched, 129:128, XBirA_3:No_BirA_5	Brain_Searched, 129:130, XBirA_3:XBirA_1	Brain_Searched, 129:131, XBirA_3:No_BirA_4	Brain_Searched, 130:126, XBirA_1:XBirA_2	Brain_Searched, 130:127, XBirA_1:No_BirA_6	Brain_Searched, 130:128, XBirA_1:No_BirA_5	Brain_Searched, 130:129, XBirA_1:XBirA_3	Brain_Searched, 130:131, XBirA_1:No_BirA_4	Brain_Searched, 131:126, No_BirA_4:XBirA_2	Brain_Searched, 131:127, No_BirA_4:No_BirA_6	Brain_Searched, 131:128, No_BirA_4:No_BirA_5	Brain_Searched, 131:129, No_BirA_4:XBirA_3	Brain_Searched, 131:130, No_BirA_4:XBirA_1	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Brain_Searched unique_peptides	Brain_Searched numSpectra	Brain_Searched totalIntensity	Brain_Searched pct_cov
-0.556	-0.415	0.119	0.115	-0.00999999999999998	0.556	0.261	0.797	0.777	0.563	0.415	-0.261	0.53	0.517	0.302	-0.119	-0.797	-0.53	0.052	-0.122	-0.115	-0.777	-0.517	-0.052	-0.148	0.00999999999999998	-0.563	-0.302	0.122	0.148	Q6URW6	Q6URW6	Myh14	1	24	192	5	Q6URW6|K3W4R2	MOUSE	229494.5	72	3	3.7	2946.58	97.29		2000	Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	5	24	7.64e+09	2.6%
0.075	-3.401	0.419	0.244	-0.514	-0.075	-3.258	0.102	0.348	-0.629	3.401	3.258	3.79	3.771	2.824	-0.419	-0.102	-3.79	-0.241	-1	-0.244	-0.348	-3.771	0.241	-0.758	0.514	0.629	-2.824	1	0.758	Q5SX40	Q5SX40	Myh1	1	10	58	8	Q5SX40|P13541|B1AR69|Q91Z83|Q02566	MOUSE	224251.3	37.8	3	3.8	746.28	89.63		1942	Myosin-1	muscle myosin complex|intercalated disc|A band|myosin filament|cytoplasmic ribonucleoprotein granule|	muscle contraction|metabolic process|	motor activity|actin binding|calmodulin binding|ATP binding|	8	10	1.07e+10	6.2%
-0.276	-1.954	0.266	0.186	-0.312	0.276	-1.826	0.512	0.479	-0.0970000000000001	1.954	1.826	2.324	2.302	1.744	-0.266	-0.512	-2.324	-0.024	-0.6	-0.186	-0.479	-2.302	0.024	-0.555	0.312	0.0970000000000001	-1.744	0.6	0.555	G3UW82	G3UW82	Myh2	1	7	50	5	G3UW82	MOUSE	224185.4	31.2	3	3.9	656.33	48.98		1942	MCG140437, isoform CRA_d	Golgi apparatus|actomyosin contractile ring|muscle myosin complex|cell-cell junction|myofibril|A band|protein complex|	plasma membrane repair|muscle contraction|metabolic process|response to activity|actin-mediated cell contraction|	motor activity|actin binding|ATP binding|	5	7	1.54e+08	3.2%
-0.433	-2.65	-0.01	0.577	-1	0.433	-2.224	0.455	1.023	-0.572	2.65	2.224	2.711	3.163	1.657	0.01	-0.455	-2.711	0.577	-1.074	-0.577	-1.023	-3.163	-0.577	-1.493	1	0.572	-1.657	1.074	1.493	Q5SX39	Q5SX39	Myh4	1	4	41	4	Q5SX39	MOUSE	223767.7	27.4	3	3.1	538.32	49.92		1939	Myosin-4	cytosol|myofibril|myosin filament|	muscle contraction|metabolic process|response to activity|	double-stranded RNA binding|motor activity|actin binding|calmodulin binding|ATP binding|	4	4	77300000	3.1%
0.0069999999999999	-0.052	0.088	0.296	0	-0.0069999999999999	-0.066	0.102	0.287	0.01	0.052	0.066	0.175	0.37	0.078	-0.088	-0.102	-0.175	0.187	-0.11	-0.296	-0.287	-0.37	-0.187	-0.287	0	-0.01	-0.078	0.11	0.287	E9PVY8	E9PVY8	Macf1	1	1613	426	6	E9PVY8|B1ARU4|E9QA63|Q9QXZ0|A0A0A0MQA6|Q9QXZ0-2|Q9QXZ0-3	MOUSE	837396.4	52.1	4	4.1	6329.32	81.8		7355	Microtubule-actin cross-linking factor 1	Golgi apparatus|microtubule|cell cortex|actin cytoskeleton|microtubule cytoskeleton|ruffle membrane|neuronal postsynaptic density|	mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|regulation of microtubule-based process|Golgi to plasma membrane protein transport|positive regulation of axon extension|	actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|poly(A) RNA binding|	426	1613	1.12e+12	52.1%
-0.228	0.019	0.109	0.35	0.105	0.228	0.189	0.179	0.532	0.367	-0.019	-0.189	0.0619999999999999	0.375	0.157	-0.109	-0.179	-0.0619999999999999	0.139	-0.038	-0.35	-0.532	-0.375	-0.139	-0.229	-0.105	-0.367	-0.157	0.038	0.229	E9QNP1	E9QNP1	Macf1	1	16	406	4	E9QNP1	MOUSE	626078.8	65.6	4	4.2	6058.54	58.26		5478	Microtubule-actin cross-linking factor 1	cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|	mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|	actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|	4	16	1.63e+09	1.1%
-0.04	-0.045	0.093	0.119	0.017	0.04	-0.154	0.0970000000000002	0.138	0.0659999999999999	0.045	0.154	0.135	0.118	0.0409999999999999	-0.093	-0.0970000000000002	-0.135	0.051	-0.067	-0.119	-0.138	-0.118	-0.051	-0.097	-0.017	-0.0659999999999999	-0.0409999999999999	0.067	0.097	S4R1P5	S4R1P5	Dst	1	20	340	9	S4R1P5|Q91ZU6|Q91ZU6-4|Q91ZU6-3|E9Q9|Q91ZU6-6|A0A0A6YXR1|A0A0A6YX28|Q91ZU6-8	MOUSE	876109	43.1	4	4.3	4907.88	107.41		7717	Dystonin	actin cytoskeleton|cytoplasmic membrane-bounded vesicle|hemidesmosome|neuronal postsynaptic density|	cytoskeleton organization|cell cycle arrest|axonogenesis|retrograde axon cargo transport|	actin binding|calcium ion binding|protein binding|	9	20	3.09e+09	1.1%
0.101	-0.002	0.327	0.408	0.105	-0.101	-0.1	0.244	0.301	0.01	0.002	0.1	0.349	0.419	0.125	-0.327	-0.244	-0.349	0.07	-0.244	-0.408	-0.301	-0.419	-0.07	-0.293	-0.105	-0.01	-0.125	0.244	0.293	Q91ZU6-2	Q91ZU6-2	Dst	1	2	334	2	Q91ZU6-2	MOUSE	618170.1	60.3	4	4.4	4833.82	27.95		7393	Isoform 1 of Dystonin	stress fiber|nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum membrane|intermediate filament|focal adhesion|cell cortex|cytoplasmic side of plasma membrane|intercalated disc|actin cytoskeleton|microtubule cytoskeleton|membrane|integral component of membrane|cytoplasmic membrane-bounded vesicle|Z disc|hemidesmosome|axon|H zone|microtubule plus-end|sarcolemma|perinuclear region of cytoplasm|perinuclear endoplasmic reticulum|neuronal postsynaptic density|	cell cycle arrest|cell adhesion|axonogenesis|retrograde axon cargo transport|intermediate filament cytoskeleton organization|intracellular transport|	actin binding|calcium ion binding|protein binding|protein homodimerization activity|microtubule plus-end binding|	2	2	1.2e+08	0.6%
-0.145	0.0999999999999999	0.03	0.211	-0.027	0.145	0.177	0.0940000000000001	0.316	0.0279999999999999	-0.0999999999999999	-0.177	-0.0590000000000001	0.128	-0.134	-0.03	-0.0940000000000001	0.0590000000000001	0.244	-0.069	-0.211	-0.316	-0.128	-0.244	-0.267	0.027	-0.0279999999999999	0.134	0.069	0.267	B1ARU1	B1ARU1	Macf1	1	7	304	6	B1ARU1	MOUSE	667436.8	47.7	4	4.5	4556.52	84.19		5895	Microtubule-actin cross-linking factor 1	cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|	mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|	actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|	6	7	8.45e+08	1.3%
0.04	0.0529999999999999	0.379	0.198	0.181	-0.04	0.028	0.368	0.156	0.154	-0.0529999999999999	-0.028	0.325	0.152	0.121	-0.379	-0.368	-0.325	-0.188	-0.265	-0.198	-0.156	-0.152	0.188	-0.029	-0.181	-0.154	-0.121	0.265	0.029	Q6ZWR6	Q6ZWR6	Syne1	1	1208	458	1	Q6ZWR6|Q6ZWR6-4|Q6ZWR6-3|Q6ZWR6-2	MOUSE	1017267.9	54.3	5	5.1	6296.78	18.29		8799	Nesprin-1	nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|	Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|	actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|	458	1208	4.3e+11	54.3%
-0.0310000000000001	0.0469999999999999	0.09	0.164	0.002	0.0310000000000001	0.05	0.145	0.179	0.0599999999999999	-0.0469999999999999	-0.05	0.0399999999999999	0.199	-0.011	-0.09	-0.145	-0.0399999999999999	0.078	-0.205	-0.164	-0.179	-0.199	-0.078	-0.256	-0.002	-0.0599999999999999	0.011	0.205	0.256	A0A1L1STC6	A0A1L1STC6	Syne1	1	6	458	2	A0A1L1STC6	MOUSE	1017264.5	54.5	5	5.2	6289.54	26.53		8799	Nesprin-1				2	6	1.42e+09	0.5%
0.263	-0.195	-0.225	0.035	-0.322	-0.263	-0.375	-0.348	-0.204	-0.663	0.195	0.375	0.097	0.225	-0.235	0.225	0.348	-0.097	0.298	-0.246	-0.035	0.204	-0.225	-0.298	-0.347	0.322	0.663	0.235	0.246	0.347	Q6ZWR6-5	Q6ZWR6-5	Syne1	1	4	93	2	Q6ZWR6-5	MOUSE	166097.3	60.3	5	5.3	1293.47	35.92		8799	Isoform 5 of Nesprin-1	nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|	Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|	actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|	2	4	3.39e+09	1.5%
0.00499999999999989	0.407	-0.07	-0.072	0.46	-0.00499999999999989	0.201	0.0700000000000001	-0.0860000000000001	0.274	-0.407	-0.201	-0.128	-0.125	-0.0910000000000001	0.07	-0.0700000000000001	0.128	-0.081	0.288	0.072	0.0860000000000001	0.125	0.081	0.145	-0.46	-0.274	0.0910000000000001	-0.288	-0.145	Q6ZWQ0	Q6ZWQ0	Syne2	1	12	11	8	Q6ZWQ0|E9QP46|Q6ZWQ0-3	MOUSE	788473.2	1.5	5	5.4	98.65	68.36		6874	Nesprin-2	nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|mitochondrion|focal adhesion|integral component of membrane|aggresome|sarcoplasmic reticulum|Z disc|lamellipodium membrane|filopodium membrane|nuclear membrane|nuclear lumen|sarcoplasmic reticulum membrane|LINC complex|intermediate filament cytoskeleton|extracellular exosome|myofibril|Z disc|	nuclear envelope organization|nuclear migration|establishment or maintenance of cell polarity|fibroblast migration|positive regulation of cell migration|nuclear migration along microfilament|protein localization to nucleus|centrosome localization|cytoskeletal anchoring at nuclear membrane|	actin binding|actin filament binding|	8	12	9.65e+08	1.2%
-0.089	-0.054	0.315	0.38	-0.095	0.089	0.042	0.401	0.464	0.00700000000000001	0.054	-0.042	0.393	0.447	-0.014	-0.315	-0.401	-0.393	0.064	-0.421	-0.38	-0.464	-0.447	-0.064	-0.466	0.095	-0.00700000000000001	0.014	0.421	0.466	Q62261	Q62261	Sptbn1	1	2492	365	28	Q62261	MOUSE	275074	92	6	6.1	5754.67	459.89		2363	Spectrin beta chain, non-erythrocytic 1	nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|	mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|	actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|	365	2492	9.6e+12	92.0%
-0.166	-0.198	0.254	0.034	-0.125	0.166	-0.029	0.438	0.194	0.0469999999999999	0.198	0.029	0.472	0.242	0.091	-0.254	-0.438	-0.472	-0.231	-0.401	-0.034	-0.194	-0.242	0.231	-0.149	0.125	-0.0469999999999999	-0.091	0.401	0.149	Q62261-2	Q62261-2	Sptbn1	1	3	334	2	Q62261-2	MOUSE	251893.6	91	6	6.2	5268.66	23.47		2363	Isoform 2 of Spectrin beta chain, non-erythrocytic 1	nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|	mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|	actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|	2	3	32600000	1.5%
