id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
Q6URW6,0.122524734,0.138,16.97487304,-0.415333333,0.020068398,-2.925856969,0.616,0.369,0.052,0,-0.091,-0.118,Q6URW6,Myh14,Q6URW6_Myh14,Q6URW6,Myh14,1,24,192,5,Q6URW6|K3W4R2,MOUSE,229494.5,72,3,3.7,2946.58,97.29,,2000,Myosin-14,stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|,skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|,microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|,5,24,7640000000,2.6%
Q5SX40,0.297497218,0.382833333,11.06823407,-1.595666667,0.07819457,-2.039325035,-0.086,3.257,0.371,-0.111,-0.791,-0.343,Q5SX40,Myh1,Q5SX40_Myh1,Q5SX40,Myh1,1,10,58,8,Q5SX40|P13541|B1AR69|Q91Z83|Q02566,MOUSE,224251.3,37.8,3,3.8,746.28,89.63,,1942,Myosin-1,muscle myosin complex|intercalated disc|A band|myosin filament|cytoplasmic ribonucleoprotein granule|,muscle contraction|metabolic process|,motor activity|actin binding|calmodulin binding|ATP binding|,8,10,10700000000,6.2%
G3UW82,0.139895109,0.232666667,16.09349239,-1.016,0.024583899,-2.80567632,0.268,1.695,0.259,-0.142,-0.437,-0.247,G3UW82,Myh2,G3UW82_Myh2,G3UW82,Myh2,1,7,50,5,G3UW82,MOUSE,224185.4,31.2,3,3.9,656.33,48.98,,1942,"MCG140437, isoform CRA_d",Golgi apparatus|actomyosin contractile ring|muscle myosin complex|cell-cell junction|myofibril|A band|protein complex|,plasma membrane repair|muscle contraction|metabolic process|response to activity|actin-mediated cell contraction|,motor activity|actin binding|ATP binding|,5,7,154000000,3.2%
Q5SX39,0.077287566,0.489,19.83976786,-1.662,0.010375839,-3.397996617,0.41,2.55,1,-0.137,-0.202,-0.687,Q5SX39,Myh4,Q5SX39_Myh4,Q5SX39,Myh4,1,4,41,4,Q5SX39,MOUSE,223767.7,27.4,3,3.1,538.32,49.92,,1939,Myosin-4,cytosol|myofibril|myosin filament|,muscle contraction|metabolic process|response to activity|,double-stranded RNA binding|motor activity|actin binding|calmodulin binding|ATP binding|,4,4,77300000,3.1%
E9PVY8,0.432022907,0.035333333,8.212460477,-0.156666667,0.150922487,-1.595754832,0.087,0.152,0.102,0.097,-0.026,-0.2,E9PVY8,Macf1,E9PVY8_Macf1,E9PVY8,Macf1,1,1613,426,6,E9PVY8|B1ARU4|E9QA63|Q9QXZ0|A0A0A0MQA6|Q9QXZ0-2|Q9QXZ0-3,MOUSE,837396.4,52.1,4,4.1,6329.32,81.8,,7355,Microtubule-actin cross-linking factor 1,Golgi apparatus|microtubule|cell cortex|actin cytoskeleton|microtubule cytoskeleton|ruffle membrane|neuronal postsynaptic density|,mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|regulation of microtubule-based process|Golgi to plasma membrane protein transport|positive regulation of axon extension|,actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|poly(A) RNA binding|,426,1613,1.12E+12,52.1%
E9QNP1,0.382772737,0.105833333,9.13930224,-0.229,0.121918546,-1.739107705,0.389,0.216,0.056,0.2,-0.028,-0.198,E9QNP1,NotFound,E9QNP1_NotFound,E9QNP1,Macf1,1,16,406,4,E9QNP1,MOUSE,626078.8,65.6,4,4.2,6058.54,58.26,,5478,Microtubule-actin cross-linking factor 1,cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|,mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|,actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|,4,16,1630000000,1.1%
S4R1P5,0.669742785,0.014833333,4.336022615,-0.075666667,0.36846627,-0.955637759,0.062,0.061,0.035,0.037,-0.019,-0.087,S4R1P5,Dst,S4R1P5_Dst,S4R1P5,Dst,1,20,340,9,S4R1P5|Q91ZU6|Q91ZU6-4|Q91ZU6-3|E9Q9|Q91ZU6-6|A0A0A6YXR1|A0A0A6YX28|Q91ZU6-8,MOUSE,876109,43.1,4,4.3,4907.88,107.41,,7717,Dystonin,actin cytoskeleton|cytoplasmic membrane-bounded vesicle|hemidesmosome|neuronal postsynaptic density|,cytoskeleton organization|cell cycle arrest|axonogenesis|retrograde axon cargo transport|,actin binding|calcium ion binding|protein binding|,9,20,3090000000,1.1%
Q91ZU6-2,0.450819227,0.123,7.857750748,-0.183333333,0.163766446,-1.540254689,0.186,0.265,0.193,0.281,-0.066,-0.121,Q91ZU6,Dst,Q91ZU6-2_Dst,Q91ZU6-2,Dst,1,2,334,2,Q91ZU6-2,MOUSE,618170.1,60.3,4,4.4,4833.82,27.95,,7393,Isoform 1 of Dystonin,stress fiber|nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum membrane|intermediate filament|focal adhesion|cell cortex|cytoplasmic side of plasma membrane|intercalated disc|actin cytoskeleton|microtubule cytoskeleton|membrane|integral component of membrane|cytoplasmic membrane-bounded vesicle|Z disc|hemidesmosome|axon|H zone|microtubule plus-end|sarcolemma|perinuclear region of cytoplasm|perinuclear endoplasmic reticulum|neuronal postsynaptic density|,cell cycle arrest|cell adhesion|axonogenesis|retrograde axon cargo transport|intermediate filament cytoskeleton organization|intracellular transport|,actin binding|calcium ion binding|protein binding|protein homodimerization activity|microtubule plus-end binding|,2,2,120000000,0.6%
B1ARU1,0.657762956,-0.011666667,4.598588766,-0.105333333,0.34684954,-1.002269484,0.092,-0.06,0.091,0.05,-0.003,-0.24,B1ARU1,NotFound,B1ARU1_NotFound,B1ARU1,Macf1,1,7,304,6,B1ARU1,MOUSE,667436.8,47.7,4,4.5,4556.52,84.19,,5895,Microtubule-actin cross-linking factor 1,cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|,mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|,actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|,6,7,845000000,1.3%
Q6ZWR6,0.639766011,0.11,4.904398773,-0.122666667,0.323266069,-1.055762664,0.241,0.173,0.1,0.252,-0.151,0.045,Q6ZWR6,Syne1,Q6ZWR6_Syne1,Q6ZWR6,Syne1,1,1208,458,1,Q6ZWR6|Q6ZWR6-4|Q6ZWR6-3|Q6ZWR6-2,MOUSE,1017267.9,54.3,5,5.1,6296.78,18.29,,8799,Nesprin-1,nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|,Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|,actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|,458,1208,4.3E+11,54.3%
A0A1L1STC6,0.528182336,0.035833333,6.550155409,-0.117,0.221301552,-1.331564523,0.068,0.069,0.146,0.085,-0.035,-0.118,A0A1L1STC6,Syne1,A0A1L1STC6_Syne1,A0A1L1STC6,Syne1,1,6,458,2,A0A1L1STC6,MOUSE,1017264.5,54.5,5,5.2,6289.54,26.53,,8799,Nesprin-1,,,,2,6,1420000000,0.5%
Q6ZWR6-5,0.854598855,-0.083833333,1.895082735,-0.076333333,0.64638568,-0.477441909,-0.398,0.087,0.174,-0.168,0.036,-0.234,Q6ZWR6,Syne1,Q6ZWR6-5_Syne1,Q6ZWR6-5,Syne1,1,4,93,2,Q6ZWR6-5,MOUSE,166097.3,60.3,5,5.3,1293.47,35.92,,8799,Isoform 5 of Nesprin-1,nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|,Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|,actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|,2,4,3390000000,1.5%
Q6ZWQ0,0.504471502,0.029333333,6.905544198,0.106666667,0.203913313,1.389015946,0.008,-0.058,-0.022,0.088,0.109,0.051,Q6ZWQ0,Syne2,Q6ZWQ0_Syne2,Q6ZWQ0,Syne2,1,12,11,8,Q6ZWQ0|E9QP46|Q6ZWQ0-3,MOUSE,788473.2,1.5,5,5.4,98.65,68.36,,6874,Nesprin-2,nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|mitochondrion|focal adhesion|integral component of membrane|aggresome|sarcoplasmic reticulum|Z disc|lamellipodium membrane|filopodium membrane|nuclear membrane|nuclear lumen|sarcoplasmic reticulum membrane|LINC complex|intermediate filament cytoskeleton|extracellular exosome|myofibril|Z disc|,nuclear envelope organization|nuclear migration|establishment or maintenance of cell polarity|fibroblast migration|positive regulation of cell migration|nuclear migration along microfilament|protein localization to nucleus|centrosome localization|cytoskeletal anchoring at nuclear membrane|,actin binding|actin filament binding|,8,12,965000000,1.2%
Q62261,0.140650241,0.1395,16.04721681,-0.311666667,0.024847249,-2.783625208,0.294,0.287,0.305,0.212,-0.101,-0.16,Q62261,Sptbn1,Q62261_Sptbn1,Q62261,Sptbn1,1,2492,365,28,Q62261,MOUSE,275074,92,6,6.1,5754.67,459.89,,2363,"Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,365,2492,9.6E+12,92.0%
Q62261-2,0.166118945,0.057166667,15.03247419,-0.263,0.0313872,-2.629309683,0.181,0.216,0.169,0.03,-0.256,0.003,Q62261,Sptbn1,Q62261-2_Sptbn1,Q62261-2,Sptbn1,1,3,334,2,Q62261-2,MOUSE,251893.6,91,6,6.2,5268.66,23.47,,2363,"Isoform 2 of Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,2,3,32600000,1.5%
Q68FG2,0.16629364,0.084666667,15.0211918,-0.284,0.031468846,-2.627600184,0.396,0.136,0.148,0.071,-0.086,-0.157,Q68FG2,Sptbn2,Q68FG2_Sptbn2,Q68FG2,Sptbn2,1,1132,237,197,Q68FG2,MOUSE,272173.4,84.2,6,6.3,3776.17,3209.08,,2388,Spectrin beta chain,photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|,synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|,actin binding|structural constituent of cytoskeleton|phospholipid binding|,197,1132,2.1E+12,77.5%
E9PX29,0.032030781,0.082666667,25.03286761,-0.358666667,0.003138436,-4.239978581,0.231,0.315,0.24,-0.021,-0.082,-0.187,E9PX29,Sptbn4,E9PX29_Sptbn4,E9PX29,Sptbn4,1,523,177,163,E9PX29|Q91ZE6|E9PZC2|D3Z4P8,MOUSE,290073.8,68.9,6,6.4,2585.2,2419.03,,2561,Spectrin beta chain,cytoplasm|spectrin|membrane|nuclear matrix|PML body|axon|paranode region of axon|neuronal cell body|axon initial segment|axon hillock|extracellular exosome|cell body fiber|,regulation of sodium ion transport|axonogenesis|sensory perception of sound|adult walking behavior|fertilization|negative regulation of heart rate|transmission of nerve impulse|central nervous system projection neuron axonogenesis|reproductive process|adult behavior|regulation of peptidyl-serine phosphorylation|cellular protein localization|positive regulation of multicellular organism growth|clustering of voltage-gated sodium channels|cardiac conduction|,actin binding|structural constituent of cytoskeleton|protein binding|phospholipid binding|phosphatase binding|ankyrin binding|spectrin binding|,163,523,7.31E+11,66.5%
Q3UGX2,0.417333565,0.115333333,8.478360708,-0.228,0.141959326,-1.637109764,0.505,0.144,0.039,0.163,-0.088,-0.071,Q3UGX2,Sptb,Q3UGX2_Sptb,Q3UGX2,Sptb,1,385,160,142,Q3UGX2|E9Q397|P15508,MOUSE,268999.3,67.7,6,6.5,2244.93,1997.05,,2329,Spectrin beta chain,cytoplasm|plasma membrane|spectrin|cell surface|spectrin-associated cytoskeleton|membrane|cortical cytoskeleton|protein complex|,porphyrin-containing compound biosynthetic process|plasma membrane organization|hemopoiesis|,actin binding|structural constituent of cytoskeleton|phospholipid binding|ankyrin binding|protein heterodimerization activity|actin filament binding|,142,385,1.15E+11,63.3%
Q9JHU4,0.852042435,-0.019833333,1.923234572,-0.036333333,0.64220923,-0.483591829,-0.001,0.005,-0.009,-0.045,-0.014,-0.055,Q9JHU4,Dync1h1,Q9JHU4_Dync1h1,Q9JHU4,Dync1h1,1,943,280,280,Q9JHU4,MOUSE,534774.4,60.3,7,7.1,4112.87,4112.87,,4644,Cytoplasmic dynein 1 heavy chain 1,cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|membrane|filopodium|extracellular exosome|,cilium movement|transport|metabolic process|cytoplasmic mRNA processing body assembly|stress granule assembly|establishment of spindle localization|,microtubule motor activity|protein binding|ATP binding|ATPase activity|poly(A) RNA binding|dynein light intermediate chain binding|,280,943,4.63E+11,60.3%
Q8C8R3-2,0.323289945,0.085,10.48055283,-0.258,0.08952508,-1.943468389,-0.003,0.238,0.407,0.145,-0.137,-0.14,Q8C8R3,Ank2,Q8C8R3-2_Ank2,Q8C8R3-2,Ank2,1,1350,263,11,Q8C8R3-2,MOUSE,431269.8,71.7,8,8.1,4099.83,166.58,,3898,Isoform 2 of Ankyrin-2,intracellular|cytoplasm|cytoskeleton|plasma membrane|integral component of plasma membrane|intercalated disc|basolateral plasma membrane|apical plasma membrane|Z disc|T-tubule|M band|A band|sarcolemma|costamere|postsynaptic membrane|perinuclear region of cytoplasm|neuronal postsynaptic density|,regulation of heart rate|atrial septum development|cellular calcium ion homeostasis|protein localization|positive regulation of gene expression|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|regulation of protein stability|T-tubule organization|protein localization to cell surface|cellular protein localization|protein localization to M-band|protein localization to T-tubule|regulation of apoptotic process|positive regulation of potassium ion transport|protein stabilization|regulation of calcium ion transport|positive regulation of calcium ion transport|regulation of cardiac muscle contraction|cardiac muscle contraction|regulation of ventricular cardiac muscle cell membrane repolarization|protein localization to endoplasmic reticulum|protein localization to plasma membrane|protein targeting to plasma membrane|regulation of cardiac muscle cell contraction|ventricular cardiac muscle cell action potential|atrial cardiac muscle cell action potential|SA node cell action potential|regulation of cardiac muscle cell membrane potential|atrial cardiac muscle cell to AV node cell communication|SA node cell to atrial cardiac muscle cell communication|regulation of heart rate by cardiac conduction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|positive regulation of potassium ion transmembrane transporter activity|regulation of calcium ion transmembrane transporter activity|positive regulation of calcium ion transmembrane transporter activity|regulation of cation channel activity|positive regulation of cation channel activity|,"protein binding|potassium channel regulator activity|protein kinase binding|spectrin binding|protein binding, bridging|ion channel binding|ATPase binding|",263,1350,2.32E+12,71.7%
