R126127,R126128,R126131,R129127,R129128,R129131,R130127,R130128,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,PCorNC,ES_score,signalP,TM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.289,-0.462,-0.051,-0.081,-0.587,-0.305,-0.45,-0.694,Q8C8R3-7,Q8C8R3,Ank2,1,7,40,5,Q8C8R3-7,MOUSE,49882.2,80.1,8,8.8,629,59.04,NA,3898,Isoform 7 of Ankyrin-2,intracellular|cytoplasm|cytoskeleton|plasma membrane|integral component of plasma membrane|intercalated disc|basolateral plasma membrane|apical plasma membrane|Z disc|T-tubule|M band|A band|sarcolemma|costamere|postsynaptic membrane|perinuclear region of cytoplasm|neuronal postsynaptic density|,regulation of heart rate|atrial septum development|cellular calcium ion homeostasis|protein localization|positive regulation of gene expression|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|regulation of protein stability|T-tubule organization|protein localization to cell surface|cellular protein localization|protein localization to M-band|protein localization to T-tubule|regulation of apoptotic process|positive regulation of potassium ion transport|protein stabilization|regulation of calcium ion transport|positive regulation of calcium ion transport|regulation of cardiac muscle contraction|cardiac muscle contraction|regulation of ventricular cardiac muscle cell membrane repolarization|protein localization to endoplasmic reticulum|protein localization to plasma membrane|protein targeting to plasma membrane|regulation of cardiac muscle cell contraction|ventricular cardiac muscle cell action potential|atrial cardiac muscle cell action potential|SA node cell action potential|regulation of cardiac muscle cell membrane potential|atrial cardiac muscle cell to AV node cell communication|SA node cell to atrial cardiac muscle cell communication|regulation of heart rate by cardiac conduction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|positive regulation of potassium ion transmembrane transporter activity|regulation of calcium ion transmembrane transporter activity|positive regulation of calcium ion transmembrane transporter activity|regulation of cation channel activity|positive regulation of cation channel activity|,"protein binding|potassium channel regulator activity|protein kinase binding|spectrin binding|protein binding, bridging|ion channel binding|ATPase binding|",5,7,8.27E+08,0.052,0.274611655,0.090166667,11.67789463,-0.349666667,0.067953298,-2.125444421,-0.014,0.223,0.586,-0.074,0.088,-0.268,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.949,1.665,1.492,1.917,1.594,1.465,2.035,1.731,1.588,E9Q401,E9Q401,Ryr2,1,400,158,143,E9Q401|F6U7V1|Q80ZZ5,MOUSE,570001.1,38.6,16,16.1,2213.31,2028.92,NA,4966,Ryanodine receptor 2,smooth endoplasmic reticulum|membrane|integral component of membrane|sarcoplasmic reticulum|sarcomere|Z disc|sarcoplasmic reticulum membrane|calcium channel complex|protein complex|extracellular exosome|,response to hypoxia|regulation of heart rate|embryonic heart tube morphogenesis|left ventricular cardiac muscle tissue morphogenesis|cardiac muscle hypertrophy|detection of calcium ion|calcium ion transport|cellular calcium ion homeostasis|positive regulation of heart rate|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|response to muscle activity|calcium-mediated signaling|BMP signaling pathway|response to caffeine|calcium-mediated signaling using intracellular calcium source|response to muscle stretch|release of sequestered calcium ion into cytosol|positive regulation of sequestering of calcium ion|response to redox state|regulation of cardiac muscle contraction|cardiac muscle contraction|canonical Wnt signaling pathway|cytosolic calcium ion transport|calcium ion transport into cytosol|calcium ion transmembrane transport|cellular response to caffeine|cellular response to epinephrine stimulus|establishment of protein localization to endoplasmic reticulum|ventricular cardiac muscle cell action potential|Purkinje myocyte to ventricular cardiac muscle cell signaling|type B pancreatic cell apoptotic process|positive regulation of the force of heart contraction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|regulation of ventricular cardiac muscle cell action potential|positive regulation of calcium-transporting ATPase activity|,intracellular ligand-gated calcium channel activity|ryanodine-sensitive calcium-release channel activity|calcium channel activity|calcium ion binding|protein binding|calmodulin binding|calcium-release channel activity|enzyme binding|protein kinase binding|protein kinase A catalytic subunit binding|protein kinase A regulatory subunit binding|identical protein binding|protein self-association|suramin binding|calcium-induced calcium release activity|organic cyclic compound binding|,158,400,9.02E+10,0.386,1.06E-05,-0.279333333,71.64870651,1.695333333,6.84E-08,20.05139763,-1.207,-1.123,-1.051,0.536,0.537,0.632,undefined,9,NA,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.658,1.412,1.3,1.631,1.35,1.242,1.682,1.471,1.326,Q9JI18,Q9JI18,Lrp1b,1,221,107,101,Q9JI18|A2API5|E9Q202|A0A087WPQ4,MOUSE,533366.2,27.5,19,19.2,1447.77,1382.58,NA,4599,Low-density lipoprotein receptor-related protein 1B,membrane|integral component of membrane|receptor complex|,receptor-mediated endocytosis|,low-density lipoprotein receptor activity|calcium ion binding|protein binding|low-density lipoprotein particle receptor binding|,101,221,4.13E+10,0.268,2.19E-05,-0.217333333,64.76949045,1.484,3.33E-07,16.23077898,-1.086,-0.953,-0.839,0.504,0.513,0.557,undefined,9,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.457,0.414,0.624,-0.156,0.649,0.893,-0.579,0.275,0.501,E9Q3M3,E9Q3M3,Dctn1,1,240,75,75,E9Q3M3|O08788|E9Q586|O08788-2|D3YX34,MOUSE,140443.8,59.6,42,42.1,1075.8,1075.8,NA,1264,Dynactin subunit 1,kinetochore|spindle pole|centrosome|dynactin complex|microtubule|membrane|cell leading edge|protein complex|retromer complex|,"microtubule-based transport|melanosome transport|retrograde transport, endosome to Golgi|",protein binding|dynein binding|,75,240,8.02E+10,0.596,0.724508238,0.061333333,3.568160034,0.212,0.439727875,0.81595384,0.57,-0.205,-0.499,0.121,0.395,-0.014,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.429,0.079,-0.278,0.114,-0.204,-0.588,0.581,0.237,-0.127,Q80Z38-2,Q80Z38,Shank2,1,241,70,0,Q80Z38-2,MOUSE,159109.2,63.9,52,52.1,1007.61,0,NA,1476,Isoform 2 of SH3 and multiple ankyrin repeat domains protein 2,photoreceptor outer segment|photoreceptor inner segment|neurofilament|plasma membrane|postsynaptic density|apical plasma membrane|cell junction|growth cone|brush border membrane|neuron projection|neuronal cell body|dendritic spine|presynaptic active zone|ciliary membrane|neurofilament|ionotropic glutamate receptor complex|postsynaptic membrane|,"synapse assembly|learning|memory|adult behavior|social behavior|exploration behavior|positive regulation of synaptic transmission, glutamatergic|long-term synaptic potentiation|long term synaptic depression|vocalization behavior|",SH3 domain binding|ionotropic glutamate receptor binding|,70,241,9.65E+10,0.639,0.970331907,-0.051166667,0.345612401,0.018333333,0.923503956,0.099306191,-0.356,-0.113,0.288,-0.005,-0.293,0.172,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.612,-0.386,-0.3,-1.126,-1.016,-0.706,-0.604,-0.399,-0.453,D3Z5K8,D3Z5K8,Shank2,1,9,69,4,D3Z5K8,MOUSE,201145.7,50.8,52,52.2,989.91,41.5,NA,1841,SH3 and multiple ankyrin repeat domains protein 2,presynaptic active zone|,learning|adult behavior|social behavior|vocalization behavior|,NA,4,9,1.03E+09,0.019,0.081319453,0.181,19.51606794,-0.564,0.011178749,-3.333911102,0.755,0.388,0.246,0.073,-0.387,0.011,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.823,-0.314,-1.053,0.915,-0.224,-0.965,1.565,0.412,-0.307,Q80Z38-3,Q80Z38,Shank2,1,2,62,2,Q80Z38-3|A0A1C7ZMY3,MOUSE,135751.6,66,52,52.4,905.2,29.34,NA,1476,Isoform 3 of SH3 and multiple ankyrin repeat domains protein 2,photoreceptor outer segment|photoreceptor inner segment|neurofilament|plasma membrane|postsynaptic density|apical plasma membrane|cell junction|growth cone|brush border membrane|neuron projection|neuronal cell body|dendritic spine|presynaptic active zone|ciliary membrane|neurofilament|ionotropic glutamate receptor complex|postsynaptic membrane|,"synapse assembly|learning|memory|adult behavior|social behavior|exploration behavior|positive regulation of synaptic transmission, glutamatergic|long-term synaptic potentiation|long term synaptic depression|vocalization behavior|",SH3 domain binding|ionotropic glutamate receptor binding|,2,2,51300000,0.014,0.95333275,0.033666667,0.58353491,0.069333333,0.874271878,0.163739959,-0.934,0.069,0.862,-0.213,-0.117,0.535,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366,0.234,-0.311,-0.041,-0.157,-0.726,0.524,0.357,-0.181,D3YZU1,D3YZU1,Shank1,1,203,68,1,D3YZU1|D3YZU5,MOUSE,227111.8,40.1,61,61.1,919,5.88,NA,2167,SH3 and multiple ankyrin repeat domains protein 1,cytoplasm|plasma membrane|membrane|cell junction|dendrite|neuron projection|dendritic spine|postsynaptic membrane|excitatory synapse|neuronal postsynaptic density|ionotropic glutamate receptor complex|N-methyl-D-aspartate selective glutamate receptor complex|postsynaptic membrane|,protein complex assembly|long-term memory|associative learning|adult behavior|negative regulation of actin filament bundle assembly|social behavior|protein localization to synapse|olfactory behavior|habituation|neuromuscular process controlling balance|determination of affect|righting reflex|synapse maturation|dendritic spine morphogenesis|positive regulation of dendritic spine development|vocalization behavior|regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity|positive regulation of excitatory postsynaptic membrane potential|,protein C-terminus binding|SH3 domain binding|GKAP/Homer scaffold activity|somatostatin receptor binding|protein complex binding|ionotropic glutamate receptor binding|identical protein binding|ankyrin repeat binding|scaffold protein binding|,68,203,5.40E+10,0.401,0.984250119,-0.046333333,0.176977868,0.010666667,0.960068484,0.051768394,-0.294,-0.217,0.356,0.053,-0.362,0.186,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.618,0.452,-0.594,0.294,0.126,-0.922,0.532,0.35,-0.676,D3YZU4,D3YZU4,Shank1,1,2,68,2,D3YZU4,MOUSE,226144.6,40.6,61,61.2,918.82,13.74,NA,2159,SH3 and multiple ankyrin repeat domains protein 1,membrane|postsynaptic membrane|,adult behavior|negative regulation of actin filament bundle assembly|social behavior|determination of affect|vocalization behavior|,NA,2,2,2.59E+08,0.019,0.999710692,-0.0555,0.003797851,0.000333333,0.999125895,0.001132642,-0.471,-0.395,0.699,0.078,-0.239,-0.005,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.609,0.056,-0.086,0.44,-0.052,-0.285,0.623,0.145,-0.067,Q5SVJ0,Q5SVJ0,Camk2b,1,407,55,7,Q5SVJ0,MOUSE,73871.8,74.4,70,70.1,828.54,95.2,NA,666,"Calcium/calmodulin-dependent protein kinase II, beta, isoform CRA_b",cytosol|spindle midzone|neuronal postsynaptic density|,"G1/S transition of mitotic cell cycle|inhibitory G-protein coupled receptor phosphorylation|calcium ion transport|peptidyl-serine phosphorylation|regulation of synaptic transmission, cholinergic|response to cadmium ion|protein autophosphorylation|regulation of long-term neuronal synaptic plasticity|neuromuscular process controlling balance|long-term synaptic potentiation|activation of meiosis involved in egg activation|positive regulation of apoptotic signaling pathway|",protein serine/threonine kinase activity|calmodulin-dependent protein kinase activity|calmodulin binding|ATP binding|protein homodimerization activity|,55,407,3.68E+12,0.743,0.693232057,-0.088333333,3.948604773,0.141333333,0.402846433,0.885516687,-0.511,-0.098,0.132,0.022,-0.121,0.046,undefined,8,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.296,-0.165,-0.502,1.268,-0.223,-0.577,1.801,0.252,-0.071,P11798,P11798,Camk2a,1,40,54,8,P11798|F8WHB5|D3Z7K9,MOUSE,54684.3,78.2,70,70.2,801.05,129.28,NA,478,Calcium/calmodulin-dependent protein kinase type II subunit alpha,nucleus|mitochondrion|cell junction|presynaptic membrane|neuronal postsynaptic density|,G1/S transition of mitotic cell cycle|response to ischemia|protein phosphorylation|calcium ion transport|positive regulation of cardiac muscle cell apoptotic process|peptidyl-serine phosphorylation|angiotensin-activated signaling pathway|protein autophosphorylation|regulation of neurotransmitter secretion|regulation of neuronal synaptic plasticity|positive regulation of NF-kappaB transcription factor activity|positive regulation of calcium ion transport|regulation of mitochondrial membrane permeability involved in apoptotic process|,protein serine/threonine kinase activity|calmodulin-dependent protein kinase activity|protein binding|calmodulin binding|ATP binding|kinase activity|glutamate receptor binding|protein homodimerization activity|,8,40,3.75E+10,0.062,0.736963607,-0.168833333,3.378104557,0.303666667,0.45939847,0.779914739,-1.294,-0.037,0.369,-0.143,-0.192,0.284,undefined,7,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48,0.696,0.202,0.681,-0.258,-0.666,1.311,0.106,-0.335,F8WIS9,F8WIS9,Camk2a,1,5,49,3,F8WIS9|P11798-2,MOUSE,55916.7,78.3,70,70.4,725.32,53.55,NA,489,Calcium/calmodulin-dependent protein kinase type II subunit alpha,nucleus|mitochondrion|neuronal postsynaptic density|,G1/S transition of mitotic cell cycle|response to ischemia|protein phosphorylation|calcium ion transport|positive regulation of cardiac muscle cell apoptotic process|peptidyl-serine phosphorylation|angiotensin-activated signaling pathway|protein autophosphorylation|regulation of neurotransmitter secretion|regulation of neuronal synaptic plasticity|positive regulation of NF-kappaB transcription factor activity|positive regulation of calcium ion transport|regulation of mitochondrial membrane permeability involved in apoptotic process|,protein serine/threonine kinase activity|calmodulin-dependent protein kinase activity|calmodulin binding|ATP binding|kinase activity|glutamate receptor binding|protein homodimerization activity|,3,5,6.63E+08,0.055,0.705121687,-0.0585,3.798028182,0.255666667,0.417058697,0.858906151,-0.764,-0.153,0.358,0.468,-0.309,0.049,undefined,7,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.19,0.434,0.41,0.71,0.084,-0.074,0.457,-0.147,-0.097,Q5SVJ1,Q5SVJ1,Camk2b,1,7,46,2,Q5SVJ1,MOUSE,57194,73.1,70,70.6,690.17,32.17,NA,503,Calcium/calmodulin-dependent protein kinase type II subunit beta,cytosol|spindle midzone|neuronal postsynaptic density|,"G1/S transition of mitotic cell cycle|inhibitory G-protein coupled receptor phosphorylation|calcium ion transport|peptidyl-serine phosphorylation|regulation of synaptic transmission, cholinergic|response to cadmium ion|protein autophosphorylation|regulation of long-term neuronal synaptic plasticity|neuromuscular process controlling balance|long-term synaptic potentiation|activation of meiosis involved in egg activation|positive regulation of apoptotic signaling pathway|",protein serine/threonine kinase activity|calmodulin-dependent protein kinase activity|calmodulin binding|ATP binding|protein homodimerization activity|,2,7,2.14E+09,0.051,0.436470159,-0.065833333,8.127641102,0.303666667,0.153899033,1.586462349,-0.572,-0.092,0.011,0.394,0.017,-0.153,undefined,8,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.062,0.882,1.3,-0.538,0.249,0.631,-0.178,0.653,1.019,Q5F226,Q5F226,Fat2,1,98,61,61,Q5F226,MOUSE,483067.1,18.5,100,100.1,703.57,703.57,NA,4351,Protocadherin Fat 2,nucleus|plasma membrane|cell-cell adherens junction|integral component of membrane|extracellular exosome|,homophilic cell adhesion via plasma membrane adhesion molecules|epithelial cell migration|,calcium ion binding|,61,98,8.85E+09,0.185,0.472925353,0.1775,7.471730254,0.475666667,0.178989261,1.482755684,0.639,-0.179,-0.641,0.729,0.028,0.489,undefined,5,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.005,1.636,1.479,1.664,1.379,1.321,2.062,1.71,1.641,Q8BHN3-2,Q8BHN3,Ganab,1,114,40,40,Q8BHN3-2|Q8BHN3|Q8BHN3-3,MOUSE,109858.4,43.3,132,132.1,592.52,592.52,NA,944,Isoform 2 of Neutral alpha-glucosidase AB,endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|,N-glycan processing|,"protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",40,114,4.90E+10,0.433,1.85E-05,-0.198,66.46865117,1.658666667,2.25E-07,17.10379227,-1.117,-1.015,-0.95,0.649,0.501,0.744,PC,9,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.707,0.294,-0.407,0.27,-0.18,-0.933,0.75,0.335,-0.353,Q8BK-2,Q8BK,Baiap2,1,81,33,2,Q8BK-2|Q8BK|B1AZ46|Q8BK-3,MOUSE,57823.2,76.4,193,193.1,470.97,27.44,NA,535,Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2,ruffle|nucleoplasm|cytoplasm|cytosol|plasma membrane|actin cytoskeleton|secretory granule|filopodium|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|neuronal postsynaptic density|actin cytoskeleton|,plasma membrane organization|Rho protein signal transduction|insulin receptor signaling pathway|regulation of cell shape|response to bacterium|dendrite development|positive regulation of actin filament polymerization|regulation of actin cytoskeleton organization|regulation of synaptic plasticity|actin filament bundle assembly|actin crosslink formation|positive regulation of dendritic spine morphogenesis|positive regulation of actin cytoskeleton reorganization|,protein binding|cytoskeletal adaptor activity|PDZ domain binding|identical protein binding|proline-rich region binding|,33,81,5.01E+10,0.764,0.995161562,-0.079666667,0.048448313,0.004,0.988906357,0.014375408,-0.542,-0.227,0.524,0.096,-0.45,0.121,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
