id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
G3UW82,0.237218542,0.0825,6.582395575,-0.365,0.219664786,-1.227500503,-0.581,1.129,0.247,0.109,-0.362,-0.047,G3UW82,Myh2,G3UW82_Myh2,G3UW82,Myh2,1,7,50,5,G3UW82,MOUSE,224185.4,31.2,3,3.9,656.33,48.98,,1942,"MCG140437, isoform CRA_d",Golgi apparatus|actomyosin contractile ring|muscle myosin complex|cell-cell junction|myofibril|A band|protein complex|,plasma membrane repair|muscle contraction|metabolic process|response to activity|actin-mediated cell contraction|,motor activity|actin binding|ATP binding|,5,7,154000000,3.2%
Q5SX39,0.007118343,0.338833333,30.5313126,-1.011,0.000884848,-3.342809154,-0.439,1.984,0.988,0.114,-0.127,-0.487,Q5SX39,Myh4,Q5SX39_Myh4,Q5SX39,Myh4,1,4,41,4,Q5SX39,MOUSE,223767.7,27.4,3,3.1,538.32,49.92,,1939,Myosin-4,cytosol|myofibril|myosin filament|,muscle contraction|metabolic process|response to activity|,double-stranded RNA binding|motor activity|actin binding|calmodulin binding|ATP binding|,4,4,77300000,3.1%
E9PVY8,0.120658078,-0.114833333,10.16339161,0.494333333,0.096307662,1.663138334,-0.762,-0.414,0.09,0.348,0.049,0,E9PVY8,Macf1,E9PVY8_Macf1,E9PVY8,Macf1,1,1613,426,6,E9PVY8|B1ARU4|E9QA63|Q9QXZ0|A0A0A0MQA6|Q9QXZ0-2|Q9QXZ0-3,MOUSE,837396.4,52.1,4,4.1,6329.32,81.8,,7355,Microtubule-actin cross-linking factor 1,Golgi apparatus|microtubule|cell cortex|actin cytoskeleton|microtubule cytoskeleton|ruffle membrane|neuronal postsynaptic density|,mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|regulation of microtubule-based process|Golgi to plasma membrane protein transport|positive regulation of axon extension|,actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|poly(A) RNA binding|,426,1613,1.12E+12,52.1%
E9QNP1,0.175915406,-0.044333333,8.077263033,0.422,0.155694653,1.419779589,-0.46,-0.35,0.044,0.451,0.047,0.002,E9QNP1,NotFound,E9QNP1_NotFound,E9QNP1,Macf1,1,16,406,4,E9QNP1,MOUSE,626078.8,65.6,4,4.2,6058.54,58.26,,5478,Microtubule-actin cross-linking factor 1,cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|,mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|,actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|,4,16,1630000000,1.1%
S4R1P5,0.08370465,-0.135333333,12.76293826,0.575333333,0.052930522,1.935655269,-0.787,-0.505,0.023,0.288,0.056,0.113,S4R1P5,Dst,S4R1P5_Dst,S4R1P5,Dst,1,20,340,9,S4R1P5|Q91ZU6|Q91ZU6-4|Q91ZU6-3|E9Q9|Q91ZU6-6|A0A0A6YXR1|A0A0A6YX28|Q91ZU6-8,MOUSE,876109,43.1,4,4.3,4907.88,107.41,,7717,Dystonin,actin cytoskeleton|cytoplasmic membrane-bounded vesicle|hemidesmosome|neuronal postsynaptic density|,cytoskeleton organization|cell cycle arrest|axonogenesis|retrograde axon cargo transport|,actin binding|calcium ion binding|protein binding|,9,20,3090000000,1.1%
Q91ZU6-2,0.138635583,-0.027166667,9.368748655,0.467666667,0.11564454,1.573420824,-0.663,-0.301,0.181,0.532,0.009,0.079,Q91ZU6,Dst,Q91ZU6-2_Dst,Q91ZU6-2,Dst,1,2,334,2,Q91ZU6-2,MOUSE,618170.1,60.3,4,4.4,4833.82,27.95,,7393,Isoform 1 of Dystonin,stress fiber|nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum membrane|intermediate filament|focal adhesion|cell cortex|cytoplasmic side of plasma membrane|intercalated disc|actin cytoskeleton|microtubule cytoskeleton|membrane|integral component of membrane|cytoplasmic membrane-bounded vesicle|Z disc|hemidesmosome|axon|H zone|microtubule plus-end|sarcolemma|perinuclear region of cytoplasm|perinuclear endoplasmic reticulum|neuronal postsynaptic density|,cell cycle arrest|cell adhesion|axonogenesis|retrograde axon cargo transport|intermediate filament cytoskeleton organization|intracellular transport|,actin binding|calcium ion binding|protein binding|protein homodimerization activity|microtubule plus-end binding|,2,2,120000000,0.6%
B1ARU1,0.094912055,-0.161833333,11.77816551,0.545666667,0.06640235,1.83584454,-0.757,-0.626,0.079,0.301,0.072,-0.04,B1ARU1,NotFound,B1ARU1_NotFound,B1ARU1,Macf1,1,7,304,6,B1ARU1,MOUSE,667436.8,47.7,4,4.5,4556.52,84.19,,5895,Microtubule-actin cross-linking factor 1,cell cortex|actin cytoskeleton|microtubule cytoskeleton|neuronal postsynaptic density|,mesoderm formation|posttranslational protein targeting to membrane|cell cycle arrest|establishment or maintenance of cell polarity|protein localization|metabolic process|Wnt signaling pathway|,actin binding|calcium ion binding|protein binding|microtubule binding|ATPase activity|,6,7,845000000,1.3%
Q6ZWR6,0.102276865,-0.040166667,11.22032344,0.528333333,0.075503599,1.777528159,-0.608,-0.393,0.088,0.503,-0.076,0.245,Q6ZWR6,Syne1,Q6ZWR6_Syne1,Q6ZWR6,Syne1,1,1208,458,1,Q6ZWR6|Q6ZWR6-4|Q6ZWR6-3|Q6ZWR6-2,MOUSE,1017267.9,54.3,5,5.1,6296.78,18.29,,8799,Nesprin-1,nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|,Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|,actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|,458,1208,4.3E+11,54.3%
A0A1L1STC6,0.100045182,-0.114333333,11.40127717,0.534,0.072422295,1.796593129,-0.781,-0.497,0.134,0.336,0.04,0.082,A0A1L1STC6,Syne1,A0A1L1STC6_Syne1,A0A1L1STC6,Syne1,1,6,458,2,A0A1L1STC6,MOUSE,1017264.5,54.5,5,5.2,6289.54,26.53,,8799,Nesprin-1,,,,2,6,1420000000,0.5%
Q6ZWR6-5,0.084062587,-0.234,12.74039092,0.574666667,0.053206036,1.933412332,-1.247,-0.479,0.162,0.083,0.111,-0.034,Q6ZWR6,Syne1,Q6ZWR6-5_Syne1,Q6ZWR6-5,Syne1,1,4,93,2,Q6ZWR6-5,MOUSE,166097.3,60.3,5,5.3,1293.47,35.92,,8799,Isoform 5 of Nesprin-1,nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|Golgi apparatus|cytoskeleton|integral component of membrane|sarcomere|nuclear membrane|LINC complex|postsynaptic membrane|,Golgi organization|establishment of nucleus localization|muscle cell differentiation|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|,actin binding|protein binding|lamin binding|identical protein binding|protein homodimerization activity|poly(A) RNA binding|actin filament binding|,2,4,3390000000,1.5%
Q6ZWQ0,0.041065081,-0.120833333,19.66134363,0.757666667,0.010810994,2.549098741,-0.841,-0.624,-0.034,0.339,0.184,0.251,Q6ZWQ0,Syne2,Q6ZWQ0_Syne2,Q6ZWQ0,Syne2,1,12,11,8,Q6ZWQ0|E9QP46|Q6ZWQ0-3,MOUSE,788473.2,1.5,5,5.4,98.65,68.36,,6874,Nesprin-2,nucleus|nuclear envelope|nuclear outer membrane|nucleoplasm|cytoplasm|mitochondrion|focal adhesion|integral component of membrane|aggresome|sarcoplasmic reticulum|Z disc|lamellipodium membrane|filopodium membrane|nuclear membrane|nuclear lumen|sarcoplasmic reticulum membrane|LINC complex|intermediate filament cytoskeleton|extracellular exosome|myofibril|Z disc|,nuclear envelope organization|nuclear migration|establishment or maintenance of cell polarity|fibroblast migration|positive regulation of cell migration|nuclear migration along microfilament|protein localization to nucleus|centrosome localization|cytoskeletal anchoring at nuclear membrane|,actin binding|actin filament binding|,8,12,965000000,1.2%
Q62261,0.269542304,-0.010666667,5.958211032,0.339333333,0.253617313,1.141655309,-0.555,-0.279,0.293,0.463,-0.026,0.04,Q62261,Sptbn1,Q62261_Sptbn1,Q62261,Sptbn1,1,2492,365,28,Q62261,MOUSE,275074,92,6,6.1,5754.67,459.89,,2363,"Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,365,2492,9.6E+12,92.0%
Q62261-2,0.21049858,-0.093,7.171918798,0.388,0.191782122,1.305389764,-0.668,-0.35,0.157,0.281,-0.181,0.203,Q62261,Sptbn1,Q62261-2_Sptbn1,Q62261-2,Sptbn1,1,3,334,2,Q62261-2,MOUSE,251893.6,91,6,6.2,5268.66,23.47,,2363,"Isoform 2 of Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,2,3,32600000,1.5%
Q68FG2,0.234508519,-0.0655,6.636412852,0.367,0.216949531,1.234737226,-0.453,-0.43,0.136,0.322,-0.011,0.043,Q68FG2,Sptbn2,Q68FG2_Sptbn2,Q68FG2,Sptbn2,1,1132,237,197,Q68FG2,MOUSE,272173.4,84.2,6,6.3,3776.17,3209.08,,2388,Spectrin beta chain,photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|,synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|,actin binding|structural constituent of cytoskeleton|phospholipid binding|,197,1132,2.1E+12,77.5%
E9PX29,0.338843356,-0.0675,4.87629243,0.292333333,0.325364943,0.983528199,-0.618,-0.251,0.228,0.23,-0.007,0.013,E9PX29,Sptbn4,E9PX29_Sptbn4,E9PX29,Sptbn4,1,523,177,163,E9PX29|Q91ZE6|E9PZC2|D3Z4P8,MOUSE,290073.8,68.9,6,6.4,2585.2,2419.03,,2561,Spectrin beta chain,cytoplasm|spectrin|membrane|nuclear matrix|PML body|axon|paranode region of axon|neuronal cell body|axon initial segment|axon hillock|extracellular exosome|cell body fiber|,regulation of sodium ion transport|axonogenesis|sensory perception of sound|adult walking behavior|fertilization|negative regulation of heart rate|transmission of nerve impulse|central nervous system projection neuron axonogenesis|reproductive process|adult behavior|regulation of peptidyl-serine phosphorylation|cellular protein localization|positive regulation of multicellular organism growth|clustering of voltage-gated sodium channels|cardiac conduction|,actin binding|structural constituent of cytoskeleton|protein binding|phospholipid binding|phosphatase binding|ankyrin binding|spectrin binding|,163,523,7.31E+11,66.5%
Q3UGX2,0.175100364,-0.034833333,8.104613258,0.423,0.154717227,1.423143996,-0.344,-0.422,0.027,0.414,-0.013,0.129,Q3UGX2,Sptb,Q3UGX2_Sptb,Q3UGX2,Sptb,1,385,160,142,Q3UGX2|E9Q397|P15508,MOUSE,268999.3,67.7,6,6.5,2244.93,1997.05,,2329,Spectrin beta chain,cytoplasm|plasma membrane|spectrin|cell surface|spectrin-associated cytoskeleton|membrane|cortical cytoskeleton|protein complex|,porphyrin-containing compound biosynthetic process|plasma membrane organization|hemopoiesis|,actin binding|structural constituent of cytoskeleton|phospholipid binding|ankyrin binding|protein heterodimerization activity|actin filament binding|,142,385,1.15E+11,63.3%
Q9JHU4,0.072149585,-0.17,14.12739792,0.614666667,0.038659854,2.067988596,-0.85,-0.561,-0.021,0.206,0.061,0.145,Q9JHU4,Dync1h1,Q9JHU4_Dync1h1,Q9JHU4,Dync1h1,1,943,280,280,Q9JHU4,MOUSE,534774.4,60.3,7,7.1,4112.87,4112.87,,4644,Cytoplasmic dynein 1 heavy chain 1,cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|membrane|filopodium|extracellular exosome|,cilium movement|transport|metabolic process|cytoplasmic mRNA processing body assembly|stress granule assembly|establishment of spindle localization|,microtubule motor activity|protein binding|ATP binding|ATPase activity|poly(A) RNA binding|dynein light intermediate chain binding|,280,943,4.63E+11,60.3%
Q8C8R3-2,0.204875535,-0.065166667,7.302075478,0.393,0.186119746,1.322211797,-0.852,-0.328,0.395,0.396,-0.062,0.06,Q8C8R3,Ank2,Q8C8R3-2_Ank2,Q8C8R3-2,Ank2,1,1350,263,11,Q8C8R3-2,MOUSE,431269.8,71.7,8,8.1,4099.83,166.58,,3898,Isoform 2 of Ankyrin-2,intracellular|cytoplasm|cytoskeleton|plasma membrane|integral component of plasma membrane|intercalated disc|basolateral plasma membrane|apical plasma membrane|Z disc|T-tubule|M band|A band|sarcolemma|costamere|postsynaptic membrane|perinuclear region of cytoplasm|neuronal postsynaptic density|,regulation of heart rate|atrial septum development|cellular calcium ion homeostasis|protein localization|positive regulation of gene expression|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|regulation of protein stability|T-tubule organization|protein localization to cell surface|cellular protein localization|protein localization to M-band|protein localization to T-tubule|regulation of apoptotic process|positive regulation of potassium ion transport|protein stabilization|regulation of calcium ion transport|positive regulation of calcium ion transport|regulation of cardiac muscle contraction|cardiac muscle contraction|regulation of ventricular cardiac muscle cell membrane repolarization|protein localization to endoplasmic reticulum|protein localization to plasma membrane|protein targeting to plasma membrane|regulation of cardiac muscle cell contraction|ventricular cardiac muscle cell action potential|atrial cardiac muscle cell action potential|SA node cell action potential|regulation of cardiac muscle cell membrane potential|atrial cardiac muscle cell to AV node cell communication|SA node cell to atrial cardiac muscle cell communication|regulation of heart rate by cardiac conduction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|positive regulation of potassium ion transmembrane transporter activity|regulation of calcium ion transmembrane transporter activity|positive regulation of calcium ion transmembrane transporter activity|regulation of cation channel activity|positive regulation of cation channel activity|,"protein binding|potassium channel regulator activity|protein kinase binding|spectrin binding|protein binding, bridging|ion channel binding|ATPase binding|",263,1350,2.32E+12,71.7%
