"","id","adj.P.Val.xBirACre.over.NoBirA","AveExpr.xBirACre.over.NoBirA","Log.P.Value.xBirACre.over.NoBirA","logFC.xBirACre.over.NoBirA","P.Value.xBirACre.over.NoBirA","t.xBirACre.over.NoBirA","PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian","PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian","PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian","PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian","PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian","PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian","id.query","id.mapped","id.concat","accession_number","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","PlexesSearchedTogether_correct.unique_peptides","PlexesSearchedTogether_correct.numSpectra","PlexesSearchedTogether_correct.totalIntensity","PlexesSearchedTogether_correct.pct_cov"
"11","E9Q8I0",0.00010426,-1.085833333,50.46752357,4.426333333,8.97941e-06,10.63504162,-3.903,-2.921,-3.073,1,0.963,1.419,"E9Q8I0","Cfh","E9Q8I0_Cfh","E9Q8I0","Cfh",1,939,95,77,"E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8","MOUSE",145947.1,76.1,9,9.1,1615.22,1330.82,NA,1252,"Complement factor H","extracellular exosome|blood microparticle|","regulation of complement activation|","complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|",95,939,3.14e+12,"76.1%"
"12","E9Q8B5",0.000122826,-1.09,44.34768734,4.619333333,3.67478e-05,8.685872068,-3.284,-2.53,-4.385,1.376,0.88,1.403,"E9Q8B5","Gm4788","E9Q8B5_Gm4788","E9Q8B5","Gm4788",1,23,50,4,"E9Q8B5|E9Q8B6","MOUSE",102688.5,63.9,9,9.2,834.24,71.86,NA,879,"Predicted gene 4788","","","",4,23,2.02e+10,"6.8%"
"13","P20918",0.000225378,-0.901833333,39.51106844,4.631666667,0.000111916,7.366895773,-3.944,-2.004,-3.705,2.182,1.188,0.872,"P20918","Plg","P20918_Plg","P20918","Plg",1,1250,87,87,"P20918","MOUSE",93544.9,86.3,10,10.1,1482.37,1482.37,NA,812,"Plasminogen","extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|","blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|","fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|",87,1250,8.92e+12,"86.3%"
"14","E9PZD8",0.000153223,-0.8915,42.22791711,4.199666667,5.98699e-05,8.085953,-4.033,-2.451,-2.49,1.392,1.327,0.906,"E9PZD8","Cp","E9PZD8_Cp","E9PZD8","Cp",1,1067,79,1,"E9PZD8|Q61147","MOUSE",125007.5,59.3,11,11.1,1447.9,17.49,NA,1086,"Ceruloplasmin","extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|","copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|","ferroxidase activity|copper ion binding|chaperone binding|",79,1067,3.69e+12,"59.3%"
"15","B8JJN0",0.00010426,-0.958666667,46.75296224,4.235333333,2.11205e-05,9.411483289,-3.748,-2.57,-2.911,1.591,0.952,0.934,"B8JJN0","NotFound","B8JJN0_NotFound","B8JJN0","Gm20547",1,769,90,64,"B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|Q9WTX6","MOUSE",144605,52.5,12,12.1,1423.12,1012.9,NA,1276,"Predicted gene 20547","","proteolysis|","serine-type endopeptidase activity|",90,769,1.39e+12,"52.5%"
"16","P21180",0.00010426,-0.836833333,48.85643264,3.993666667,1.30124e-05,10.08822102,-3.149,-2.501,-2.851,1.596,0.884,1,"P21180","C2","P21180_C2","P21180","C2",1,54,37,11,"P21180|P21180-2|B8JJN2|B8JJM9","MOUSE",85995.1,47.3,12,12.2,553.32,143.1,NA,760,"Complement C2","extracellular exosome|","proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|","serine-type endopeptidase activity|metal ion binding|",11,54,4.26e+10,"16.7%"
"17","P07724",0.00010426,-1.023833333,47.04291205,4.162333333,1.97564e-05,9.502357837,-3.871,-2.746,-2.698,1.148,1.045,0.979,"P07724","Alb","P07724_Alb","P07724","Alb",1,1273,73,70,"P07724","MOUSE",70745.2,92.5,13,13.1,1292.24,1238.24,NA,608,"Serum albumin","extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|","retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|","DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|",73,1273,1.6e+13,"92.5%"
"18","O88783",0.00010426,-0.871833333,47.88695187,4.165,1.62669e-05,9.77123031,-3.489,-2.412,-2.962,1.523,1.221,0.888,"O88783","F5","O88783_F5","O88783","F5",1,434,83,83,"O88783","MOUSE",248366.9,36,14,14.1,1234.51,1234.51,NA,2183,"Coagulation factor V","extracellular space|membrane|platelet alpha granule|extracellular vesicle|","blood coagulation|blood circulation|platelet activation|","copper ion binding|",83,434,1.24e+11,"36.0%"
"19","Q5SWU9",0.009207727,0.089333333,21.09502722,2.322666667,0.007771364,3.606777765,-1.766,-0.562,-0.888,2.548,0.39,0.814,"Q5SWU9","Acaca","Q5SWU9_Acaca","Q5SWU9","Acaca",1,269,83,71,"Q5SWU9|Q5SWU9-2","MOUSE",266849.4,35,15,15.1,1069.38,899.93,NA,2345,"Acetyl-CoA carboxylase 1","nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|","tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|","acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|",83,269,3.42e+10,"35.0%"
"20","E9Q4Z2",0.007092511,0.096833333,22.31323552,2.738333333,0.005870518,3.850942055,-2.187,-0.479,-1.151,2.801,0.506,1.091,"E9Q4Z2","Acacb","E9Q4Z2_Acacb","E9Q4Z2","Acacb",1,14,21,9,"E9Q4Z2","MOUSE",278141.4,9.8,15,15.2,256.63,87.18,NA,2448,"Acetyl-CoA carboxylase 2","nucleus|mitochondrion|endomembrane system|membrane|","acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|","acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|",9,14,1.71e+08,"4.2%"
"21","Q80YQ1",0.009169997,-0.681166667,21.11885393,3.323,0.007728845,3.702145757,-0.375,-2.688,-3.965,1.454,1.176,0.311,"Q80YQ1","Thbs1","Q80YQ1_Thbs1","Q80YQ1","Thbs1",1,508,68,68,"Q80YQ1|P35441|Q03350","MOUSE",133681.8,57.6,16,16.1,1068.46,1068.46,NA,1171,"Thrombospondin-1","fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|","activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|","phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|",69,508,5.41e+11,"57.6%"
"22","A6X935",0.00010426,-0.980833333,50.35353296,4.219666667,9.21821e-06,10.59550664,-3.416,-2.641,-3.215,1.494,0.952,0.941,"A6X935","Itih4","A6X935_Itih4","A6X935","Itih4",1,539,63,1,"A6X935|A6X935-2|E9Q5L2","MOUSE",104828.7,70.5,17,17.1,1027.99,24.1,NA,942,"Inter alpha-trypsin inhibitor, heavy chain 4","cytoplasm|plasma membrane|extracellular exosome|blood microparticle|","acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|","serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|",63,539,1.05e+12,"70.5%"
"23","Q9DBD0",0.00010426,-0.8935,46.63554289,4.224333333,2.16993e-05,9.37489609,-3.741,-2.536,-2.74,1.508,1.252,0.896,"Q9DBD0","1300017J02Rik","Q9DBD0_1300017J02Rik","Q9DBD0","Ica",1,602,60,60,"Q9DBD0|D3YY36","MOUSE",78761.2,67.5,18,18.1,982.11,982.11,NA,700,"Inhibitor of carbonic anhydrase","extracellular space|","negative regulation of catalytic activity|","enzyme inhibitor activity|iron ion binding|",60,602,1.38e+12,"67.5%"
"24","P06728",0.00010426,-1.180666667,50.45567634,4.626,9.00394e-06,10.63092658,-4.02,-2.792,-3.669,1.161,1.3,0.936,"P06728","Apoa4","P06728_Apoa4","P06728","Apoa4",1,1119,51,51,"P06728","MOUSE",45028.2,85.8,19,19.1,900.53,900.53,NA,395,"Apolipoprotein A-IV","extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|","innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|","copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|",51,1119,2.24e+13,"85.8%"
"25","Q91ZX7",0.00010426,-0.886333333,48.85850499,3.762,1.30062e-05,10.08890815,-3.206,-2.614,-2.482,1.039,1.018,0.927,"Q91ZX7","Lrp1","Q91ZX7_Lrp1","Q91ZX7","Lrp1",1,191,73,73,"A0A0R4J0I9|Q91ZX7|Q3U5J2|Q9JI18|A2API5|E9Q202|D3Z5M3|Q3TES0|A0A0N4SWH8|D6RHQ8","MOUSE",523675.1,18.1,20,20.1,891.37,891.37,NA,4545,"Prolow-density lipoprotein receptor-related protein 1","nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|","receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|","calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|",73,191,2.01e+10,"18.1%"
"26","P21614",0.000133041,-1.009,43.59759078,4.469333333,4.36758e-05,8.469500974,-4.219,-2.446,-3.066,1.583,1.212,0.882,"P21614","Gc","P21614_Gc","P21614","Gc",1,442,49,49,"P21614","MOUSE",55196.9,89.2,21,21.1,887,887,NA,476,"Vitamin D-binding protein","extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|","female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|","actin binding|vitamin transporter activity|calcidiol binding|",49,442,6.54e+11,"89.2%"
"27","P32261",0.000110032,-0.8205,45.68191867,4.359666667,2.70276e-05,9.082247307,-3.755,-2.371,-2.875,1.644,1.552,0.882,"P32261","Serpinc1","P32261_Serpinc1","P32261","Serpinc1",1,682,57,57,"P32261|A0A0A6YX49|A0A0A6YXS8","MOUSE",52516.1,72.4,22,22.1,885.21,885.21,NA,465,"Antithrombin-III","extracellular space|extracellular exosome|blood microparticle|","response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|","protease binding|serine-type endopeptidase inhibitor activity|heparin binding|",57,682,2.57e+12,"72.4%"
"28","Q8K0E8",0.047709698,-0.1625,13.61624737,2.976333333,0.043488584,2.464836367,0.515,-2.704,-2.763,0.847,3.398,-0.268,"Q8K0E8","Fgb","Q8K0E8_Fgb","Q8K0E8","Fgb",1,380,52,52,"Q8K0E8|F1MAV0|P02676","MOUSE",55436.4,79.6,23,23.1,855.45,855.45,NA,481,"Fibrinogen beta chain","fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|extracellular vesicle|","cell-matrix adhesion|signal transduction|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|induction of bacterial agglutination|cellular protein complex assembly|cellular response to leptin stimulus|innate immune response|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|cellular response to interleukin-1|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","structural molecule activity|protein binding, bridging|chaperone binding|receptor binding|cell adhesion molecule binding|",52,380,3.72e+11,"79.6%"
"29","P19221",0.000111935,-1.096666667,45.20330306,4.566,3.01766e-05,8.938333973,-3.947,-2.446,-3.746,1.662,0.918,0.979,"P19221","F2","P19221_F2","P19221","F2",1,554,50,50,"P19221|H7BX99","MOUSE",71693.8,58.5,24,24.1,841.78,841.78,NA,618,"Prothrombin","extracellular space|cytosol|extracellular matrix|extracellular exosome|blood microparticle|","positive regulation of protein phosphorylation|proteolysis|acute-phase response|cell surface receptor signaling pathway|positive regulation of cell proliferation|regulation of cell shape|response to wounding|regulation of gene expression|positive regulation of phosphatidylinositol 3-kinase signaling|response to inactivity|platelet activation|positive regulation of blood coagulation|positive regulation of cell growth|positive regulation of collagen biosynthetic process|fibrinolysis|negative regulation of proteolysis|negative regulation of astrocyte differentiation|positive regulation of release of sequestered calcium ion into cytosol|cytosolic calcium ion homeostasis|thrombin receptor signaling pathway|cellular response to mechanical stimulus|positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway|positive regulation of reactive oxygen species metabolic process|","serine-type endopeptidase activity|receptor binding|calcium ion binding|protein binding|peptidase activity|thrombospondin receptor activity|",50,554,1.59e+12,"58.5%"
