id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Ilia_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Ilia_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Ilia_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Ilia_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Ilia_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Ilia_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Ilia_newDatabase.unique_peptides,Ilia_newDatabase.numSpectra,Ilia_newDatabase.totalIntensity,Ilia_newDatabase.pct_cov
P01029,7.27041E-05,-0.959333333,47.97309991,4.030666667,1.59474E-05,9.088332009,-3.666,-2.814,-2.444,1.203,0.942,1.023,P01029,C4b,P01029_C4b,P01029,C4b,1,570,111,111,P01029|E1BH06|F1MVK1|P01030,MOUSE,194566.4,60.1,7,7.1,1604.77,1604.77,,1738,Complement C4-B,extracellular space|,"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|",endopeptidase inhibitor activity|,111,570,9.43E+11,60.1%
Q921I1,7.35494E-05,-1.080833333,47.54598386,4.720333333,1.75955E-05,8.968933704,-4.18,-2.455,-3.688,1.469,1.47,0.899,Q921I1,Trf,Q921I1_Trf,Q921I1,Tf,1,894,86,83,Q921I1|E9Q035|Q29443|E9Q939,MOUSE,78890.5,82.2,8,8.1,1550.92,1502.05,,697,Serotransferrin,extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|,"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|",protein binding|ferric iron binding|ferric iron transmembrane transporter activity|,86,894,1.5E+13,82.2%
Q2HJF0,0.001553987,-1.482833333,29.07897743,5.542333333,0.001236238,5.11019093,-3.218,-2.573,-6.971,1.624,1.362,0.879,Q2HJF0,NotFound,Q2HJF0_NotFound,Q2HJF0,LOC525947,1,13,7,4,Q2HJF0,BOVIN,70893.5,4.8,8,8.2,75.58,26.71,,622,Serotransferrin-like,,,,4,13,13400000000,1.4%
E9Q8I0,7.14977E-05,-1.118333333,52.16320669,4.417333333,6.07686E-06,10.3331968,-3.949,-2.947,-3.085,0.978,1,1.293,E9Q8I0,Cfh,E9Q8I0_Cfh,E9Q8I0,Cfh,1,483,91,73,E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8,MOUSE,145947.1,74.7,9,9.1,1540.08,1270.3,,1252,Complement factor H,extracellular exosome|blood microparticle|,regulation of complement activation|,complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|,91,483,1.8E+12,74.7%
E9Q8B5,0.000107716,-0.469,43.78687364,4.225833333,4.18131E-05,8.913400501,-3.313,-2.696,,1.373,0.899,1.392,E9Q8B5,Gm4788,E9Q8B5_Gm4788,E9Q8B5,Gm4788,1,12,49,4,E9Q8B5|E9Q8B6,MOUSE,102688.5,61.7,9,9.2,789.77,69.54,,879,Predicted gene 4788,,,,4,12,12600000000,6.8%
E9PUM5,0.000154328,-0.3756,40.98925934,3.850666667,7.96295E-05,8.075871458,-3.018,-2.354,,1.346,0.852,1.296,E9PUM5,NotFound,E9PUM5_NotFound,E9PUM5,Gm4788,1,1,45,1,E9PUM5,MOUSE,94467.4,61.6,9,9.3,727.88,16.01,,808,Predicted gene 4788,,,,1,1,27800000,2.5%
Q4LDF6,0.000153069,-0.5876,41.05183173,4.429833333,7.84905E-05,8.093856059,-3.877,-2.614,,1.503,1.154,0.896,Q4LDF6,Cfhr2,Q4LDF6_Cfhr2,Q4LDF6,Cfhr2,1,11,17,5,Q4LDF6|Q61405,MOUSE,39129.7,64.7,9,9.4,286.71,74.34,,332,Complement factor H-related 2,,,,5,11,774000000,21.0%
P20918,0.000148297,-0.890166667,41.39719966,4.646333333,7.24903E-05,7.387225401,-3.951,-1.973,-3.716,2.174,1.26,0.865,P20918,Plg,P20918_Plg,P20918,Plg,1,627,83,83,P20918,MOUSE,93544.9,85.2,10,10.1,1397.85,1397.85,,812,Plasminogen,extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|,fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|,83,627,4.89E+12,85.2%
E9PZD8,9.83412E-05,-0.938666667,44.47813051,4.326,3.56605E-05,8.148899762,-4.148,-2.41,-2.747,1.394,1.377,0.902,E9PZD8,Cp,E9PZD8_Cp,E9PZD8,Cp,1,524,76,1,E9PZD8|Q61147,MOUSE,125007.5,59,11,11.1,1354.8,15.24,,1086,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,76,524,1.93E+12,59.0%
G3X8Q5,0.000284744,-0.2228,37.57788787,3.6545,0.000174667,7.14338605,-2.89,-1.941,,1.325,1.512,0.88,G3X8Q5,Cp,G3X8Q5_Cp,G3X8Q5,Cp,1,6,76,1,G3X8Q5|G3X9T8,MOUSE,124936.5,58.9,11,11.2,1352.92,13.36,,1085,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,1,6,1590000000,1.0%
B8JJN0,7.22342E-05,-0.979,48.107266,4.283333333,1.54623E-05,9.126111697,-3.804,-2.496,-3.062,1.566,1,0.922,B8JJN0,NotFound,B8JJN0_NotFound,B8JJN0,Gm20547,1,397,87,62,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|Q9WTX6,MOUSE,144605,52.1,12,12.1,1322.14,935.17,,1276,Predicted gene 20547,,proteolysis|,serine-type endopeptidase activity|,87,397,7.83E+11,52.1%
P21180,0.000160498,-0.4816,40.75709781,4.129,8.40021E-05,8.00943159,-3.417,-2.501,,1.596,0.914,1,P21180,C2,P21180_C2,P21180,C2,1,25,35,10,P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,85995.1,46.1,12,12.2,508.49,121.52,,760,Complement C2,extracellular exosome|,"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|",serine-type endopeptidase activity|metal ion binding|,10,25,24500000000,15.6%
P07724,7.46686E-05,-0.980666667,47.06561288,4.037333333,1.96534E-05,8.836218036,-3.785,-2.743,-2.47,1.089,1.03,0.995,P07724,Alb,P07724_Alb,P07724,Alb,1,665,71,69,P07724,MOUSE,70745.2,87.5,13,13.1,1232.45,1189.55,,608,Serum albumin,extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|,retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|,DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|,71,665,1.02E+13,87.5%
P02769,0.000329774,-0.358166667,36.79566962,3.186333333,0.000209138,6.352048259,-2.334,-1.375,-2.145,2.04,0.84,0.825,P02769,NotFound,P02769_NotFound,P02769,ALB,1,10,8,6,P02769,BOVIN,71289,14.9,13,13.2,96.66,53.76,,607,Serum albumin,,,,6,10,1330000000,10.5%
O88783,7.82785E-05,-0.7855,46.33403583,4.011,2.32593E-05,8.63723752,-3.547,-2.347,-2.479,1.486,1.286,0.888,O88783,F5,O88783_F5,O88783,F5,1,219,78,78,O88783,MOUSE,248366.9,35.3,14,14.1,1111.77,1111.77,,2183,Coagulation factor V,extracellular space|membrane|platelet alpha granule|extracellular vesicle|,blood coagulation|blood circulation|platelet activation|,copper ion binding|,78,219,71500000000,35.3%
Q80YQ1,0.007808621,-0.389166667,21.58925207,3.169,0.006935452,3.721501567,-0.195,-2.443,-3.283,1.915,1.463,0.208,Q80YQ1,Thbs1,Q80YQ1_Thbs1,Q80YQ1,Thbs1,1,315,65,65,Q80YQ1|P35441|Q03350,MOUSE,133681.8,53.1,15,15.1,995.93,995.93,,1171,Thrombospondin-1,fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|,activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|,phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|,66,315,4.49E+11,53.1%
Q5SWU9,0.005051759,0.020333333,23.57532843,2.483333333,0.004390027,3.907900231,-1.862,-0.587,-1.215,2.534,0.406,0.846,Q5SWU9,Acaca,Q5SWU9_Acaca,Q5SWU9,Acaca,1,159,75,63,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,32.9,16,16.1,928.09,775.79,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,75,159,27400000000,32.9%
E9Q4Z2,0.004219476,0.034833333,24.41341538,2.858333333,0.003619582,4.044719367,-2.236,-0.646,-1.301,2.885,0.444,1.063,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,7,18,6,E9Q4Z2,MOUSE,278141.4,8.4,16,16.2,214.71,62.41,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,6,7,56400000,2.8%
Q9DBD0,7.35494E-05,-0.896,47.38777055,4.26,1.82483E-05,8.925040529,-3.835,-2.503,-2.74,1.483,1.329,0.89,Q9DBD0,1300017J02Rik,Q9DBD0_1300017J02Rik,Q9DBD0,Ica,1,300,58,58,Q9DBD0|D3YY36,MOUSE,78761.2,66.7,17,17.1,909.6,909.6,,700,Inhibitor of carbonic anhydrase,extracellular space|,negative regulation of catalytic activity|,enzyme inhibitor activity|iron ion binding|,58,300,6.58E+11,66.7%
A6X935,7.14977E-05,-1.041333333,52.35085558,4.316,5.81989E-06,10.3922292,-3.522,-2.701,-3.375,1.423,1.002,0.925,A6X935,Itih4,A6X935_Itih4,A6X935,Itih4,1,258,55,1,A6X935|A6X935-2|E9Q5L2,MOUSE,104828.7,63.8,18,18.1,891.16,24.1,,942,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|,serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|,55,258,5.43E+11,63.8%
E9PVD2,9.65694E-05,-0.4838,44.60188852,4.052,3.46586E-05,9.170822098,-2.978,-2.852,,1.291,1.22,0.9,E9PVD2,Itih4,E9PVD2_Itih4,E9PVD2,Itih4,1,9,55,1,E9PVD2|A0A0R4J1N1,MOUSE,104757.7,63.7,18,18.2,891.16,24.1,,941,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|calcium ion binding|hyaluronic acid binding|,1,9,5170000000,2.2%
P21614,8.20605E-05,-1.029833333,46.05978499,4.600333333,2.47754E-05,8.563605293,-4.257,-2.437,-3.296,1.616,1.321,0.874,P21614,Gc,P21614_Gc,P21614,Gc,1,214,49,49,P21614,MOUSE,55196.9,89.2,19,19.1,856.16,856.16,,476,Vitamin D-binding protein,extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|,female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|,actin binding|vitamin transporter activity|calcidiol binding|,49,214,2.73E+11,89.2%
P06728,7.14977E-05,-1.165,52.0119059,4.619333333,6.2923E-06,10.28581269,-4.056,-2.806,-3.562,1.148,1.354,0.932,P06728,Apoa4,P06728_Apoa4,P06728,Apoa4,1,584,50,50,P06728,MOUSE,45028.2,85.8,20,20.1,852.77,852.77,,395,Apolipoprotein A-IV,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|,innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|,copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|,50,584,1.3E+13,85.8%
Q91ZX7,7.14977E-05,-0.9705,50.06616499,3.927,9.8488E-06,9.693047214,-3.452,-2.583,-2.767,1,1.045,0.934,Q91ZX7,Lrp1,Q91ZX7_Lrp1,Q91ZX7,Lrp1,1,119,70,70,A0A0R4J0I9|Q91ZX7|Q3U5J2|Q9JI18|A2API5|E9Q202|D3Z5M3,MOUSE,523675.1,17.3,21,21.1,824.21,824.21,,4545,Prolow-density lipoprotein receptor-related protein 1,nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|,receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|,calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|,70,119,12600000000,17.3%
P32261,7.35494E-05,-0.8625,47.44800469,4.468333333,1.7997E-05,8.941730101,-3.865,-2.388,-3.037,1.588,1.65,0.877,P32261,Serpinc1,P32261_Serpinc1,P32261,Serpinc1,1,355,56,56,P32261|A0A0A6YX49|A0A0A6YXS8,MOUSE,52516.1,68.3,22,22.1,820.13,820.13,,465,Antithrombin-III,extracellular space|extracellular exosome|blood microparticle|,"response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|",protease binding|serine-type endopeptidase inhibitor activity|heparin binding|,56,355,1.45E+12,68.3%
P19221,7.46686E-05,-1.084833333,46.97434674,4.501666667,2.00708E-05,8.811189147,-4.127,-2.504,-3.376,1.6,0.936,0.962,P19221,F2,P19221_F2,P19221,F2,1,271,48,48,P19221|H7BX99,MOUSE,71693.8,58.5,23,23.1,791.39,791.39,,618,Prothrombin,extracellular space|cytosol|extracellular matrix|extracellular exosome|blood microparticle|,positive regulation of protein phosphorylation|proteolysis|acute-phase response|cell surface receptor signaling pathway|positive regulation of cell proliferation|regulation of cell shape|response to wounding|regulation of gene expression|positive regulation of phosphatidylinositol 3-kinase signaling|response to inactivity|platelet activation|positive regulation of blood coagulation|positive regulation of cell growth|positive regulation of collagen biosynthetic process|fibrinolysis|negative regulation of proteolysis|negative regulation of astrocyte differentiation|positive regulation of release of sequestered calcium ion into cytosol|cytosolic calcium ion homeostasis|thrombin receptor signaling pathway|cellular response to mechanical stimulus|positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway|positive regulation of reactive oxygen species metabolic process|,serine-type endopeptidase activity|receptor binding|calcium ion binding|protein binding|peptidase activity|thrombospondin receptor activity|,48,271,8.78E+11,58.5%
