"Amanda_newDatabase, 126:127, NoBirA_6:BirA/Cre_3","Amanda_newDatabase, 126:128, NoBirA_6:NoBirA_4","Amanda_newDatabase, 126:129, NoBirA_6:NoBirA_5","Amanda_newDatabase, 126:130, NoBirA_6:BirA/Cre_2","Amanda_newDatabase, 126:131, NoBirA_6:BirA/Cre_1","Amanda_newDatabase, 127:126, BirA/Cre_3:NoBirA_6","Amanda_newDatabase, 127:128, BirA/Cre_3:NoBirA_4","Amanda_newDatabase, 127:129, BirA/Cre_3:NoBirA_5","Amanda_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2","Amanda_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1","Amanda_newDatabase, 128:126, NoBirA_4:NoBirA_6","Amanda_newDatabase, 128:127, NoBirA_4:BirA/Cre_3","Amanda_newDatabase, 128:129, NoBirA_4:NoBirA_5","Amanda_newDatabase, 128:130, NoBirA_4:BirA/Cre_2","Amanda_newDatabase, 128:131, NoBirA_4:BirA/Cre_1","Amanda_newDatabase, 129:126, NoBirA_5:NoBirA_6","Amanda_newDatabase, 129:127, NoBirA_5:BirA/Cre_3","Amanda_newDatabase, 129:128, NoBirA_5:NoBirA_4","Amanda_newDatabase, 129:130, NoBirA_5:BirA/Cre_2","Amanda_newDatabase, 129:131, NoBirA_5:BirA/Cre_1","Amanda_newDatabase, 130:126, BirA/Cre_2:NoBirA_6","Amanda_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3","Amanda_newDatabase, 130:128, BirA/Cre_2:NoBirA_4","Amanda_newDatabase, 130:129, BirA/Cre_2:NoBirA_5","Amanda_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1","Amanda_newDatabase, 131:126, BirA/Cre_1:NoBirA_6","Amanda_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3","Amanda_newDatabase, 131:128, BirA/Cre_1:NoBirA_4","Amanda_newDatabase, 131:129, BirA/Cre_1:NoBirA_5","Amanda_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2",id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase unique_peptides,Amanda_newDatabase numSpectra,Amanda_newDatabase totalIntensity,Amanda_newDatabase pct_cov
,,,,,,,6.513,0.554,-0.136,,,,,,,-6.513,,-5.959,-6.648,,-0.554,,5.959,-0.69,,0.136,,6.648,0.69,E9PUM5,E9PUM5,Gm4788,1,1,46,1,E9PUM5,MOUSE,94467.4,63.9,9,9.3,733.15,16.87,,808,Predicted gene 4788,,,,1,1,6480000,2.50%
-5.379,-0.124,3.168,-4.909,-5.118,5.379,4.05,8.154,0.526,0.355,0.124,-4.05,,-3.43,-3.706,-3.168,-8.154,,-7.728,-7.008,4.909,-0.526,3.43,7.728,-0.128,5.118,-0.355,3.706,7.008,0.128,Q4LDF6,Q4LDF6,Cfhr2,1,8,16,4,Q4LDF6|Q61405,MOUSE,39129.7,57.8,9,9.4,290.43,68.45,,332,Complement factor H-related 2,,,,4,8,5.61E+08,14.10%
-6.263,-0.222,0.773,-5.12,-4.975,6.263,5.398,6.484,1.16,1.368,0.222,-5.398,0.05,-4.336,-4.101,-0.773,-6.484,-0.05,-5.16,-5.171,5.12,-1.16,4.336,5.16,0.207,4.975,-1.368,4.101,5.171,-0.207,P20918,P20918,Plg,1,623,85,85,P20918,MOUSE,93544.9,83,10,10.1,1418.1,1418.1,,812,Plasminogen,extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|,fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|,85,623,4.03E+12,83.00%
-5.652,-0.278,0.624,-5.309,-5.076,5.652,5.091,5.724,0.234,0.503,0.278,-5.091,0.052,-4.831,-4.732,-0.624,-5.724,-0.052,-5.435,-5.23,5.309,-0.234,4.831,5.435,0.28,5.076,-0.503,4.732,5.23,-0.28,E9PZD8,E9PZD8,Cp,1,543,75,1,E9PZD8|Q61147,MOUSE,125007.5,59,11,11.1,1370.51,17.49,,1086,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,75,543,1.76E+12,59.00%
,,,,,,6.533,,0.308,0.557,,-6.533,,-6.455,-5.976,,,,,,,-0.308,6.455,,0.478,,-0.557,5.976,,-0.478,G3X8Q5,G3X8Q5,Cp,1,3,75,1,G3X8Q5|G3X9T8,MOUSE,124936.5,58.9,11,11.2,1364.63,11.61,,1085,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,1,3,58600000,1.00%
-5.643,0.277,1.078,-4.904,-5.011,5.643,5.593,6.163,0.748,0.645,-0.277,-5.593,-0.056,-4.864,-4.936,-1.078,-6.163,0.056,-5.231,-5.398,4.904,-0.748,4.864,5.231,-0.092,5.011,-0.645,4.936,5.398,0.092,B8JJN0,B8JJN0,Gm20547,1,372,86,61,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00,MOUSE,144605,52.4,12,12.1,1337.16,955.56,,1276,Predicted gene 20547,,proteolysis|,serine-type endopeptidase activity|,86,372,6.11E+11,52.40%
-4.619,-0.147,1.896,-4.005,-4.118,4.619,4.144,5.469,0.793,0.528,0.147,-4.144,0.01,-3.262,-3.825,-1.896,-5.469,-0.01,-4.204,-4.521,4.005,-0.793,3.262,4.204,-0.225,4.118,-0.528,3.825,4.521,0.225,P21180,P21180,C2,1,29,35,10,P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,85995.1,45.9,12,12.2,512.78,131.18,,760,Complement C2,extracellular exosome|,"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|",serine-type endopeptidase activity|metal ion binding|,10,29,1.82E+10,15.20%
-5.467,0.191,0.53,-5.025,-5.098,5.467,4.999,5.354,0.234,0.28,-0.191,-4.999,-0.277,-4.767,-4.768,-0.53,-5.354,0.277,-4.697,-5.058,5.025,-0.234,4.767,4.697,0.024,5.098,-0.28,4.768,5.058,-0.024,P07724,P07724,Alb,1,608,70,67,P07724,MOUSE,70745.2,91.4,13,13.1,1190.54,1140.76,,608,Serum albumin,extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|,retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|,DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|,70,608,5.85E+12,91.40%
-2.952,-4.956,0.135,-2.581,-2.732,2.952,-2.343,5.8,0.277,0.149,4.956,2.343,2.405,2.394,2.403,-0.135,-5.8,-2.405,-5.604,-5.544,2.581,-0.277,-2.394,5.604,-0.025,2.732,-0.149,-2.403,5.544,0.025,P02769,P02769,ALB,1,21,10,7,P02769,BOVIN,71289,15.6,13,13.2,130.24,80.46,,607,Serum albumin,,,,7,21,4.60E+09,10.20%
-5.415,0.302,0.462,-4.967,-4.641,5.415,5.102,5.381,0.486,0.694,-0.302,-5.102,-0.128,-4.679,-4.48,-0.462,-5.381,0.128,-4.738,-4.897,4.967,-0.486,4.679,4.738,0.216,4.641,-0.694,4.48,4.897,-0.216,O88783,O88783,F5,1,215,74,74,O88783,MOUSE,248366.9,34.5,14,14.1,1085.6,1085.6,,2183,Coagulation factor V,extracellular space|membrane|platelet alpha granule|extracellular vesicle|,blood coagulation|blood circulation|platelet activation|,copper ion binding|,74,215,5.28E+10,34.50%
-5.106,0.325,1.165,-4.322,-4.558,5.106,5.155,6.308,0.724,0.625,-0.325,-5.155,-0.057,-4.478,-4.729,-1.165,-6.308,0.057,-5.083,-5.481,4.322,-0.724,4.478,5.083,-0.139,4.558,-0.625,4.729,5.481,0.139,E9PVD2,E9PVD2,Itih4,1,284,60,1,E9PVD2|A0A0R4J1N1|E9Q5L2,MOUSE,104757.7,63.4,15,15.1,914.88,24.1,,941,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|calcium ion binding|hyaluronic acid binding|,60,284,5.08E+11,63.40%
-4.157,2.574,1.744,-3.861,-3.638,4.157,7.27,6.002,0.412,0.841,-2.574,-7.27,-2.543,-6.839,-6.598,-1.744,-6.002,2.543,-6.105,-5.148,3.861,-0.412,6.839,6.105,0.223,3.638,-0.841,6.598,5.148,-0.223,A6X935,A6X935,Itih4,1,7,60,1,A6X935|A6X935-2,MOUSE,104828.7,63.4,15,15.2,914.19,23.41,,942,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|,serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|,1,7,2.69E+09,2.30%
-5.528,0.129,0.645,-4.955,-4.768,5.528,5.275,5.835,0.476,0.691,-0.129,-5.275,0.411,-4.823,-4.574,-0.645,-5.835,-0.411,-5.205,-4.99,4.955,-0.476,4.823,5.205,0.227,4.768,-0.691,4.574,4.99,-0.227,Q9DBD0,Q9DBD0,Ica,1,302,57,57,Q9DBD0|D3YY36,MOUSE,78761.2,66.8,16,16.1,914.29,914.29,,700,Inhibitor of carbonic anhydrase,extracellular space|,negative regulation of catalytic activity|,enzyme inhibitor activity|iron ion binding|,57,302,7.23E+11,66.80%
-5.321,0.215,1.077,-5.114,-5.053,5.321,5.464,6.297,0.037,0.266,-0.215,-5.464,0.738,-5.33,-5.217,-1.077,-6.297,-0.738,-5.911,-5.993,5.114,-0.037,5.33,5.911,0.233,5.053,-0.266,5.217,5.993,-0.233,P06728,P06728,Apoa4,1,535,51,51,P06728,MOUSE,45028.2,85.8,17,17.1,858.62,858.62,,395,Apolipoprotein A-IV,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|,innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|,copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|,51,535,9.38E+12,85.80%
-6.083,0.472,0.832,-5.57,-5.472,6.083,5.962,6.591,0.51,0.685,-0.472,-5.962,-0.478,-5.373,-5.242,-0.832,-6.591,0.478,-6.034,-5.807,5.57,-0.51,5.373,6.034,0.177,5.472,-0.685,5.242,5.807,-0.177,P21614,P21614,Gc,1,228,47,47,P21614,MOUSE,55196.9,89.2,18,18.1,841.06,841.06,,476,Vitamin D-binding protein,extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|,female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|,actin binding|vitamin transporter activity|calcidiol binding|,47,228,3.81E+11,89.20%
-4.659,-0.195,-1.619,-2.139,-2.747,4.659,4.291,3.009,2.445,1.894,0.195,-4.291,-1.422,-2.212,-2.613,1.619,-3.009,1.422,-0.489,-1.013,2.139,-2.445,2.212,0.489,-0.586,2.747,-1.894,2.613,1.013,0.586,Q5SWU9,Q5SWU9,Acaca,1,110,65,55,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,30.1,19,19.1,823.39,688.64,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,65,110,6.81E+09,30.10%
-4.525,0.732,-0.041,-1.667,-2.888,4.525,5.649,3.811,3.023,1.452,-0.732,-5.649,-0.314,-3.442,-3.759,0.041,-3.811,0.314,-0.428,-1.417,1.667,-3.023,3.442,0.428,-0.929,2.888,-1.452,3.759,1.417,0.929,E9Q4Z2,E9Q4Z2,Acacb,1,7,17,7,E9Q4Z2,MOUSE,278141.4,7.9,19,19.2,196.21,61.46,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,7,7,1.14E+08,3.30%
