id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
P01029,0.926318894,0.043166667,0.75695184,0.076333333,0.840049381,0.21074085,-0.421,-0.27,0.706,0.143,-0.124,0.225,P01029,C4b,P01029_C4b,P01029,C4b,1,1089,116,116,P01029|E1BH06|F1MVK1|P01030,MOUSE,194566.4,62.3,7,7.1,1704.26,1704.26,,1738,Complement C4-B,extracellular space|,"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|",endopeptidase inhibitor activity|,116,1089,1.63E+12,62.3%
Q921I1,0.296820483,-0.113166667,10.20193367,0.644333333,0.095456748,1.975146124,-1.005,-0.012,-0.289,0.313,0.315,-0.001,Q921I1,Trf,Q921I1_Trf,Q921I1,Tf,1,1784,90,87,Q921I1|E9Q035|Q29443|E9Q939,MOUSE,78890.5,82.2,8,8.1,1669.13,1617.66,,697,Serotransferrin,extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|,"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|",protein binding|ferric iron binding|ferric iron transmembrane transporter activity|,90,1784,2.9E+13,82.2%
Q2HJF0,0.484449308,-0.4,5.83163833,1.421333333,0.261117613,1.241355576,0.604,-0.135,-3.801,0.632,0.34,-0.04,Q2HJF0,NotFound,Q2HJF0_NotFound,Q2HJF0,LOC525947,1,23,8,5,Q2HJF0,BOVIN,70893.5,4.8,8,8.2,85.18,33.71,,622,Serotransferrin-like,,,,5,23,18900000000,1.4%
E9Q8I0,0.438943049,-0.129333333,6.52098499,0.444,0.222792979,1.359042745,-0.712,-0.439,0.097,-0.141,-0.085,0.504,E9Q8I0,Cfh,E9Q8I0_Cfh,E9Q8I0,Cfh,1,939,95,77,E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8,MOUSE,145947.1,76.1,9,9.1,1615.22,1330.82,,1252,Complement factor H,extracellular exosome|blood microparticle|,regulation of complement activation|,complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|,95,939,3.14E+12,76.1%
E9Q8B5,0.374847149,-0.1335,7.837976014,0.637,0.164513824,1.582500431,-0.093,-0.048,-1.215,0.235,-0.168,0.488,E9Q8B5,Gm4788,E9Q8B5_Gm4788,E9Q8B5,Gm4788,1,23,50,4,E9Q8B5|E9Q8B6,MOUSE,102688.5,63.9,9,9.2,834.24,71.86,,879,Predicted gene 4788,,,,4,23,20200000000,6.8%
E9PUM5,0.774476598,0.1024,2.176815089,0.1815,0.605784966,0.549991102,0.173,-0.186,,0.2,-0.169,0.494,E9PUM5,NotFound,E9PUM5_NotFound,E9PUM5,Gm4788,1,2,46,1,E9PUM5,MOUSE,94467.4,63.9,9,9.3,770.89,16.87,,808,Predicted gene 4788,,,,1,2,34300000,2.5%
Q4LDF6,0.385738721,-0.0802,7.622391977,0.458,0.172886389,1.586827511,-0.555,-0.155,,0.283,0.041,-0.015,Q4LDF6,Cfhr2,Q4LDF6_Cfhr2,Q4LDF6,Cfhr2,1,19,18,6,Q4LDF6|Q61405,MOUSE,39129.7,69.5,9,9.4,325.37,99.08,,332,Complement factor H-related 2,,,,6,19,1330000000,25.9%
P20918,0.42797268,0.054666667,6.834837868,0.649333333,0.207260343,1.413020032,-0.753,0.478,-0.535,1.041,0.14,-0.043,P20918,Plg,P20918_Plg,P20918,Plg,1,1250,87,87,P20918,MOUSE,93544.9,86.3,10,10.1,1482.37,1482.37,,812,Plasminogen,extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|,fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|,87,1250,8.92E+12,86.3%
E9PZD8,0.789399258,0.065,2.057253832,0.217333333,0.622693908,0.518400713,-0.842,0.031,0.68,0.251,0.279,-0.009,E9PZD8,Cp,E9PZD8_Cp,E9PZD8,Cp,1,1067,79,1,E9PZD8|Q61147,MOUSE,125007.5,59.3,11,11.1,1447.9,17.49,,1086,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,79,1067,3.69E+12,59.3%
G3X8Q5,0.902789601,0.2372,0.925798102,-0.071333333,0.808016426,-0.256060284,0.301,0.259,,0.24,0.409,-0.023,G3X8Q5,Cp,G3X8Q5_Cp,G3X8Q5,Cp,1,9,79,1,G3X8Q5|G3X9T8,MOUSE,124936.5,59.3,11,11.2,1443.77,13.36,,1085,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,1,9,1650000000,1.0%
B8JJN0,0.644376089,-0.002166667,3.503367817,0.253,0.446337337,0.81433107,-0.557,-0.088,0.259,0.45,-0.096,0.019,B8JJN0,NotFound,B8JJN0_NotFound,B8JJN0,Gm20547,1,769,90,64,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|Q9WTX6,MOUSE,144605,52.5,12,12.1,1423.12,1012.9,,1276,Predicted gene 20547,,proteolysis|,serine-type endopeptidase activity|,90,769,1.39E+12,52.5%
P21180,0.987463289,0.119666667,0.144974554,0.011333333,0.967169393,0.042891715,0.042,-0.019,0.319,0.455,-0.164,0.085,P21180,C2,P21180_C2,P21180,C2,1,54,37,11,P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,85995.1,47.3,12,12.2,553.32,143.1,,760,Complement C2,extracellular exosome|,"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|",serine-type endopeptidase activity|metal ion binding|,11,54,42600000000,16.7%
P07724,0.785113221,-0.067333333,2.097571004,0.18,0.616939958,0.527184476,-0.68,-0.264,0.472,0.007,-0.003,0.064,P07724,Alb,P07724_Alb,P07724,Alb,1,1273,73,70,P07724,MOUSE,70745.2,92.5,13,13.1,1292.24,1238.24,,608,Serum albumin,extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|,retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|,DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|,73,1273,1.6E+13,92.5%
P02769,0.145366797,0.445333333,17.16064738,-2.492666667,0.019228051,-3.181436425,0.67,3.533,0.872,-0.758,-0.919,-0.726,P02769,NotFound,P02769_NotFound,P02769,ALB,1,31,12,9,P02769,BOVIN,71289,20.4,13,13.2,149.87,95.87,,607,Serum albumin,,,,9,31,5930000000,14.9%
O88783,0.693022361,0.084666667,2.990777243,0.182666667,0.502252695,0.713299784,-0.298,0.07,0.208,0.382,0.173,-0.027,O88783,F5,O88783_F5,O88783,F5,1,434,83,83,O88783,MOUSE,248366.9,36,14,14.1,1234.51,1234.51,,2183,Coagulation factor V,extracellular space|membrane|platelet alpha granule|extracellular vesicle|,blood coagulation|blood circulation|platelet activation|,copper ion binding|,83,434,1.24E+11,36.0%
Q5SWU9,0.177068997,1.045833333,15.36631524,-1.659666667,0.029064876,-2.859114323,1.425,1.92,2.282,1.407,-0.658,-0.101,Q5SWU9,Acaca,Q5SWU9_Acaca,Q5SWU9,Acaca,1,269,83,71,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,35,15,15.1,1069.38,899.93,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,83,269,34200000000,35.0%
E9Q4Z2,0.296922676,1.053333333,10.15745595,-1.244,0.096439379,-1.97190482,1.004,2.003,2.019,1.66,-0.542,0.176,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,14,21,9,E9Q4Z2,MOUSE,278141.4,9.8,15,15.2,256.63,87.18,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,9,14,171000000,4.2%
Q80YQ1,0.705287932,0.275333333,2.836281815,-0.659333333,0.520441379,-0.682707079,2.816,-0.206,-0.795,0.313,0.128,-0.604,Q80YQ1,Thbs1,Q80YQ1_Thbs1,Q80YQ1,Thbs1,1,508,68,68,Q80YQ1|P35441|Q03350,MOUSE,133681.8,57.6,16,16.1,1068.46,1068.46,,1171,Thrombospondin-1,fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|,activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|,phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|,69,508,5.41E+11,57.6%
A6X935,0.573072924,-0.024333333,4.556239704,0.237333333,0.350248295,1.012145541,-0.225,-0.159,-0.045,0.353,-0.096,0.026,A6X935,Itih4,A6X935_Itih4,A6X935,Itih4,1,539,63,1,A6X935|A6X935-2|E9Q5L2,MOUSE,104828.7,70.5,17,17.1,1027.99,24.1,,942,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|,serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|,63,539,1.05E+12,70.5%
E9PVD2,0.774476598,0.0676,2.18530529,0.155166667,0.604601849,0.551849574,0.164,-0.215,,0.227,0.177,-0.015,E9PVD2,Itih4,E9PVD2_Itih4,E9PVD2,Itih4,1,19,63,1,E9PVD2|A0A0R4J1N1,MOUSE,104757.7,70.5,17,17.2,1027.99,24.1,,941,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|calcium ion binding|hyaluronic acid binding|,1,19,11900000000,2.2%
Q9DBD0,0.678082416,0.063,3.2048764,0.242,0.478092972,0.756101998,-0.55,-0.054,0.43,0.367,0.204,-0.019,Q9DBD0,1300017J02Rik,Q9DBD0_1300017J02Rik,Q9DBD0,Ica,1,602,60,60,Q9DBD0|D3YY36,MOUSE,78761.2,67.5,18,18.1,982.11,982.11,,700,Inhibitor of carbonic anhydrase,extracellular space|,negative regulation of catalytic activity|,enzyme inhibitor activity|iron ion binding|,60,602,1.38E+12,67.5%
P06728,0.198868004,-0.224166667,14.04661699,0.643666667,0.039385676,2.6185329,-0.829,-0.31,-0.499,0.02,0.252,0.021,P06728,Apoa4,P06728_Apoa4,P06728,Apoa4,1,1119,51,51,P06728,MOUSE,45028.2,85.8,19,19.1,900.53,900.53,,395,Apolipoprotein A-IV,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|,innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|,copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|,51,1119,2.24E+13,85.8%
Q91ZX7,0.678082416,0.070166667,3.195219902,-0.220333333,0.479157191,-0.754034563,-0.015,-0.132,0.688,-0.102,-0.03,0.012,Q91ZX7,Lrp1,Q91ZX7_Lrp1,Q91ZX7,Lrp1,1,191,73,73,A0A0R4J0I9|Q91ZX7|Q3U5J2|Q9JI18|A2API5|E9Q202|D3Z5M3|Q3TES0|A0A0N4SWH8|D6RHQ8,MOUSE,523675.1,18.1,20,20.1,891.37,891.37,,4545,Prolow-density lipoprotein receptor-related protein 1,nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|,receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|,calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|,73,191,20100000000,18.1%
P21614,0.466509631,-0.0525,6.11046495,0.487,0.244880106,1.288634058,-1.028,0.036,0.104,0.442,0.164,-0.033,P21614,Gc,P21614_Gc,P21614,Gc,1,442,49,49,P21614,MOUSE,55196.9,89.2,21,21.1,887,887,,476,Vitamin D-binding protein,extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|,female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|,actin binding|vitamin transporter activity|calcidiol binding|,49,442,6.54E+11,89.2%
P32261,0.519630802,0.136,5.325565383,0.377333333,0.293388753,1.150886071,-0.564,0.111,0.295,0.503,0.504,-0.033,P32261,Serpinc1,P32261_Serpinc1,P32261,Serpinc1,1,682,57,57,P32261|A0A0A6YX49|A0A0A6YXS8,MOUSE,52516.1,72.4,22,22.1,885.21,885.21,,465,Antithrombin-III,extracellular space|extracellular exosome|blood microparticle|,"response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|",protease binding|serine-type endopeptidase inhibitor activity|heparin binding|,57,682,2.57E+12,72.4%
