id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Amanda_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Amanda_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Amanda_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Amanda_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Amanda_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Amanda_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase.unique_peptides,Amanda_newDatabase.numSpectra,Amanda_newDatabase.totalIntensity,Amanda_newDatabase.pct_cov
Q921I1,0.000165808,-1.0075,43.3292732,4.449666667,4.64593E-05,8.866548218,-4.199,-2.522,-2.976,1.43,1.292,0.93,Q921I1,Trf,Q921I1_Trf,Q921I1,Tf,1,890,84,81,Q921I1|E9Q035|E9Q939|Q29443,MOUSE,78890.5,80.3,7,7.1,1538.39,1487.32,,697,Serotransferrin,extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|,"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|",protein binding|ferric iron binding|ferric iron transmembrane transporter activity|,84,890,1.4E+13,80.3%
Q2HJF0,0.000399994,-0.112,36.38020416,3.8475,0.000230133,7.808228279,-2.177,-2.664,,1.976,1.444,0.861,Q2HJF0,NotFound,Q2HJF0_NotFound,Q2HJF0,LOC525947,1,10,8,5,Q2HJF0,BOVIN,70893.5,4.8,7,7.2,83.43,32.36,,622,Serotransferrin-like,,,,5,10,5510000000,1.4%
P01029,0.000145021,-0.898333333,48.40984452,4.158,1.44217E-05,10.59233128,-3.546,-2.656,-2.73,1.375,0.903,1.264,P01029,C4b,P01029_C4b,P01029,C4b,1,519,105,105,P01029|E1BH06|P01030|F1MVK1,MOUSE,194566.4,57.5,8,8.1,1513.92,1513.92,,1738,Complement C4-B,extracellular space|,"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|",endopeptidase inhibitor activity|,105,519,6.89E+11,57.5%
E9Q8I0,0.000145021,-1.0025,47.47383089,4.323666667,1.78903E-05,10.25378358,-3.828,-2.894,-2.771,1.029,0.937,1.512,E9Q8I0,Cfh,E9Q8I0_Cfh,E9Q8I0,Cfh,1,456,89,72,E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8,MOUSE,145947.1,72.1,9,9.1,1469.82,1205.88,,1252,Complement factor H,extracellular exosome|blood microparticle|,regulation of complement activation|,complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|,89,456,1.34E+12,72.1%
E9Q8B5,0.000202271,-1.023,41.50076658,4.594,7.07821E-05,8.307963178,-3.135,-2.44,-4.385,1.423,0.861,1.538,E9Q8B5,Gm4788,E9Q8B5_Gm4788,E9Q8B5,Gm4788,1,11,49,4,E9Q8B5|E9Q8B6,MOUSE,102688.5,63.2,9,9.2,786.52,70.24,,879,Predicted gene 4788,,,,4,11,7540000000,6.8%
E9PUM5,0.000960721,0.19525,31.72382172,4.236333333,0.000672385,7.466040502,,-2.982,,1.336,0.906,1.521,E9PUM5,NotFound,E9PUM5_NotFound,E9PUM5,Gm4788,1,1,46,1,E9PUM5,MOUSE,94467.4,63.9,9,9.3,733.15,16.87,,808,Predicted gene 4788,,,,1,1,6480000,2.5%
Q4LDF6,0.000261034,-0.6262,39.31949188,4.2355,0.000116964,8.813389443,-3.676,-2.659,,1.371,0.905,0.928,Q4LDF6,Cfhr2,Q4LDF6_Cfhr2,Q4LDF6,Cfhr2,1,8,16,4,Q4LDF6|Q61405,MOUSE,39129.7,57.8,9,9.4,290.43,68.45,,332,Complement factor H-related 2,,,,4,8,561000000,14.1%
P20918,0.000296673,-0.908333333,38.29783143,4.605333333,0.000147985,7.400047494,-3.941,-2.043,-3.649,2.189,1.113,0.881,P20918,Plg,P20918_Plg,P20918,Plg,1,623,85,85,P20918,MOUSE,93544.9,83,10,10.1,1418.1,1418.1,,812,Plasminogen,extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|,fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|,85,623,4.03E+12,83.0%
E9PZD8,0.000229743,-0.8665,40.4195965,4.106333333,9.07905E-05,7.991806641,-3.962,-2.477,-2.32,1.39,1.261,0.909,E9PZD8,Cp,E9PZD8_Cp,E9PZD8,Cp,1,543,75,1,E9PZD8|Q61147,MOUSE,125007.5,59,11,11.1,1370.51,17.49,,1086,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,75,543,1.76E+12,59.0%
G3X8Q5,0.001465852,0.2905,29.65570809,3.791333333,0.001082503,6.735154219,,-2.553,,1.405,1.418,0.892,G3X8Q5,Cp,G3X8Q5_Cp,G3X8Q5,Cp,1,3,75,1,G3X8Q5|G3X9T8,MOUSE,124936.5,58.9,11,11.2,1364.63,11.61,,1085,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,1,3,58600000,1.0%
B8JJN0,0.000148189,-0.943,46.07089194,4.209333333,2.47122E-05,9.764339351,-3.691,-2.62,-2.832,1.609,0.929,0.947,B8JJN0,NotFound,B8JJN0_NotFound,B8JJN0,Gm20547,1,372,86,61,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00,MOUSE,144605,52.4,12,12.1,1337.16,955.56,,1276,Predicted gene 20547,,proteolysis|,serine-type endopeptidase activity|,86,372,6.11E+11,52.4%
P21180,0.000145021,-0.801333333,48.72950336,3.929333333,1.33983E-05,10.7102184,-2.944,-2.503,-2.851,1.601,0.877,1.012,P21180,C2,P21180_C2,P21180,C2,1,29,35,10,P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,85995.1,45.9,12,12.2,512.78,131.18,,760,Complement C2,extracellular exosome|,"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|",serine-type endopeptidase activity|metal ion binding|,10,29,18200000000,15.2%
P07724,0.000145021,-1.076333333,48.05653825,4.315333333,1.56439E-05,10.46338872,-3.924,-2.753,-3.025,1.201,1.073,0.97,P07724,Alb,P07724_Alb,P07724,Alb,1,608,70,67,P07724,MOUSE,70745.2,91.4,13,13.1,1190.54,1140.76,,608,Serum albumin,extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|,retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|,DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|,70,608,5.85E+12,91.4%
P02769,0.402906497,-0.458666667,4.046416181,1.236666667,0.393874969,0.909991163,-2.578,2.367,-3.02,0.326,0.044,0.109,P02769,NotFound,P02769_NotFound,P02769,ALB,1,21,10,7,P02769,BOVIN,71289,15.6,13,13.2,130.24,80.46,,607,Serum albumin,,,,7,21,4600000000,10.2%
O88783,0.000145021,-0.927,48.40979435,4.262,1.44218E-05,10.59231287,-3.475,-2.519,-3.18,1.539,1.185,0.888,O88783,F5,O88783_F5,O88783,F5,1,215,74,74,O88783,MOUSE,248366.9,34.5,14,14.1,1085.6,1085.6,,2183,Coagulation factor V,extracellular space|membrane|platelet alpha granule|extracellular vesicle|,blood coagulation|blood circulation|platelet activation|,copper ion binding|,74,215,52800000000,34.5%
E9PVD2,0.000145021,-0.915833333,49.06956273,4.143666667,1.23892E-05,10.83692123,-3.233,-2.564,-3.166,1.567,0.921,0.98,E9PVD2,Itih4,E9PVD2_Itih4,E9PVD2,Itih4,1,284,60,1,E9PVD2|A0A0R4J1N1|E9Q5L2,MOUSE,104757.7,63.4,15,15.1,914.88,24.1,,941,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|calcium ion binding|hyaluronic acid binding|,60,284,5.08E+11,63.4%
A6X935,0.000272426,-0.2754,38.92835848,3.721833333,0.000127986,8.673502847,-2.631,-2.386,,1.61,1.175,0.855,A6X935,Itih4,A6X935_Itih4,A6X935,Itih4,1,7,60,1,A6X935|A6X935-2,MOUSE,104828.7,63.4,15,15.2,914.19,23.41,,942,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|,serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|,1,7,2690000000,2.3%
Q9DBD0,0.000145021,-0.916,47.85912861,4.247333333,1.63714E-05,10.39195475,-3.602,-2.574,-2.943,1.54,1.179,0.904,Q9DBD0,1300017J02Rik,Q9DBD0_1300017J02Rik,Q9DBD0,Ica,1,302,57,57,Q9DBD0|D3YY36,MOUSE,78761.2,66.8,16,16.1,914.29,914.29,,700,Inhibitor of carbonic anhydrase,extracellular space|,negative regulation of catalytic activity|,enzyme inhibitor activity|iron ion binding|,57,302,7.23E+11,66.8%
P06728,0.000145021,-1.212,48.95253766,4.676666667,1.27276E-05,10.79316753,-3.912,-2.772,-3.967,1.179,1.257,0.943,P06728,Apoa4,P06728_Apoa4,P06728,Apoa4,1,535,51,51,P06728,MOUSE,45028.2,85.8,17,17.1,858.62,858.62,,395,Apolipoprotein A-IV,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|,innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|,copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|,51,535,9.38E+12,85.8%
P21614,0.0001846,-0.973,42.37083161,4.318,5.79318E-05,8.569922518,-4.091,-2.463,-2.842,1.529,1.14,0.889,P21614,Gc,P21614_Gc,P21614,Gc,1,228,47,47,P21614,MOUSE,55196.9,89.2,18,18.1,841.06,841.06,,476,Vitamin D-binding protein,extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|,female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|,actin binding|vitamin transporter activity|calcidiol binding|,47,228,3.81E+11,89.2%
Q5SWU9,0.014436601,0.123,19.04517348,2.205333333,0.012458985,3.33560583,-1.686,-0.518,-0.735,2.566,0.31,0.801,Q5SWU9,Acaca,Q5SWU9_Acaca,Q5SWU9,Acaca,1,110,65,55,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,30.1,19,19.1,823.39,688.64,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,65,110,6810000000,30.1%
E9Q4Z2,0.007304678,0.380166667,22.16337996,2.326333333,0.006076619,3.874052937,-1.051,-0.225,-1.073,2.716,0.602,1.312,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,7,17,7,E9Q4Z2,MOUSE,278141.4,7.9,19,19.2,196.21,61.46,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,7,7,114000000,3.3%
Q8K0E8,0.078395761,-0.116333333,11.42366606,2.645333333,0.072049902,2.12701557,0.909,-2.82,-2.406,0.733,3.2,-0.314,Q8K0E8,Fgb,Q8K0E8_Fgb,Q8K0E8,Fgb,1,200,51,51,Q8K0E8|F1MAV0|P02676,MOUSE,55436.4,79.2,20,20.1,823.22,823.22,,481,Fibrinogen beta chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|extracellular vesicle|,"cell-matrix adhesion|signal transduction|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|induction of bacterial agglutination|cellular protein complex assembly|cellular response to leptin stimulus|innate immune response|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|cellular response to interleukin-1|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","structural molecule activity|protein binding, bridging|chaperone binding|receptor binding|cell adhesion molecule binding|",51,200,1.73E+11,79.2%
Q80YQ1,0.00895176,-0.976333333,21.22218425,3.345333333,0.007547126,3.748151611,-0.572,-3.129,-4.246,0.792,0.86,0.437,Q80YQ1,Thbs1,Q80YQ1_Thbs1,Q80YQ1,Thbs1,1,193,56,56,Q80YQ1|P35441,MOUSE,133681.8,49.3,21,21.1,822.52,822.52,,1171,Thrombospondin-1,fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|,activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|,phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|,56,193,91700000000,49.3%
P32261,0.000165808,-0.771166667,43.43065704,4.240333333,4.53873E-05,8.898430935,-3.707,-2.36,-2.607,1.7,1.46,0.887,P32261,Serpinc1,P32261_Serpinc1,P32261,Serpinc1,1,327,54,54,P32261|A0A0A6YX49|A0A0A6YXS8,MOUSE,52516.1,67,22,22.1,814.04,814.04,,465,Antithrombin-III,extracellular space|extracellular exosome|blood microparticle|,"response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|",protease binding|serine-type endopeptidase inhibitor activity|heparin binding|,54,327,1.12E+12,67.0%
P19221,0.000187858,-1.064333333,42.14244781,4.544666667,6.10598E-05,8.500496536,-3.882,-2.309,-3.819,1.728,0.904,0.992,P19221,F2,P19221_F2,P19221,F2,1,283,48,48,P19221|H7BX99,MOUSE,71693.8,57.6,23,23.1,768.82,768.82,,618,Prothrombin,extracellular space|cytosol|extracellular matrix|extracellular exosome|blood microparticle|,positive regulation of protein phosphorylation|proteolysis|acute-phase response|cell surface receptor signaling pathway|positive regulation of cell proliferation|regulation of cell shape|response to wounding|regulation of gene expression|positive regulation of phosphatidylinositol 3-kinase signaling|response to inactivity|platelet activation|positive regulation of blood coagulation|positive regulation of cell growth|positive regulation of collagen biosynthetic process|fibrinolysis|negative regulation of proteolysis|negative regulation of astrocyte differentiation|positive regulation of release of sequestered calcium ion into cytosol|cytosolic calcium ion homeostasis|thrombin receptor signaling pathway|cellular response to mechanical stimulus|positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway|positive regulation of reactive oxygen species metabolic process|,serine-type endopeptidase activity|receptor binding|calcium ion binding|protein binding|peptidase activity|thrombospondin receptor activity|,48,283,7.11E+11,57.6%
