id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Amanda_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Amanda_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Amanda_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Amanda_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Amanda_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Amanda_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase.unique_peptides,Amanda_newDatabase.numSpectra,Amanda_newDatabase.totalIntensity,Amanda_newDatabase.pct_cov
Q921I1,0.477611329,-0.049916667,5.941971566,0.459833333,0.254567433,1.261904249,-0.9975,0.003,0.155,0.251,0.279,0.01,Q921I1,Trf,Q921I1_Trf,Q921I1,Tf,1,890,84,81,Q921I1|E9Q035|E9Q939|Q29443,MOUSE,78890.5,80.3,7,7.1,1538.39,1487.32,,697,Serotransferrin,extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|,"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|",protein binding|ferric iron binding|ferric iron transmembrane transporter activity|,84,890,1.4E+13,80.3%
Q2HJF0,0.940910696,0.4109,0.373973915,-0.053083333,0.917492681,-0.109046313,1.0245,-0.139,,0.797,0.431,-0.059,Q2HJF0,NotFound,Q2HJF0_NotFound,Q2HJF0,LOC525947,1,10,8,5,Q2HJF0,BOVIN,70893.5,4.8,7,7.2,83.43,32.36,,622,Serotransferrin-like,,,,5,10,5510000000,1.4%
P01029,0.745307288,0.05925,2.324124199,0.168166667,0.585581813,0.576002726,-0.3445,-0.131,0.401,0.196,-0.11,0.344,P01029,C4b,P01029_C4b,P01029,C4b,1,519,105,105,P01029|E1BH06|P01030|F1MVK1,MOUSE,194566.4,57.5,8,8.1,1513.92,1513.92,,1738,Complement C4-B,extracellular space|,"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|",endopeptidase inhibitor activity|,105,519,6.89E+11,57.5%
E9Q8I0,0.612149353,-0.044916667,3.967632024,0.333833333,0.401085348,0.904673461,-0.6265,-0.369,0.36,-0.15,-0.076,0.592,E9Q8I0,Cfh,E9Q8I0_Cfh,E9Q8I0,Cfh,1,456,89,72,E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8,MOUSE,145947.1,72.1,9,9.1,1469.82,1205.88,,1252,Complement factor H,extracellular exosome|blood microparticle|,regulation of complement activation|,complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|,89,456,1.34E+12,72.1%
E9Q8B5,0.456433733,-0.065416667,6.339493204,0.604166667,0.232300786,1.331106488,0.0665,0.085,-1.254,0.244,-0.152,0.618,E9Q8B5,Gm4788,E9Q8B5_Gm4788,E9Q8B5,Gm4788,1,11,49,4,E9Q8B5|E9Q8B6,MOUSE,102688.5,63.2,9,9.2,786.52,70.24,,879,Predicted gene 4788,,,,4,11,7540000000,6.8%
E9PUM5,0.437741736,0.0485,6.712902621,0.674,0.213161976,1.48198317,,-0.457,,0.157,-0.107,0.601,E9PUM5,NotFound,E9PUM5_NotFound,E9PUM5,Gm4788,1,1,46,1,E9PUM5,MOUSE,94467.4,63.9,9,9.3,733.15,16.87,,808,Predicted gene 4788,,,,1,1,6480000,2.5%
Q4LDF6,0.509872886,-0.1033,5.458741243,0.334916667,0.284528566,1.198439152,-0.4745,-0.134,,0.192,-0.108,0.008,Q4LDF6,Cfhr2,Q4LDF6_Cfhr2,Q4LDF6,Cfhr2,1,8,16,4,Q4LDF6|Q61405,MOUSE,39129.7,57.8,9,9.4,290.43,68.45,,332,Complement factor H-related 2,,,,4,8,561000000,14.1%
P20918,0.45009248,0.04925,6.439587654,0.6155,0.227008038,1.348406103,-0.7395,0.482,-0.518,1.01,0.1,-0.039,P20918,Plg,P20918_Plg,P20918,Plg,1,623,85,85,P20918,MOUSE,93544.9,83,10,10.1,1418.1,1418.1,,812,Plasminogen,extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|,fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|,85,623,4.03E+12,83.0%
E9PZD8,0.886819929,0.091083333,0.997432726,0.1165,0.79479793,0.272130797,-0.7605,0.048,0.811,0.211,0.248,-0.011,E9PZD8,Cp,E9PZD8_Cp,E9PZD8,Cp,1,543,75,1,E9PZD8|Q61147,MOUSE,125007.5,59,11,11.1,1370.51,17.49,,1086,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,75,543,1.76E+12,59.0%
G3X8Q5,0.745307288,0.14375,2.291356726,0.229,0.590016732,0.585001778,,-0.028,,0.226,0.405,-0.028,G3X8Q5,Cp,G3X8Q5_Cp,G3X8Q5,Cp,1,3,75,1,G3X8Q5|G3X9T8,MOUSE,124936.5,58.9,11,11.2,1364.63,11.61,,1085,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,1,3,58600000,1.0%
B8JJN0,0.697521707,0.014583333,3.052829623,0.2195,0.495127488,0.72614012,-0.4895,-0.095,0.299,0.43,-0.084,0.027,B8JJN0,NotFound,B8JJN0_NotFound,B8JJN0,Gm20547,1,372,86,61,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00,MOUSE,144605,52.4,12,12.1,1337.16,955.56,,1276,Predicted gene 20547,,proteolysis|,serine-type endopeptidase activity|,86,372,6.11E+11,52.4%
P21180,0.890329957,0.15625,0.878061794,-0.0605,0.816946884,-0.241868984,0.2575,0.022,0.28,0.422,-0.136,0.092,P21180,C2,P21180_C2,P21180,C2,1,29,35,10,P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,85995.1,45.9,12,12.2,512.78,131.18,,760,Complement C2,extracellular exosome|,"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|",serine-type endopeptidase activity|metal ion binding|,10,29,18200000000,15.2%
P07724,0.514652785,-0.11875,5.351898209,0.3255,0.291615215,1.15618471,-0.7225,-0.228,0.106,0.022,0.06,0.05,P07724,Alb,P07724_Alb,P07724,Alb,1,608,70,67,P07724,MOUSE,70745.2,91.4,13,13.1,1190.54,1140.76,,608,Serum albumin,extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|,retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|,DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|,70,608,5.85E+12,91.4%
P02769,0.2717339,0.498916667,11.36117972,-2.753166667,0.07309405,-2.177541411,0.6235,4.892,0.111,-0.853,-0.969,-0.811,P02769,NotFound,P02769_NotFound,P02769,ALB,1,21,10,7,P02769,BOVIN,71289,15.6,13,13.2,130.24,80.46,,607,Serum albumin,,,,7,21,4600000000,10.2%
O88783,0.509872886,0.030583333,5.440411138,0.272166667,0.285732003,1.171860508,-0.2735,0.006,-0.049,0.36,0.172,-0.032,O88783,F5,O88783_F5,O88783,F5,1,215,74,74,O88783,MOUSE,248366.9,34.5,14,14.1,1085.6,1085.6,,2183,Coagulation factor V,extracellular space|membrane|platelet alpha granule|extracellular vesicle|,blood coagulation|blood circulation|platelet activation|,copper ion binding|,74,215,52800000000,34.5%
E9PVD2,0.724389671,0.04175,2.738912846,0.153833333,0.532241477,0.662583076,-0.0315,-0.039,-0.035,0.388,-0.092,0.06,E9PVD2,Itih4,E9PVD2_Itih4,E9PVD2,Itih4,1,284,60,1,E9PVD2|A0A0R4J1N1|E9Q5L2,MOUSE,104757.7,63.4,15,15.1,914.88,24.1,,941,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|calcium ion binding|hyaluronic acid binding|,60,284,5.08E+11,63.4%
A6X935,0.745307288,0.2475,2.286123529,-0.17875,0.590728123,-0.574212554,0.5705,0.139,,0.431,0.162,-0.065,A6X935,Itih4,A6X935_Itih4,A6X935,Itih4,1,7,60,1,A6X935|A6X935-2,MOUSE,104828.7,63.4,15,15.2,914.19,23.41,,942,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|,serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|,1,7,2690000000,2.3%
Q9DBD0,0.586005351,0.041583333,4.420579416,0.2575,0.361361648,0.987984697,-0.4005,-0.049,0.188,0.361,0.166,-0.016,Q9DBD0,1300017J02Rik,Q9DBD0_1300017J02Rik,Q9DBD0,Ica,1,302,57,57,Q9DBD0|D3YY36,MOUSE,78761.2,66.8,16,16.1,914.29,914.29,,700,Inhibitor of carbonic anhydrase,extracellular space|,negative regulation of catalytic activity|,enzyme inhibitor activity|iron ion binding|,57,302,7.23E+11,66.8%
P06728,0.203138841,-0.254416667,14.33336721,0.686833333,0.036869163,2.674182439,-0.7105,-0.247,-0.836,0,0.244,0.023,P06728,Apoa4,P06728_Apoa4,P06728,Apoa4,1,535,51,51,P06728,MOUSE,45028.2,85.8,17,17.1,858.62,858.62,,395,Apolipoprotein A-IV,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|,innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|,copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|,51,535,9.38E+12,85.8%
P21614,0.617264385,-0.015416667,3.891498043,0.328166667,0.408178566,0.890253252,-0.8895,0.062,0.289,0.35,0.127,-0.031,P21614,Gc,P21614_Gc,P21614,Gc,1,228,47,47,P21614,MOUSE,55196.9,89.2,18,18.1,841.06,841.06,,476,Vitamin D-binding protein,extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|,female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|,actin binding|vitamin transporter activity|calcidiol binding|,47,228,3.81E+11,89.2%
Q5SWU9,0.174726314,1.080583333,16.28763603,-1.7845,0.023509121,-3.033100113,1.5155,2.007,2.396,1.387,-0.703,-0.119,Q5SWU9,Acaca,Q5SWU9_Acaca,Q5SWU9,Acaca,1,110,65,55,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,30.1,19,19.1,823.39,688.64,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,65,110,6810000000,30.1%
E9Q4Z2,0.153374531,1.33775,17.56216863,-1.6635,0.017530049,-3.266964515,2.1505,2.3,2.058,1.537,-0.411,0.392,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,7,17,7,E9Q4Z2,MOUSE,278141.4,7.9,19,19.2,196.21,61.46,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,7,7,114000000,3.3%
Q8K0E8,0.597174093,0.84125,4.254905829,-1.3445,0.375413095,-0.958559853,4.1105,-0.295,0.725,-0.446,2.187,-1.234,Q8K0E8,Fgb,Q8K0E8_Fgb,Q8K0E8,Fgb,1,200,51,51,Q8K0E8|F1MAV0|P02676,MOUSE,55436.4,79.2,20,20.1,823.22,823.22,,481,Fibrinogen beta chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|extracellular vesicle|,"cell-matrix adhesion|signal transduction|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|induction of bacterial agglutination|cellular protein complex assembly|cellular response to leptin stimulus|innate immune response|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|cellular response to interleukin-1|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","structural molecule activity|protein binding, bridging|chaperone binding|receptor binding|cell adhesion molecule binding|",51,200,1.73E+11,79.2%
Q80YQ1,0.728945731,-0.01875,2.683094121,-0.6445,0.539126386,-0.651734124,2.6295,-0.604,-1.115,-0.387,-0.153,-0.483,Q80YQ1,Thbs1,Q80YQ1_Thbs1,Q80YQ1,Thbs1,1,193,56,56,Q80YQ1|P35441,MOUSE,133681.8,49.3,21,21.1,822.52,822.52,,1171,Thrombospondin-1,fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|,activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|,phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|,56,193,91700000000,49.3%
P32261,0.699470325,0.186416667,3.015001985,0.2505,0.499458952,0.718959352,-0.5055,0.165,0.524,0.521,0.447,-0.033,P32261,Serpinc1,P32261_Serpinc1,P32261,Serpinc1,1,327,54,54,P32261|A0A0A6YX49|A0A0A6YXS8,MOUSE,52516.1,67,22,22.1,814.04,814.04,,465,Antithrombin-III,extracellular space|extracellular exosome|blood microparticle|,"response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|",protease binding|serine-type endopeptidase inhibitor activity|heparin binding|,54,327,1.12E+12,67.0%
P19221,0.401922334,-0.10675,7.687452886,0.554833333,0.170315711,1.560626727,-0.6805,0.216,-0.688,0.549,-0.109,0.072,P19221,F2,P19221_F2,P19221,F2,1,283,48,48,P19221|H7BX99,MOUSE,71693.8,57.6,23,23.1,768.82,768.82,,618,Prothrombin,extracellular space|cytosol|extracellular matrix|extracellular exosome|blood microparticle|,positive regulation of protein phosphorylation|proteolysis|acute-phase response|cell surface receptor signaling pathway|positive regulation of cell proliferation|regulation of cell shape|response to wounding|regulation of gene expression|positive regulation of phosphatidylinositol 3-kinase signaling|response to inactivity|platelet activation|positive regulation of blood coagulation|positive regulation of cell growth|positive regulation of collagen biosynthetic process|fibrinolysis|negative regulation of proteolysis|negative regulation of astrocyte differentiation|positive regulation of release of sequestered calcium ion into cytosol|cytosolic calcium ion homeostasis|thrombin receptor signaling pathway|cellular response to mechanical stimulus|positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway|positive regulation of reactive oxygen species metabolic process|,serine-type endopeptidase activity|receptor binding|calcium ion binding|protein binding|peptidase activity|thrombospondin receptor activity|,48,283,7.11E+11,57.6%
