PlexesSearchedTogether_correct, 126:127, NoBirA_6Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 126:128, NoBirA_6Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 126:129, NoBirA_6Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 126:130, NoBirA_6Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 126:131, NoBirA_6Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 127:126, BirA/Cre_3Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 127:128, BirA/Cre_3Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 127:129, BirA/Cre_3Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 127:130, BirA/Cre_3Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 127:131, BirA/Cre_3Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 128:126, NoBirA_4Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 128:127, NoBirA_4Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 128:129, NoBirA_4Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 128:130, NoBirA_4Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 128:131, NoBirA_4Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 129:126, NoBirA_5Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 129:127, NoBirA_5Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 129:128, NoBirA_5Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 129:130, NoBirA_5Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 129:131, NoBirA_5Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 130:126, BirA/Cre_2Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 130:127, BirA/Cre_2Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 130:128, BirA/Cre_2Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 130:129, BirA/Cre_2Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 130:131, BirA/Cre_2Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 131:126, BirA/Cre_1Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 131:127, BirA/Cre_1Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 131:128, BirA/Cre_1Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 131:129, BirA/Cre_1Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 131:130, BirA/Cre_1Combo:BirA/Cre_2Combo	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	PlexesSearchedTogether_correct unique_peptides	PlexesSearchedTogether_correct numSpectra	PlexesSearchedTogether_correct totalIntensity	PlexesSearchedTogether_correct pct_cov
-5.238	0.673	0.996	-4.729	-5.052	5.238	4.85	5.346	0.493	0.199	-0.673	-4.85	-0.003	-4.456	-4.599	-1.001	-5.356	0.003	-4.88	-5.081	4.729	-0.493	4.456	4.878	-0.326	5.052	-0.199	4.599	5.077	0.326	P01029	P01029	C4b	1	1089	116	116	P01029|E1BH06|F1MVK1|P01030	MOUSE	194566.4	62.3	7	7.1	1704.26	1704.26		1738	Complement C4-B	extracellular space|	inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|	endopeptidase inhibitor activity|	116	1089	1.63e+12	62.3%
-5.904	0.101	0.626	-5.526	-5.283	5.904	5.658	6.187	0.17	0.569	-0.101	-5.658	-0.085	-5.383	-5.123	-0.626	-6.187	0.085	-5.829	-5.532	5.526	-0.17	5.383	5.829	0.377	5.283	-0.569	5.123	5.532	-0.377	Q921I1	Q921I1	Tf	1	1784	90	87	Q921I1|E9Q035|Q29443|E9Q939	MOUSE	78890.5	82.2	8	8.1	1669.13	1617.66		697	Serotransferrin	extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|	iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|	protein binding|ferric iron binding|ferric iron transmembrane transporter activity|	90	1784	2.9e+13	82.2%
-4.95	0.152	1.18	-4.263	-3.697	4.95	7.126	5.905	0.514	0.977	-0.152	-7.126	-0.56	-6.374	-6.17	-1.18	-5.905	0.56	-5.462	-5.295	4.263	-0.514	6.374	5.462	0.453	3.697	-0.977	6.17	5.295	-0.453	Q2HJF0	Q2HJF0	LOC525947	1	23	8	5	Q2HJF0	BOVIN	70893.5	4.8	8	8.2	85.18	33.71		622	Serotransferrin-like				5	23	1.89e+10	1.4%
-5.285	0.466	1.244	-5.039	-5.501	5.285	5.576	6.092	0.176	-0.305	-0.466	-5.576	0.358	-5.373	-5.847	-1.244	-6.092	-0.358	-5.766	-6.297	5.039	-0.176	5.373	5.766	-0.518	5.501	0.305	5.847	6.297	0.518	E9Q8I0	E9Q8I0	Cfh	1	939	95	77	E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8	MOUSE	145947.1	76.1	9	9.1	1615.22	1330.82		1252	Complement factor H	extracellular exosome|blood microparticle|	regulation of complement activation|	complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|	95	939	3.14e+12	76.1%
-4.686	1.741	0.673	-4.313	-5.009	4.686	6.049	6.177	0.607	0	-1.741	-6.049	-1.088	-5.379	-5.894	-0.673	-6.177	1.088	-5.658	-6.287	4.313	-0.607	5.379	5.658	-0.587	5.009	0	5.894	6.287	0.587	E9Q8B5	E9Q8B5	Gm4788	1	23	50	4	E9Q8B5|E9Q8B6	MOUSE	102688.5	63.9	9	9.2	834.24	71.86		879	Predicted gene 4788				4	23	2.02e+10	6.8%
-4.577	1.817		-3.962	-4.482	4.577	6.394	6.513	0.585	-0.021	-1.817	-6.394		-5.779	-6.299		-6.513		-5.959	-6.648	3.962	-0.585	5.779	5.959	-0.605	4.482	0.021	6.299	6.648	0.605	E9PUM5	E9PUM5	Gm4788	1	2	46	1	E9PUM5	MOUSE	94467.4	63.9	9	9.3	770.89	16.87		808	Predicted gene 4788				1	2	34300000	2.5%
-5.484	0.202	2.178	-4.976	-5.149	5.484	4.757	6.985	0.454	0.488	-0.202	-4.757	1.597	-4.162	-4.354	-2.178	-6.985	-1.597	-6.519	-6.336	4.976	-0.454	4.162	6.519	0.122	5.149	-0.488	4.354	6.336	-0.122	Q4LDF6	Q4LDF6	Cfhr2	1	19	18	6	Q4LDF6|Q61405	MOUSE	39129.7	69.5	9	9.4	325.37	99.08		332	Complement factor H-related 2				6	19	1.33e+09	25.9%
-6.299	-0.439	0.686	-5.243	-5.1	6.299	5.314	6.297	1.083	1.349	0.439	-5.314	0.263	-4.385	-4.065	-0.686	-6.297	-0.263	-5.259	-5.105	5.243	-1.083	4.385	5.259	0.26	5.1	-1.349	4.065	5.105	-0.26	P20918	P20918	Plg	1	1250	87	87	P20918	MOUSE	93544.9	86.3	10	10.1	1482.37	1482.37		812	Plasminogen	extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|	blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|	fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|	87	1250	8.92e+12	86.3%
-5.718	-0.24	0.65	-5.461	-5.229	5.718	5.178	5.914	0.172	0.517	0.24	-5.178	0.428	-5.028	-4.715	-0.65	-5.914	-0.428	-5.607	-5.306	5.461	-0.172	5.028	5.607	0.332	5.229	-0.517	4.715	5.306	-0.332	E9PZD8	E9PZD8	Cp	1	1067	79	1	E9PZD8|Q61147	MOUSE	125007.5	59.3	11	11.1	1447.9	17.49		1086	Ceruloplasmin	extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|	copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|	ferroxidase activity|copper ion binding|chaperone binding|	79	1067	3.69e+12	59.3%
-4.396	0.028	2.023	-4.293	-3.858	4.396	4.91	6.419	0.079	0.547	-0.028	-4.91	1.995	-4.89	-4.324	-2.023	-6.419	-1.995	-6.316	-5.881	4.293	-0.079	4.89	6.316	0.539	3.858	-0.547	4.324	5.881	-0.539	G3X8Q5	G3X8Q5	Cp	1	9	79	1	G3X8Q5|G3X9T8	MOUSE	124936.5	59.3	11	11.2	1443.77	13.36		1085	Ceruloplasmin	extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|	copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|	ferroxidase activity|copper ion binding|chaperone binding|	1	9	1.65e+09	1.0%
-5.645	0.345	0.869	-4.977	-5.043	5.645	5.537	6.149	0.708	0.632	-0.345	-5.537	-0.156	-4.939	-4.889	-0.869	-6.149	0.156	-5.31	-5.452	4.977	-0.708	4.939	5.31	-0.044	5.043	-0.632	4.889	5.452	0.044	B8JJN0	B8JJN0	Gm20547	1	769	90	64	B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|Q9WTX6	MOUSE	144605	52.5	12	12.1	1423.12	1012.9		1276	Predicted gene 20547		proteolysis|	serine-type endopeptidase activity|	90	769	1.39e+12	52.5%
-5.295	-0.414	1.155	-4.393	-4.362	5.295	4.545	5.798	0.785	0.578	0.414	-4.545	-0.17	-3.708	-4.097	-1.155	-5.798	0.17	-5.041	-5.272	4.393	-0.785	3.708	5.041	-0.229	4.362	-0.578	4.097	5.272	0.229	P21180	P21180	C2	1	54	37	11	P21180|P21180-2|B8JJN2|B8JJM9	MOUSE	85995.1	47.3	12	12.2	553.32	143.1		760	Complement C2	extracellular exosome|	proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|	serine-type endopeptidase activity|metal ion binding|	11	54	4.26e+10	16.7%
-5.31	0.193	0.731	-4.962	-5.049	5.31	4.939	5.519	0.179	0.228	-0.193	-4.939	-0.063	-4.763	-4.741	-0.731	-5.519	0.063	-5.086	-5.339	4.962	-0.179	4.763	5.086	0.001	5.049	-0.228	4.741	5.339	-0.001	P07724	P07724	Alb	1	1273	73	70	P07724	MOUSE	70745.2	92.5	13	13.1	1292.24	1238.24		608	Serum albumin	extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|	retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|	DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|	73	1273	1.6e+13	92.5%
-3.232	-4.343	0.616	-3.186	-3.271	3.232	-1.709	5.649	0.341	0.18	4.343	1.709	0.353	2.014	2.011	-0.616	-5.649	-0.353	-4.704	-4.95	3.186	-0.341	-2.014	4.704	-0.075	3.271	-0.18	-2.011	4.95	0.075	P02769	P02769	ALB	1	31	12	9	P02769	BOVIN	71289	20.4	13	13.2	149.87	95.87		607	Serum albumin				9	31	5.93e+09	14.9%
-5.35	0.181	0.511	-4.971	-4.661	5.35	4.886	5.389	0.402	0.664	-0.181	-4.886	0.085	-4.566	-4.249	-0.511	-5.389	-0.085	-4.898	-4.897	4.971	-0.402	4.566	4.898	0.275	4.661	-0.664	4.249	4.897	-0.275	O88783	O88783	F5	1	434	83	83	O88783	MOUSE	248366.9	36	14	14.1	1234.51	1234.51		2183	Coagulation factor V	extracellular space|membrane|platelet alpha granule|extracellular vesicle|	blood coagulation|blood circulation|platelet activation|	copper ion binding|	83	434	1.24e+11	36.0%
-4.798	-0.148	-1.592	-2.242	-2.878	4.798	4.418	3.179	2.381	1.852	0.148	-4.418	-1.481	-2.192	-2.813	1.592	-3.179	1.481	-0.777	-1.382	2.242	-2.381	2.192	0.777	-0.605	2.878	-1.852	2.813	1.382	0.605	Q5SWU9	Q5SWU9	Acaca	1	269	83	71	Q5SWU9|Q5SWU9-2	MOUSE	266849.4	35	15	15.1	1069.38	899.93		2345	Acetyl-CoA carboxylase 1	nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|	tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|	acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|	83	269	3.42e+10	35.0%
-4.932	0.898	-0.909	-2.845	-3.489	4.932	5.801	3.645	2.555	1.663	-0.898	-5.801	-1.699	-4.183	-4.387	0.909	-3.645	1.699	-0.779	-1.497	2.845	-2.555	4.183	0.779	-0.71	3.489	-1.663	4.387	1.497	0.71	E9Q4Z2	E9Q4Z2	Acacb	1	14	21	9	E9Q4Z2	MOUSE	278141.4	9.8	15	15.2	256.63	87.18		2448	Acetyl-CoA carboxylase 2	nucleus|mitochondrion|endomembrane system|membrane|	acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|	acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|	9	14	1.71e+08	4.2%
-2.046	3.215	3.773	-1.59	-0.752	2.046	5.144	5.333	0.426	1.204	-3.215	-5.144	-0.24	-4.834	-4.026	-3.773	-5.333	0.24	-5.179	-4.392	1.59	-0.426	4.834	5.179	0.793	0.752	-1.204	4.026	4.392	-0.793	Q80YQ1	Q80YQ1	Thbs1	1	508	68	68	Q80YQ1|P35441|Q03350	MOUSE	133681.8	57.6	16	16.1	1068.46	1068.46		1171	Thrombospondin-1	fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|	activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|	phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|	69	508	5.41e+11	57.6%
