"Ilia_newDatabase, 126:127, NoBirA_6:BirA/Cre_3"	"Ilia_newDatabase, 126:128, NoBirA_6:NoBirA_4"	"Ilia_newDatabase, 126:129, NoBirA_6:NoBirA_5"	"Ilia_newDatabase, 126:130, NoBirA_6:BirA/Cre_2"	"Ilia_newDatabase, 126:131, NoBirA_6:BirA/Cre_1"	"Ilia_newDatabase, 127:126, BirA/Cre_3:NoBirA_6"	"Ilia_newDatabase, 127:128, BirA/Cre_3:NoBirA_4"	"Ilia_newDatabase, 127:129, BirA/Cre_3:NoBirA_5"	"Ilia_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2"	"Ilia_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1"	"Ilia_newDatabase, 128:126, NoBirA_4:NoBirA_6"	"Ilia_newDatabase, 128:127, NoBirA_4:BirA/Cre_3"	"Ilia_newDatabase, 128:129, NoBirA_4:NoBirA_5"	"Ilia_newDatabase, 128:130, NoBirA_4:BirA/Cre_2"	"Ilia_newDatabase, 128:131, NoBirA_4:BirA/Cre_1"	"Ilia_newDatabase, 129:126, NoBirA_5:NoBirA_6"	"Ilia_newDatabase, 129:127, NoBirA_5:BirA/Cre_3"	"Ilia_newDatabase, 129:128, NoBirA_5:NoBirA_4"	"Ilia_newDatabase, 129:130, NoBirA_5:BirA/Cre_2"	"Ilia_newDatabase, 129:131, NoBirA_5:BirA/Cre_1"	"Ilia_newDatabase, 130:126, BirA/Cre_2:NoBirA_6"	"Ilia_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3"	"Ilia_newDatabase, 130:128, BirA/Cre_2:NoBirA_4"	"Ilia_newDatabase, 130:129, BirA/Cre_2:NoBirA_5"	"Ilia_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1"	"Ilia_newDatabase, 131:126, BirA/Cre_1:NoBirA_6"	"Ilia_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3"	"Ilia_newDatabase, 131:128, BirA/Cre_1:NoBirA_4"	"Ilia_newDatabase, 131:129, BirA/Cre_1:NoBirA_5"	"Ilia_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2"	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Ilia_newDatabase unique_peptides	Ilia_newDatabase numSpectra	Ilia_newDatabase totalIntensity	Ilia_newDatabase pct_cov
-5.088	0.586	1.026	-4.839	-4.973	5.088	4.714	5.398	0.394	0.191	-0.586	-4.714	0.007	-4.454	-4.523	-1.051	-5.399	-0.007	-5.138	-5.142	4.839	-0.394	4.454	5.076	-0.217	4.973	-0.191	4.523	5.103	0.217	P01029	P01029	C4b	1	570	111	111	P01029|E1BH06|F1MVK1|P01030	MOUSE	194566.4	60.1	7	7.1	1604.77	1604.77		1738	Complement C4-B	extracellular space|	"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|"	endopeptidase inhibitor activity|	111	570	9.43E+11	60.10%
-5.909	-0.038	0.549	-5.631	-5.235	5.909	5.472	6.121	0.108	0.597	0.038	-5.472	0.133	-5.309	-4.889	-0.549	-6.121	-0.133	-5.744	-5.387	5.631	-0.108	5.309	5.744	0.473	5.235	-0.597	4.889	5.387	-0.473	Q921I1	Q921I1	Tf	1	894	86	83	Q921I1|E9Q035|Q29443|E9Q939	MOUSE	78890.5	82.2	8	8.1	1550.92	1502.05		697	Serotransferrin	extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|	"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|"	protein binding|ferric iron binding|ferric iron transmembrane transporter activity|	86	894	1.50E+13	82.20%
-5.22	1.169	1.18	-4.794	-4.319	5.22	7.126	5.783	0.307	0.851	-1.169	-7.126	-1.006	-6.374	-6.057	-1.18	-5.783	1.006	-5.224	-5.208	4.794	-0.307	6.374	5.224	0.476	4.319	-0.851	6.057	5.208	-0.476	Q2HJF0	Q2HJF0	LOC525947	1	13	7	4	Q2HJF0	BOVIN	70893.5	4.8	8	8.2	75.58	26.71		622	Serotransferrin-like				4	13	1.34E+10	1.40%
-5.322	0.466	1.337	-5.137	-5.499	5.322	5.589	6.089	0.106	-0.252	-0.466	-5.589	0.499	-5.341	-5.625	-1.337	-6.089	-0.499	-5.847	-6.131	5.137	-0.106	5.341	5.847	-0.359	5.499	0.252	5.625	6.131	0.359	E9Q8I0	E9Q8I0	Cfh	1	483	91	73	E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8	MOUSE	145947.1	74.7	9	9.1	1540.08	1270.3		1252	Complement factor H	extracellular exosome|blood microparticle|	regulation of complement activation|	complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|	91	483	1.80E+12	74.70%
-4.801	1.879	0.673	-4.328	-4.826	4.801	6.356	6.95	0.592	-0.032	-1.879	-6.356	-0.235	-5.831	-6.286	-0.673	-6.95	0.235	-6.187	-6.871	4.328	-0.592	5.831	6.187	-0.554	4.826	0.032	6.286	6.871	0.554	E9Q8B5	E9Q8B5	Gm4788	1	12	49	4	E9Q8B5|E9Q8B6	MOUSE	102688.5	61.7	9	9.2	789.77	69.54		879	Predicted gene 4788				4	12	1.26E+10	6.80%
-4.577	1.817		-3.962	-4.482	4.577	6.394		0.615	0.094	-1.817	-6.394		-5.779	-6.299						3.962	-0.615	5.779		-0.521	4.482	-0.094	6.299		0.521	E9PUM5	E9PUM5	Gm4788	1	1	45	1	E9PUM5	MOUSE	94467.4	61.6	9	9.3	727.88	16.01		808	Predicted gene 4788				1	1	27800000	2.50%
-5.798	0.202	1.187	-5.333	-5.149	5.798	5.291	6.646	0.336	0.65	-0.202	-5.291	1.597	-4.84	-4.951	-1.187	-6.646	-1.597	-6.083	-5.98	5.333	-0.336	4.84	6.083	0.184	5.149	-0.65	4.951	5.98	-0.184	Q4LDF6	Q4LDF6	Cfhr2	1	11	17	5	Q4LDF6|Q61405	MOUSE	39129.7	64.7	9	9.4	286.71	74.34		332	Complement factor H-related 2				5	11	7.74E+08	21.00%
-6.393	-0.517	0.627	-5.376	-5.191	6.393	5.229	6.24	0.992	1.334	0.517	-5.229	0.311	-4.42	-4.023	-0.627	-6.24	-0.311	-5.317	-5.047	5.376	-0.992	4.42	5.317	0.323	5.191	-1.334	4.023	5.047	-0.323	P20918	P20918	Plg	1	627	83	83	P20918	MOUSE	93544.9	85.2	10	10.1	1397.85	1397.85		812	Plasminogen	extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|	blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|	fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|	83	627	4.89E+12	85.20%
-5.795	-0.231	0.677	-5.63	-5.369	5.795	5.237	6.091	0.09	0.528	0.231	-5.237	0.665	-5.058	-4.709	-0.677	-6.091	-0.665	-5.857	-5.37	5.63	-0.09	5.058	5.857	0.407	5.369	-0.528	4.709	5.37	-0.407	E9PZD8	E9PZD8	Cp	1	524	76	1	E9PZD8|Q61147	MOUSE	125007.5	59	11	11.1	1354.8	15.24		1086	Ceruloplasmin	extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|	copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|	ferroxidase activity|copper ion binding|chaperone binding|	76	524	1.93E+12	59.00%
-4.396	0.028	2.023	-4.293	-3.858	4.396	4.582	6.419	-0.103	0.515	-0.028	-4.582	1.995	-4.484	-3.891	-2.023	-6.419	-1.995	-6.316	-5.881	4.293	0.103	4.484	6.316	0.539	3.858	-0.515	3.891	5.881	-0.539	G3X8Q5	G3X8Q5	Cp	1	6	76	1	G3X8Q5|G3X9T8	MOUSE	124936.5	58.9	11	11.2	1352.92	13.36		1085	Ceruloplasmin	extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|	copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|	ferroxidase activity|copper ion binding|chaperone binding|	1	6	1.59E+09	1.00%
-5.663	0.476	0.767	-5.117	-5.056	5.663	5.519	6.077	0.67	0.623	-0.476	-5.519	-0.156	-5.009	-4.839	-0.767	-6.077	0.156	-5.466	-5.468	5.117	-0.67	5.009	5.466	0.003	5.056	-0.623	4.839	5.468	-0.003	B8JJN0	B8JJN0	Gm20547	1	397	87	62	B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|Q9WTX6	MOUSE	144605	52.1	12	12.1	1322.14	935.17		1276	Predicted gene 20547		proteolysis|	serine-type endopeptidase activity|	87	397	7.83E+11	52.10%
-5.6	-1.031	0.755	-4.739	-4.718	5.6	4.565	6.441	0.757	0.6	1.031	-4.565	-1.199	-3.903	-4.31	-0.755	-6.441	1.199	-5.613	-5.916	4.739	-0.757	3.903	5.613	-0.229	4.718	-0.6	4.31	5.916	0.229	P21180	P21180	C2	1	25	35	10	P21180|P21180-2|B8JJN2|B8JJM9	MOUSE	85995.1	46.1	12	12.2	508.49	121.52		760	Complement C2	extracellular exosome|	"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|"	serine-type endopeptidase activity|metal ion binding|	10	25	2.45E+10	15.60%
-5.196	0.226	0.905	-4.939	-4.998	5.196	4.887	5.611	0.134	0.165	-0.226	-4.887	0.008	-4.748	-4.668	-0.905	-5.611	-0.008	-5.289	-5.519	4.939	-0.134	4.748	5.289	-0.04	4.998	-0.165	4.668	5.519	0.04	P07724	P07724	Alb	1	665	71	69	P07724	MOUSE	70745.2	87.5	13	13.1	1232.45	1189.55		608	Serum albumin	extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|	retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|	DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|	71	665	1.02E+13	87.50%
-4.528	0.531	0.624	-3.343	-3.313	4.528	5.483	5.649	1.433	1.07	-0.531	-5.483	0.11	-3.961	-3.943	-0.624	-5.649	-0.11	-4.501	-4.483	3.343	-1.433	3.961	4.501	-0.241	3.313	-1.07	3.943	4.483	0.241	P02769	P02769	ALB	1	10	8	6	P02769	BOVIN	71289	14.9	13	13.2	96.66	53.76		607	Serum albumin				6	10	1.33E+09	10.50%
-5.282	0.157	0.562	-4.983	-4.661	5.282	4.681	5.564	0.32	0.622	-0.157	-4.681	0.151	-4.45	-4.096	-0.562	-5.564	-0.151	-5.114	-4.897	4.983	-0.32	4.45	5.114	0.339	4.661	-0.622	4.096	4.897	-0.339	O88783	O88783	F5	1	219	78	78	O88783	MOUSE	248366.9	35.3	14	14.1	1111.77	1111.77		2183	Coagulation factor V	extracellular space|membrane|platelet alpha granule|extracellular vesicle|	blood coagulation|blood circulation|platelet activation|	copper ion binding|	78	219	7.15E+10	35.30%
-2.314	2.615	4.243	-1.658	-0.538	2.314	5.186	6.342	0.545	1.762	-2.615	-5.186	0.247	-4.676	-3.535	-4.243	-6.342	-0.247	-5.756	-4.707	1.658	-0.545	4.676	5.756	1.203	0.538	-1.762	3.535	4.707	-1.203	Q80YQ1	Q80YQ1	Thbs1	1	315	65	65	Q80YQ1|P35441|Q03350	MOUSE	133681.8	53.1	15	15.1	995.93	995.93		1171	Thrombospondin-1	fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|	activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|	phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|	66	315	4.49E+11	53.10%
-5.015	-0.093	-1.541	-2.414	-3.082	5.015	4.639	3.316	2.312	1.801	0.093	-4.639	-1.531	-2.104	-2.991	1.541	-3.316	1.531	-1.046	-1.548	2.414	-2.312	2.104	1.046	-0.618	3.082	-1.801	2.991	1.548	0.618	Q5SWU9	Q5SWU9	Acaca	1	159	75	63	Q5SWU9|Q5SWU9-2	MOUSE	266849.4	32.9	16	16.1	928.09	775.79		2345	Acetyl-CoA carboxylase 1	nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|	tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|	acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|	75	159	2.74E+10	32.90%
-5.821	2.338	-2.043	-2.922	-3.658	5.821	7.65	3.474	2.446	1.83	-2.338	-7.65	-4.203	-4.518	-5.456	2.043	-3.474	4.203	-0.879	-1.581	2.922	-2.446	4.518	0.879	-0.616	3.658	-1.83	5.456	1.581	0.616	E9Q4Z2	E9Q4Z2	Acacb	1	7	18	6	E9Q4Z2	MOUSE	278141.4	8.4	16	16.2	214.71	62.41		2448	Acetyl-CoA carboxylase 2	nucleus|mitochondrion|endomembrane system|membrane|	acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|	acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|	6	7	56400000	2.80%
-5.595	-0.37	0.623	-5.342	-5.075	5.595	4.955	5.67	0.292	0.647	0.37	-4.955	0.434	-4.615	-4.302	-0.623	-5.67	-0.434	-5.366	-5.051	5.342	-0.292	4.615	5.366	0.359	5.075	-0.647	4.302	5.051	-0.359	Q9DBD0	Q9DBD0	Ica	1	300	58	58	Q9DBD0|D3YY36	MOUSE	78761.2	66.7	17	17.1	909.6	909.6		700	Inhibitor of carbonic anhydrase	extracellular space|	negative regulation of catalytic activity|	enzyme inhibitor activity|iron ion binding|	58	300	6.58E+11	66.70%
-5.262	0.263	1.323	-4.688	-4.69	5.262	5.146	6.555	0.506	0.51	-0.263	-5.146	0.503	-4.748	-4.756	-1.323	-6.555	-0.503	-5.751	-5.852	4.688	-0.506	4.748	5.751	0.036	4.69	-0.51	4.756	5.852	-0.036	A6X935	A6X935	Itih4	1	258	55	1	A6X935|A6X935-2|E9Q5L2	MOUSE	104828.7	63.8	18	18.1	891.16	24.1		942	"Inter alpha-trypsin inhibitor, heavy chain 4"	cytoplasm|plasma membrane|extracellular exosome|blood microparticle|	acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|	serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|	55	258	5.43E+11	63.80%
