id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Ilia_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Ilia_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Ilia_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Ilia_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Ilia_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Ilia_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Ilia_newDatabase.unique_peptides,Ilia_newDatabase.numSpectra,Ilia_newDatabase.totalIntensity,Ilia_newDatabase.pct_cov
P01029,0.964951795,0.01275,0.253172927,-0.0265,0.943371404,-0.073961548,-0.323,-0.3325,0.7335,0.083,-0.196,0.1115,P01029,C4b,P01029_C4b,P01029,C4b,1,570,111,111,P01029|E1BH06|F1MVK1|P01030,MOUSE,194566.4,60.1,7,7.1,1604.77,1604.77,,1738,Complement C4-B,extracellular space|,"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|",endopeptidase inhibitor activity|,111,570,9.43E+11,60.1%
Q921I1,0.279130421,-0.10875,11.60435464,0.663166667,0.069113762,2.195605284,-0.837,0.0265,-0.5105,0.349,0.332,-0.0125,Q921I1,Trf,Q921I1_Trf,Q921I1,Tf,1,894,86,83,Q921I1|E9Q035|Q29443|E9Q939,MOUSE,78890.5,82.2,8,8.1,1550.92,1502.05,,697,Serotransferrin,extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|,"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|",protein binding|ferric iron binding|ferric iron transmembrane transporter activity|,86,894,1.5E+13,82.2%
Q2HJF0,0.468261811,-0.51075,6.76116856,1.485166667,0.210806086,1.399676908,0.125,-0.0915,-3.7935,0.504,0.224,-0.0325,Q2HJF0,NotFound,Q2HJF0_NotFound,Q2HJF0,LOC525947,1,13,7,4,Q2HJF0,BOVIN,70893.5,4.8,8,8.2,75.58,26.71,,622,Serotransferrin-like,,,,4,13,13400000000,1.4%
E9Q8I0,0.519628152,-0.14625,5.616021965,0.360166667,0.274408654,1.198887462,-0.606,-0.4655,0.0925,-0.142,-0.138,0.3815,E9Q8I0,Cfh,E9Q8I0_Cfh,E9Q8I0,Cfh,1,483,91,73,E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8,MOUSE,145947.1,74.7,9,9.1,1540.08,1270.3,,1252,Complement factor H,extracellular exosome|blood microparticle|,regulation of complement activation|,complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|,91,483,1.8E+12,74.7%
E9Q8B5,0.675762207,0.062,3.262989965,0.257083333,0.471738154,0.775708214,0.03,-0.2145,,0.253,-0.239,0.4805,E9Q8B5,Gm4788,E9Q8B5_Gm4788,E9Q8B5,Gm4788,1,12,49,4,E9Q8B5|E9Q8B6,MOUSE,102688.5,61.7,9,9.2,789.77,69.54,,879,Predicted gene 4788,,,,4,12,12600000000,6.8%
E9PUM5,0.838778687,0.1554,1.37328047,-0.118083333,0.728906718,-0.365844994,0.325,0.1275,,0.226,-0.286,0.3845,E9PUM5,NotFound,E9PUM5_NotFound,E9PUM5,Gm4788,1,1,45,1,E9PUM5,MOUSE,94467.4,61.6,9,9.3,727.88,16.01,,808,Predicted gene 4788,,,,1,1,27800000,2.5%
Q4LDF6,0.445011431,-0.0566,7.365834602,0.461083333,0.183407267,1.534142339,-0.534,-0.1325,,0.383,0.016,-0.0155,Q4LDF6,Cfhr2,Q4LDF6_Cfhr2,Q4LDF6,Cfhr2,1,11,17,5,Q4LDF6|Q61405,MOUSE,39129.7,64.7,9,9.4,286.71,74.34,,332,Complement factor H-related 2,,,,5,11,774000000,21.0%
P20918,0.484255225,0.081916667,6.257785916,0.589166667,0.236712618,1.311101827,-0.608,0.5085,-0.5385,1.054,0.122,-0.0465,P20918,Plg,P20918_Plg,P20918,Plg,1,627,83,83,P20918,MOUSE,93544.9,85.2,10,10.1,1397.85,1397.85,,812,Plasminogen,extracellular region|extracellular space|cell surface|extrinsic component of plasma membrane|extrinsic component of external side of plasma membrane|plasma lipoprotein particle|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,blood coagulation|negative regulation of cell-substrate adhesion|negative regulation of angiogenesis|extracellular matrix disassembly|tissue regeneration|fibrinolysis|myoblast differentiation|muscle cell cellular homeostasis|tissue remodeling|proteolysis involved in cellular protein catabolic process|negative regulation of fibrinolysis|positive regulation of fibrinolysis|trophoblast giant cell differentiation|labyrinthine layer blood vessel development|mononuclear cell migration|,fibronectin binding|serine-type endopeptidase activity|receptor binding|protein domain specific binding|apolipoprotein binding|,83,627,4.89E+12,85.2%
E9PZD8,0.688993262,0.033416667,3.109763882,0.268833333,0.488678927,0.735948125,-0.805,0.0715,0.4305,0.274,0.239,-0.0095,E9PZD8,Cp,E9PZD8_Cp,E9PZD8,Cp,1,524,76,1,E9PZD8|Q61147,MOUSE,125007.5,59,11,11.1,1354.8,15.24,,1086,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,76,524,1.93E+12,59.0%
G3X8Q5,0.544926169,0.3082,5.186574249,-0.31425,0.302930202,-1.143073553,0.453,0.5405,,0.205,0.374,-0.0315,G3X8Q5,Cp,G3X8Q5_Cp,G3X8Q5,Cp,1,6,76,1,G3X8Q5|G3X9T8,MOUSE,124936.5,58.9,11,11.2,1352.92,13.36,,1085,Ceruloplasmin,extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|,copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|chaperone binding|,1,6,1590000000,1.0%
B8JJN0,0.662037385,-0.006916667,3.412145484,0.226166667,0.455811682,0.795314629,-0.461,-0.0145,0.1155,0.446,-0.138,0.0105,B8JJN0,NotFound,B8JJN0_NotFound,B8JJN0,Gm20547,1,397,87,62,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|Q9WTX6,MOUSE,144605,52.1,12,12.1,1322.14,935.17,,1276,Predicted gene 20547,,proteolysis|,serine-type endopeptidase activity|,87,397,7.83E+11,52.1%
P21180,0.796996071,0.0494,1.970176072,0.16025,0.635305175,0.503388882,-0.074,-0.0195,,0.476,-0.224,0.0885,P21180,C2,P21180_C2,P21180,C2,1,25,35,10,P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,85995.1,46.1,12,12.2,508.49,121.52,,760,Complement C2,extracellular exosome|,"proteolysis|complement activation|complement activation, classical pathway|response to nutrient|innate immune response|positive regulation of apoptotic cell clearance|",serine-type endopeptidase activity|metal ion binding|,10,25,24500000000,15.6%
P07724,0.971784399,-0.008583333,0.190275673,-0.019833333,0.957133314,-0.055962063,-0.442,-0.2615,0.7075,-0.031,-0.108,0.0835,P07724,Alb,P07724_Alb,P07724,Alb,1,665,71,69,P07724,MOUSE,70745.2,87.5,13,13.1,1232.45,1189.55,,608,Serum albumin,extracellular region|extracellular space|nucleus|cytoplasm|myelin sheath|protein complex|extracellular exosome|blood microparticle|,retina homeostasis|transport|cellular response to starvation|hemolysis by symbiont of host erythrocytes|negative regulation of apoptotic process|maintenance of mitochondrion location|,DNA binding|fatty acid binding|drug binding|toxic substance binding|pyridoxal phosphate binding|metal ion binding|chaperone binding|oxygen binding|,71,665,1.02E+13,87.5%
P02769,0.262291975,0.613916667,12.7631855,-0.870833333,0.052927508,-2.387206892,1.009,1.1065,1.0325,0.92,-0.298,-0.0865,P02769,NotFound,P02769_NotFound,P02769,ALB,1,10,8,6,P02769,BOVIN,71289,14.9,13,13.2,96.66,53.76,,607,Serum albumin,,,,6,10,1330000000,10.5%
O88783,0.933745622,0.186583333,0.529232158,-0.046166667,0.885272114,-0.150339916,-0.204,0.1345,0.6985,0.366,0.148,-0.0235,O88783,F5,O88783_F5,O88783,F5,1,219,78,78,O88783,MOUSE,248366.9,35.3,14,14.1,1111.77,1111.77,,2183,Coagulation factor V,extracellular space|membrane|platelet alpha granule|extracellular vesicle|,blood coagulation|blood circulation|platelet activation|,copper ion binding|,78,219,71500000000,35.3%
Q80YQ1,0.606693779,0.582916667,4.104009136,-0.888166667,0.388686168,-0.928607053,3.148,0.0385,-0.1055,0.795,0.325,-0.7035,Q80YQ1,Thbs1,Q80YQ1_Thbs1,Q80YQ1,Thbs1,1,315,65,65,Q80YQ1|P35441|Q03350,MOUSE,133681.8,53.1,15,15.1,995.93,995.93,,1171,Thrombospondin-1,fibrinogen complex|extracellular space|external side of plasma membrane|cell surface|secretory granule|extracellular matrix|platelet alpha granule|extracellular exosome|extracellular matrix|,activation of MAPK activity|negative regulation of endothelial cell proliferation|negative regulation of cell-matrix adhesion|sprouting angiogenesis|chronic inflammatory response|negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II|negative regulation of dendritic cell antigen processing and presentation|outflow tract morphogenesis|endocardial cushion development|growth plate cartilage development|inflammatory response|immune response|cell cycle arrest|cell adhesion|response to glucose|positive regulation of endothelial cell migration|negative regulation of endothelial cell migration|negative regulation of plasma membrane long-chain fatty acid transport|negative regulation of nitric oxide mediated signal transduction|negative regulation of cGMP-mediated signaling|negative regulation of plasminogen activation|positive regulation of fibroblast migration|positive regulation of cell-substrate adhesion|cell migration|negative regulation of angiogenesis|peptide cross-linking|positive regulation of blood coagulation|positive regulation of cell migration|positive regulation of transforming growth factor beta receptor signaling pathway|regulation of cGMP metabolic process|response to magnesium ion|negative regulation of interleukin-12 production|negative regulation of fibroblast growth factor receptor signaling pathway|positive regulation of phosphorylation|response to drug|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of blood vessel endothelial cell migration|negative regulation of blood vessel endothelial cell migration|engulfment of apoptotic cell|positive regulation of translation|positive regulation of angiogenesis|blood vessel morphogenesis|positive regulation of chemotaxis|response to calcium ion|positive regulation of protein kinase B signaling|negative regulation of fibrinolysis|cellular response to nitric oxide|positive regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of endothelial cell apoptotic process|positive regulation of reactive oxygen species metabolic process|negative regulation of endothelial cell chemotaxis|,phosphatidylserine binding|fibronectin binding|integrin binding|calcium ion binding|heparin binding|fibroblast growth factor binding|low-density lipoprotein particle binding|laminin binding|extracellular matrix binding|fibrinogen binding|collagen V binding|,66,315,4.49E+11,53.1%
Q5SWU9,0.231440112,0.992416667,14.97637251,-1.573833333,0.031795287,-2.779269369,1.481,1.8945,1.9625,1.414,-0.732,-0.0655,Q5SWU9,Acaca,Q5SWU9_Acaca,Q5SWU9,Acaca,1,159,75,63,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,32.9,16,16.1,928.09,775.79,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,75,159,27400000000,32.9%
E9Q4Z2,0.352083154,1.006916667,9.381752263,-1.198833333,0.115298796,-1.838372564,1.107,1.8355,1.8765,1.765,-0.694,0.1515,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,7,18,6,E9Q4Z2,MOUSE,278141.4,8.4,16,16.2,214.71,62.41,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,6,7,56400000,2.8%
Q9DBD0,0.729414454,0.076083333,2.709253301,0.202833333,0.535888787,0.655210495,-0.492,-0.0215,0.4375,0.363,0.191,-0.0215,Q9DBD0,1300017J02Rik,Q9DBD0_1300017J02Rik,Q9DBD0,Ica,1,300,58,58,Q9DBD0|D3YY36,MOUSE,78761.2,66.7,17,17.1,909.6,909.6,,700,Inhibitor of carbonic anhydrase,extracellular space|,negative regulation of catalytic activity|,enzyme inhibitor activity|iron ion binding|,58,300,6.58E+11,66.7%
A6X935,0.543702736,-0.06925,5.242164679,0.258833333,0.299077356,1.133180479,-0.179,-0.2195,-0.1975,0.303,-0.136,0.0135,A6X935,Itih4,A6X935_Itih4,A6X935,Itih4,1,258,55,1,A6X935|A6X935-2|E9Q5L2,MOUSE,104828.7,63.8,18,18.1,891.16,24.1,,942,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,acute-phase response|negative regulation of endopeptidase activity|hyaluronan metabolic process|response to cytokine|,serine-type endopeptidase inhibitor activity|protein binding|calcium ion binding|hyaluronic acid binding|,55,258,5.43E+11,63.8%
E9PVD2,0.890608531,0.0472,0.917875541,0.08325,0.809491785,0.253660377,0.365,-0.3705,,0.171,0.082,-0.0115,E9PVD2,Itih4,E9PVD2_Itih4,E9PVD2,Itih4,1,9,55,1,E9PVD2|A0A0R4J1N1,MOUSE,104757.7,63.7,18,18.2,891.16,24.1,,941,"Inter alpha-trypsin inhibitor, heavy chain 4",cytoplasm|plasma membrane|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|calcium ion binding|hyaluronic acid binding|,1,9,5170000000,2.2%
P21614,0.416821309,-0.05775,8.058423697,0.543166667,0.15637151,1.612724019,-0.914,0.0445,-0.1185,0.496,0.183,-0.0375,P21614,Gc,P21614_Gc,P21614,Gc,1,214,49,49,P21614,MOUSE,55196.9,89.2,19,19.1,856.16,856.16,,476,Vitamin D-binding protein,extracellular space|cytosol|axon|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|,female pregnancy|lactation|response to nutrient levels|response to estradiol|vitamin D metabolic process|vitamin transport|,actin binding|vitamin transporter activity|calcidiol binding|,49,214,2.73E+11,89.2%
P06728,0.26133403,-0.192916667,13.03437814,0.562166667,0.049723557,2.432327474,-0.713,-0.3245,-0.3845,0.028,0.216,0.0205,P06728,Apoa4,P06728_Apoa4,P06728,Apoa4,1,584,50,50,P06728,MOUSE,45028.2,85.8,20,20.1,852.77,852.77,,395,Apolipoprotein A-IV,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|cell surface|,innate immune response in mucosa|cholesterol biosynthetic process|lipid transport|response to lipid hydroperoxide|leukocyte cell-cell adhesion|cholesterol metabolic process|positive regulation of cholesterol esterification|positive regulation of triglyceride catabolic process|removal of superoxide radicals|triglyceride catabolic process|regulation of intestinal cholesterol absorption|neuron projection regeneration|regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|negative regulation of plasma lipoprotein particle oxidation|response to stilbenoid|lipoprotein metabolic process|cholesterol homeostasis|hydrogen peroxide catabolic process|reverse cholesterol transport|multicellular organismal lipid catabolic process|positive regulation of fatty acid biosynthetic process|phosphatidylcholine metabolic process|positive regulation of lipoprotein lipase activity|lipid homeostasis|protein-lipid complex assembly|triglyceride homeostasis|,copper ion binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|phosphatidylcholine binding|protein homodimerization activity|phosphatidylcholine-sterol O-acyltransferase activator activity|,50,584,1.3E+13,85.8%
Q91ZX7,0.785251911,0.001583333,2.087184117,-0.130166667,0.61841724,-0.524109647,-0.109,-0.1015,0.4105,-0.12,-0.093,0.0225,Q91ZX7,Lrp1,Q91ZX7_Lrp1,Q91ZX7,Lrp1,1,119,70,70,A0A0R4J0I9|Q91ZX7|Q3U5J2|Q9JI18|A2API5|E9Q202|D3Z5M3,MOUSE,523675.1,17.3,21,21.1,824.21,824.21,,4545,Prolow-density lipoprotein receptor-related protein 1,nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|,receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|,calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|,70,119,12600000000,17.3%
P32261,0.478310449,0.109583333,6.586189393,0.411166667,0.21947298,1.365911236,-0.522,0.0935,0.1405,0.468,0.512,-0.0345,P32261,Serpinc1,P32261_Serpinc1,P32261,Serpinc1,1,355,56,56,P32261|A0A0A6YX49|A0A0A6YXS8,MOUSE,52516.1,68.3,22,22.1,820.13,820.13,,465,Antithrombin-III,extracellular space|extracellular exosome|blood microparticle|,"response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|",protease binding|serine-type endopeptidase inhibitor activity|heparin binding|,56,355,1.45E+12,68.3%
P19221,0.468261811,-0.11275,6.772830668,0.4445,0.210240767,1.397571538,-0.784,-0.0225,-0.1985,0.48,-0.202,0.0505,P19221,F2,P19221_F2,P19221,F2,1,271,48,48,P19221|H7BX99,MOUSE,71693.8,58.5,23,23.1,791.39,791.39,,618,Prothrombin,extracellular space|cytosol|extracellular matrix|extracellular exosome|blood microparticle|,positive regulation of protein phosphorylation|proteolysis|acute-phase response|cell surface receptor signaling pathway|positive regulation of cell proliferation|regulation of cell shape|response to wounding|regulation of gene expression|positive regulation of phosphatidylinositol 3-kinase signaling|response to inactivity|platelet activation|positive regulation of blood coagulation|positive regulation of cell growth|positive regulation of collagen biosynthetic process|fibrinolysis|negative regulation of proteolysis|negative regulation of astrocyte differentiation|positive regulation of release of sequestered calcium ion into cytosol|cytosolic calcium ion homeostasis|thrombin receptor signaling pathway|cellular response to mechanical stimulus|positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway|positive regulation of reactive oxygen species metabolic process|,serine-type endopeptidase activity|receptor binding|calcium ion binding|protein binding|peptidase activity|thrombospondin receptor activity|,48,271,8.78E+11,58.5%
