id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Liver_Searched..126.126.127.128.129.130.131..No_BirA_4.multimedian,Liver_Searched..127.126.127.128.129.130.131..No_BirA_5.multimedian,Liver_Searched..129.126.127.128.129.130.131..No_BirA_6.multimedian,Liver_Searched..128.126.127.128.129.130.131..XBirA_2.multimedian,Liver_Searched..130.126.127.128.129.130.131..XBirA_3.multimedian,Liver_Searched..131.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Liver_Searched.unique_peptides,Liver_Searched.numSpectra,Liver_Searched.totalIntensity,Liver_Searched.pct_cov
P19096,0.234120725,-0.066,14.67208604,0.456,0.034102907,2.661811246,-0.153,-0.061,-0.668,0.271,0.144,0.071,P19096,Fasn,P19096_Fasn,P19096,Fasn,1,737,153,153,P19096|A0A0U1RNJ1,MOUSE,275162,67.8,5,5.1,2328.71,2328.71,,2504,Fatty acid synthase,cytoplasm|mitochondrion|Golgi apparatus|plasma membrane|membrane|melanosome|glycogen granule|extracellular exosome|,osteoblast differentiation|acetyl-CoA metabolic process|fatty acid biosynthetic process|mammary gland development|oxidation-reduction process|cellular response to interleukin-4|,"[acyl-carrier-protein] S-acetyltransferase activity|[acyl-carrier-protein] S-malonyltransferase activity|3-oxoacyl-[acyl-carrier-protein] synthase activity|3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity|3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity|enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity|oleoyl-[acyl-carrier-protein] hydrolase activity|drug binding|zinc ion binding|myristoyl-[acyl-carrier-protein] hydrolase activity|palmitoyl-[acyl-carrier-protein] hydrolase activity|protein homodimerization activity|poly(A) RNA binding|enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity|3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity|NADPH binding|",153,737,7.7E+11,67.8%
Q3UQ44,0.693581167,-0.006166667,4.649591744,-0.126333333,0.34280001,-1.021705911,0.221,0.101,-0.151,0.032,-0.059,-0.181,Q3UQ44,Iqgap2,Q3UQ44_Iqgap2,Q3UQ44,Iqgap2,1,648,138,131,Q3UQ44|Q3UQP1,MOUSE,181209.2,74,6,6.1,2131.02,2052.03,,1575,Ras GTPase-activating-like protein IQGAP2,cytoplasm|microtubule|microvillus|cell surface|lamellipodium|filopodium|extracellular exosome|filamentous actin|,small GTPase mediated signal transduction|Arp2/3 complex-mediated actin nucleation|positive regulation of GTPase activity|thrombin receptor signaling pathway|,"GTPase activator activity|calmodulin binding|phosphatidylinositol-3,4,5-trisphosphate binding|Rho GTPase binding|Rac GTPase binding|actin filament binding|Arp2/3 complex binding|",138,648,5.42E+11,74.0%
Q9JKF1,0.907855509,0.0165,1.486517175,-0.051,0.710147042,-0.38806068,-0.001,-0.126,0.253,0.15,-0.121,-0.056,Q9JKF1,Iqgap1,Q9JKF1_Iqgap1,Q9JKF1,Iqgap1,1,72,42,35,Q9JKF1,MOUSE,189537.7,31,6,6.2,510.27,431.28,,1657,Ras GTPase-activating-like protein IQGAP1,nucleoplasm|cytoplasm|microtubule|plasma membrane|cell-cell junction|focal adhesion|membrane|lateral plasma membrane|cell junction|axon|growth cone|midbody|ribonucleoprotein complex|extrinsic component of cytoplasmic side of plasma membrane|cell leading edge|slit diaphragm|cytoplasmic ribonucleoprotein granule|neuron projection|extracellular exosome|actin cytoskeleton|microtubule cytoskeleton|,epidermal growth factor receptor signaling pathway|small GTPase mediated signal transduction|fibroblast growth factor receptor signaling pathway|negative regulation of dephosphorylation|cellular response to platelet-derived growth factor stimulus|positive regulation of GTPase activity|cellular response to fibroblast growth factor stimulus|positive regulation of protein kinase activity|platelet-derived growth factor receptor signaling pathway|cellular response to calcium ion|cellular response to epidermal growth factor stimulus|positive regulation of protein serine/threonine kinase activity|glomerular visceral epithelial cell development|neuron projection extension|,"GTPase activator activity|protein binding|calmodulin binding|phosphatidylinositol-3,4,5-trisphosphate binding|Rho GTPase binding|protein kinase binding|protein phosphatase binding|protein complex binding|protein serine/threonine kinase activator activity|Rac GTPase binding|",35,72,7950000000,27.8%
E9QPD7,0.020834966,-0.019,28.18049677,-0.534,0.001520374,-5.15246082,0.192,0.225,0.327,-0.413,-0.31,-0.135,E9QPD7,Pcx,E9QPD7_Pcx,E9QPD7,Pcx,1,2040,130,130,E9QPD7|G5E8R3|Q05920,MOUSE,130571.1,88.8,7,7.1,2071.98,2071.98,,1179,Pyruvate carboxylase,mitochondrion|,pyruvate metabolic process|gluconeogenesis|negative regulation of gene expression|viral RNA genome packaging|positive regulation by host of viral release from host cell|,DNA binding|biotin carboxylase activity|pyruvate carboxylase activity|ATP binding|biotin binding|metal ion binding|,130,2040,4.67E+13,88.8%
Q8BI84,0.000181451,-0.346,58.31188351,2.748,1.47507E-06,16.11413111,-1.636,-1.561,-1.963,0.722,1.186,1.176,Q8BI84,Mia3,Q8BI84_Mia3,Q8BI84,Mia3,1,616,138,77,Q8BI84|Q8BI84-2|Q8BI84-3,MOUSE,214298.7,59.3,8,8.1,2019.99,1208.71,,1930,Transport and Golgi organization protein 1 homolog,endoplasmic reticulum membrane|membrane|integral component of membrane|intracellular membrane-bounded organelle|,chondrocyte development|positive regulation of leukocyte migration|exocytosis|negative regulation of cell adhesion|protein transport|collagen fibril organization|negative regulation of cell migration|positive regulation of bone mineralization|wound healing|,,138,616,7.13E+11,59.3%
E9Q4Z2,0.662092914,0.015333333,5.149950694,0.204,0.30549558,1.110477541,0.072,-0.179,-0.153,0.284,-0.281,0.349,E9Q4Z2,Acacb,E9Q4Z2_Acacb,E9Q4Z2,Acacb,1,639,134,117,E9Q4Z2,MOUSE,278141.4,60.1,9,9.1,1970.91,1731.28,,2448,Acetyl-CoA carboxylase 2,nucleus|mitochondrion|endomembrane system|membrane|,acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|,134,639,6.45E+11,60.1%
Q5SWU9,0.892090805,-0.013,1.725176907,0.048,0.672174928,0.442393988,0.079,-0.019,-0.171,0.12,-0.115,0.028,Q5SWU9,Acaca,Q5SWU9_Acaca,Q5SWU9,Acaca,1,436,131,114,Q5SWU9|Q5SWU9-2,MOUSE,266849.4,58.5,9,9.2,1889.2,1649.57,,2345,Acetyl-CoA carboxylase 1,nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|,tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|,acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|,114,436,2.2E+11,51.2%
P16546,0.140457009,0.016833333,17.97694978,0.487,0.015933274,3.214774699,-0.111,-0.14,-0.429,0.047,0.224,0.51,P16546,NotFound,P16546_NotFound,P16546,Sptan1,1,412,145,1,P16546|P08032,MOUSE,285391,58.5,10,10.1,1950.27,4.57,,2472,"Spectrin alpha chain, non-erythrocytic 1",fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|,actin filament capping|,actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|,146,412,1.52E+11,58.5%
Q91ZX7,0.000181451,-0.153833333,58.39703809,1.535,1.44643E-06,15.89265058,-0.895,-0.83,-1.039,0.524,0.648,0.669,Q91ZX7,Lrp1,Q91ZX7_Lrp1,Q91ZX7,Lrp1,1,444,131,131,A0A0R4J0I9|Q91ZX7|Q3U5J2|D3Z5M3,MOUSE,523675.1,36.3,11,11.1,1744.7,1744.7,,4545,Prolow-density lipoprotein receptor-related protein 1,nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|,receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|,calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|,131,444,1.52E+11,36.3%
Q62261,0.179289466,0.009333333,16.6378378,0.469333333,0.021687836,2.987346757,-0.126,-0.084,-0.466,0.024,0.236,0.472,Q62261,Sptbn1,Q62261_Sptbn1,Q62261,Sptbn1,1,388,121,9,Q62261|A2ASS6-3|Q91XZ2,MOUSE,275074,49.4,12,12.1,1599.58,119.63,,2363,"Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,124,388,1.4E+11,49.4%
Q62261-2,0.522251937,-0.0125,7.781458107,0.215,0.166668754,1.553586757,-0.043,-0.033,-0.284,0.17,-0.148,0.263,Q62261,Sptbn1,Q62261-2_Sptbn1,Q62261-2,Sptbn1,1,4,115,2,Q62261-2,MOUSE,251893.6,51.2,12,12.2,1512.62,27.45,,2363,"Isoform 2 of Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,2,4,84900000,1.4%
Q68FG2,0.457962014,-0.059166667,9.18783527,0.330333333,0.120563674,1.781038343,-0.203,0.099,-0.569,-0.068,0.105,0.281,Q68FG2,Sptbn2,Q68FG2_Sptbn2,Q68FG2,Sptbn2,1,272,109,98,Q68FG2,MOUSE,272173.4,54.2,12,12.3,1551.46,1404.61,,2388,Spectrin beta chain,photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|,synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|,actin binding|structural constituent of cytoskeleton|phospholipid binding|,98,272,2.94E+11,49.4%
A2ASS6,0.189605832,-0.035166667,16.33482694,-0.453,0.023255052,-2.936570559,0.068,0.406,0.1,-0.531,-0.149,-0.105,A2ASS6,NotFound,A2ASS6_NotFound,A2ASS6,Ttn,1,8,9,6,A2ASS6|E9Q8K5|E9Q8N1|A2ASS6-2,MOUSE,3935740.7,0.3,12,12.5,54.19,30.82,,35213,Titin,nucleus|cytoplasm|,somitogenesis|protein phosphorylation|heart development|regulation of relaxation of cardiac muscle|,protein serine/threonine kinase activity|protein binding|calmodulin binding|ATP binding|ankyrin binding|metal ion binding|,6,8,2820000000,0.2%
Q8CC88,0.51414471,0.017833333,7.942088776,-0.241,0.160616857,-1.579775176,0.358,0.216,-0.159,0.004,-0.071,-0.241,Q8CC88,Vwa8,Q8CC88_Vwa8,Q8CC88,Vwa8,1,409,104,36,Q8CC88|Q8CC88-3,MOUSE,214501.4,58.7,13,13.1,1589.05,523.53,,1905,von Willebrand factor A domain-containing protein 8,extracellular region|mitochondrion|,metabolic process|,ATP binding|ATPase activity|,104,409,2.6E+11,58.7%
Q8CC88-2,0.392624283,-0.019833333,10.55291887,-0.308333333,0.088045692,-1.999381678,0.325,0.16,-0.082,-0.09,-0.01,-0.422,Q8CC88,Vwa8,Q8CC88-2_Vwa8,Q8CC88-2,Vwa8,1,6,69,2,Q8CC88-2,MOUSE,116696.4,67.7,13,13.2,1080.89,29.67,,1905,Isoform 2 of von Willebrand factor A domain-containing protein 8,extracellular region|mitochondrion|,metabolic process|,ATP binding|ATPase activity|,2,6,3570000000,2.7%
Q80X90,0.864103982,0.000833333,2.166154912,-0.043,0.60727375,-0.539086151,0.051,0.023,-0.007,0.028,-0.037,-0.053,Q80X90,Flnb,Q80X90_Flnb,Q80X90,Flnb,1,331,112,105,Q80X90,MOUSE,280272.8,51.6,14,14.1,1559.58,1456.59,,2602,Filamin-B,stress fiber|cytoplasm|plasma membrane|brush border|focal adhesion|cell cortex|Z disc|extracellular exosome|,keratinocyte development|epithelial cell morphogenesis|skeletal muscle tissue development|actin cytoskeleton organization|,actin binding|protein binding|identical protein binding|poly(A) RNA binding|,112,331,91200000000,51.6%
Q8BTM8,0.993378838,0.028833333,0.112220469,-0.005,0.974491271,-0.03320335,-0.114,-0.084,0.292,0.175,-0.176,0.08,Q8BTM8,Flna,Q8BTM8_Flna,Q8BTM8,Flna,1,144,59,53,Q8BTM8|B7FAU9|Q8BTM8-2,MOUSE,284069.1,27.9,14,14.2,779.93,707.8,,2647,Filamin-A,nucleus|nucleolus|cytoplasm|trans-Golgi network|plasma membrane|brush border|focal adhesion|cell cortex|actin cytoskeleton|membrane|Myb complex|actin filament bundle|extracellular exosome|,epithelial to mesenchymal transition|adenylate cyclase-inhibiting dopamine receptor signaling pathway|negative regulation of transcription from RNA polymerase I promoter|actin cytoskeleton organization|actin cytoskeleton reorganization|protein localization to cell surface|negative regulation of protein catabolic process|cilium assembly|positive regulation of transcription factor import into nucleus|negative regulation of apoptotic process|receptor clustering|positive regulation of I-kappaB kinase/NF-kappaB signaling|negative regulation of sequence-specific DNA binding transcription factor activity|early endosome to late endosome transport|establishment of protein localization|protein stabilization|cytoplasmic sequestering of protein|actin crosslink formation|platelet aggregation|mitotic spindle assembly|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of integrin-mediated signaling pathway|,glycoprotein binding|actin binding|signal transducer activity|protein kinase C binding|protein binding|transcription factor binding|Rho GTPase binding|Ral GTPase binding|small GTPase binding|Fc-gamma receptor I complex binding|protein homodimerization activity|poly(A) RNA binding|Rac GTPase binding|actin filament binding|,53,144,28600000000,26.4%
Q8VHX6,0.029284048,-0.1125,26.44275633,0.837,0.002268425,4.810221481,-0.652,-0.767,-0.174,0.313,0.454,0.151,Q8VHX6,Flnc,Q8VHX6_Flnc,Q8VHX6,Flnc,1,4,11,2,Q8VHX6|Q8VHX6-2,MOUSE,293738.4,4.3,14,14.3,135.64,9.4,,2726,Filamin-C,cytoplasm|plasma membrane|focal adhesion|actin cytoskeleton|Z disc|sarcolemma|,actin filament-based process|muscle fiber development|,actin binding|cytoskeletal protein binding|ankyrin binding|actin filament binding|,2,4,225000000,0.9%
P01027,0.020324029,-0.005166667,28.32186306,0.775666667,0.001471681,5.212266409,-0.445,-0.487,-0.247,0.246,0.225,0.677,P01027,C3,P01027_C3,P01027,C3,1,423,106,90,P01027|P01027-2,MOUSE,188021,65.4,15,15.1,1534.94,1345.96,,1663,Complement C3,extracellular space|extracellular exosome|blood microparticle|,"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|",endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|,106,423,3.52E+11,65.4%
