"","id","adj.P.Val.xBirA.over.NoBirA","AveExpr.xBirA.over.NoBirA","Log.P.Value.xBirA.over.NoBirA","logFC.xBirA.over.NoBirA","P.Value.xBirA.over.NoBirA","t.xBirA.over.NoBirA","Liver_Searched..126.126.127.128.129.130.131..No_BirA_4.multimedian","Liver_Searched..127.126.127.128.129.130.131..No_BirA_5.multimedian","Liver_Searched..129.126.127.128.129.130.131..No_BirA_6.multimedian","Liver_Searched..128.126.127.128.129.130.131..XBirA_2.multimedian","Liver_Searched..130.126.127.128.129.130.131..XBirA_3.multimedian","Liver_Searched..131.126.127.128.129.130.131..XBirA_1.multimedian","id.query","id.mapped","id.concat","accession_number","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Liver_Searched.unique_peptides","Liver_Searched.numSpectra","Liver_Searched.totalIntensity","Liver_Searched.pct_cov"
"2836","D3Z4E2",0.000244416,-0.500166667,55.30218321,2.740333333,2.94973e-06,14.88763945,-1.734,-1.616,-2.261,0.808,1.043,0.759,"D3Z4E2","NotFound","D3Z4E2_NotFound","D3Z4E2","Nrn1",1,6,2,2,"D3Z4E2|A0A286YD56|Q8CFV4","MOUSE",17406.3,17,2530,2530.1,27.94,27.94,NA,158,"Neuritin","alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|","axonogenesis|","",2,6,1.26e+09,"17.0%"
"3062","P42703-2",0.003240647,-0.346833333,37.84062298,2.733,0.000164414,7.753156653,-2.112,-2.127,-0.901,0.88,0.823,1.356,"P42703","Lifr","P42703-2_Lifr","P42703-2","Lifr",1,8,3,3,"P42703-2|P42703","MOUSE",82255.7,4.7,2761,2761.1,22.6,22.6,NA,1092,"Isoform 2 of Leukemia inhibitory factor receptor","plasma membrane|integral component of membrane|receptor complex|extracellular exosome|","positive regulation of cell proliferation|negative regulation of muscle cell apoptotic process|response to organic cyclic compound|cytokine-mediated signaling pathway|organ regeneration|response to cytokine|oncostatin-M-mediated signaling pathway|neuron projection morphogenesis|leukemia inhibitory factor signaling pathway|ciliary neurotrophic factor-mediated signaling pathway|","leukemia inhibitory factor receptor activity|ciliary neurotrophic factor receptor binding|protein binding|growth factor binding|cytokine binding|protein heterodimerization activity|ciliary neurotrophic factor receptor activity|oncostatin-M receptor activity|",3,8,7.04e+09,"4.7%"
"160","A11111",0.000305594,-0.224,52.67330695,2.729333333,5.40343e-06,13.52520311,-1.469,-1.529,-1.768,0.704,1.438,1.28,"A11111","NotFound","A11111_NotFound","A11111","A11111",1,268,36,36,"A11111|P06709","MOUSE",39099.5,82,104,104.1,651.83,651.83,NA,NA,"BirAG3ER","","","",36,268,8.77e+11,"82.0%"
"15","Q8BI84",0.000159297,-0.337333333,58.58246624,2.718666667,1.38597e-06,16.77104681,-1.629,-1.588,-1.873,0.695,1.194,1.177,"Q8BI84","Mia3","Q8BI84_Mia3","Q8BI84","Mia3",1,616,138,77,"Q8BI84|Q8BI84-2|Q8BI84-3","MOUSE",214298.7,59.3,8,8.1,2019.99,1208.71,NA,1930,"Transport and Golgi organization protein 1 homolog","endoplasmic reticulum membrane|membrane|integral component of membrane|intracellular membrane-bounded organelle|","chondrocyte development|positive regulation of leukocyte migration|exocytosis|negative regulation of cell adhesion|protein transport|collagen fibril organization|negative regulation of cell migration|positive regulation of bone mineralization|wound healing|","",138,616,7.13e+11,"59.3%"
"1538","Q8R1V4",0.001030963,-0.485666667,44.34769138,2.65,3.67478e-05,9.937128181,-1.609,-1.401,-2.422,0.637,0.923,0.958,"Q8R1V4","Tmed4","Q8R1V4_Tmed4","Q8R1V4","Tmed4",1,13,6,5,"Q8R1V4","MOUSE",26249.7,31.2,1270,1270.2,81.98,64.16,NA,227,"Transmembrane emp24 domain-containing protein 4","endoplasmic reticulum membrane|integral component of membrane|extracellular exosome|","signal transduction|protein transport|positive regulation of I-kappaB kinase/NF-kappaB signaling|","signal transducer activity|",5,13,1.89e+09,"23.7%"
"1356","Q9DAU1",9.43539e-05,-0.485666667,62.99119104,2.649333333,5.02205e-07,19.66599616,-1.825,-1.571,-2.035,0.742,0.829,0.946,"Q9DAU1","Cnpy3","Q9DAU1_Cnpy3","Q9DAU1","Cnpy3",1,31,7,7,"Q9DAU1|Q9DAU1-2","MOUSE",30936.7,31.1,1100,1100.1,127.62,127.62,NA,276,"Protein canopy homolog 3","endoplasmic reticulum|","innate immune response|","receptor binding|",7,31,1.87e+10,"31.1%"
"526","P14211",0.000257345,-0.431,54.37528913,2.6,3.6515e-06,14.39310073,-1.54,-1.54,-2.113,0.685,0.952,0.97,"P14211","Calr","P14211_Calr","P14211","Calr",1,95,23,23,"P14211","MOUSE",48164.8,52.4,376,376.1,333.53,333.53,NA,416,"Calreticulin","acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|","negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|","glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|",23,95,8.96e+10,"52.4%"
"115","Q91WU0",2.91432e-05,-0.454333333,77.86248576,2.571333333,1.63588e-08,32.63379215,-1.688,-1.735,-1.797,0.78,0.889,0.825,"Q91WU0","Ces1f","Q91WU0_Ces1f","Q91WU0","Ces1f",1,305,43,40,"Q91WU0","MOUSE",62010.5,69.6,74,74.1,741.6,691.03,NA,561,"Carboxylesterase 1F","lipid particle|cytosol|","short-chain fatty acid catabolic process|","hydrolase activity|",43,305,5.34e+11,"69.6%"
"49","O08601-2",0.000269332,-0.3825,53.96959609,2.543,4.00904e-06,14.18157776,-1.502,-1.438,-2.022,0.987,0.991,0.689,"O08601","Mttp","O08601-2_Mttp","O08601-2","Mttp",1,435,75,75,"O08601-2|O08601","MOUSE",101433.7,73,30,30.1,1161.02,1161.02,NA,894,"Isoform 2 of Microsomal triglyceride transfer protein large subunit","endoplasmic reticulum|rough endoplasmic reticulum|Golgi apparatus|basolateral plasma membrane|brush border membrane|microvillus membrane|membrane-bounded vesicle|receptor complex|","protein lipidation|lipid metabolic process|triglyceride metabolic process|lipid transport|circadian rhythm|cholesterol metabolic process|lipoprotein metabolic process|cholesterol homeostasis|lipoprotein transport|response to calcium ion|","lipid transporter activity|protein binding|lipid binding|apolipoprotein binding|protein heterodimerization activity|",75,435,6e+11,"73.0%"
"1183","P57759",0.000269332,-0.522333333,53.60036502,2.541333333,4.36479e-06,13.99162223,-1.61,-1.553,-2.216,0.702,0.765,0.778,"P57759","Erp29","P57759_Erp29","P57759","Erp29",1,34,12,12,"P57759|D6RG87|F8WIM7|F8WJI4","MOUSE",28879.8,48,942,942.1,151.59,151.59,NA,262,"Endoplasmic reticulum resident protein 29","endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cell surface|membrane|transport vesicle|melanosome|extracellular exosome|","activation of MAPK activity|positive regulation of protein phosphorylation|ER to Golgi vesicle-mediated transport|protein secretion|positive regulation of gene expression|negative regulation of gene expression|negative regulation of protein secretion|regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway|","protein homodimerization activity|chaperone binding|",12,34,1.4e+10,"48.0%"
"70","P08003",0.000333311,-0.438666667,52.22786495,2.533333333,5.98706e-06,13.30633141,-1.565,-1.428,-2.123,0.703,0.818,0.963,"P08003","Pdia4","P08003_Pdia4","P08003","Pdia4",1,338,67,66,"A0A0R4J0Z1|P08003|F1MEN8|Q29RV1","MOUSE",72323.4,70.5,46,46.1,980.42,964.42,NA,638,"Protein disulfide-isomerase A4","endoplasmic reticulum|endoplasmic reticulum lumen|cell surface|endoplasmic reticulum chaperone complex|melanosome|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|chaperone-mediated protein folding|","protein disulfide isomerase activity|poly(A) RNA binding|",66,338,3.87e+11,"70.5%"
"902","Q6XLQ8",0.000187112,-0.377666667,56.99931444,2.490666667,1.99558e-06,15.8352929,-1.717,-1.343,-1.809,0.65,0.985,0.968,"Q6XLQ8","Calu","Q6XLQ8_Calu","Q6XLQ8","Calu",1,5,13,2,"Q6XLQ8","MOUSE",37231.2,46.6,690,690.2,177.1,19.26,NA,315,"Calumenin","endoplasmic reticulum|membrane|","","calcium ion binding|",2,5,9e+08,"6.9%"
"947","Q9ERE7",5.50868e-05,-0.398833333,67.81201688,2.480333333,1.655e-07,23.15913917,-1.641,-1.807,-1.469,0.781,0.897,0.846,"Q9ERE7","Mesd","Q9ERE7_Mesd","Q9ERE7","Mesd",1,48,13,13,"Q9ERE7","MOUSE",25320.3,45.5,729,729.1,194.32,194.32,NA,224,"LRP chaperone MESD","endoplasmic reticulum|plasma membrane|","protein folding|mesoderm development|Wnt signaling pathway|protein localization to cell surface|","protein binding|low-density lipoprotein particle receptor binding|",13,48,4.69e+10,"45.5%"
"557","P35564",0.000186486,-0.461,57.37100953,2.454,1.83189e-06,16.05039117,-1.517,-1.517,-2.03,0.752,0.818,0.728,"P35564","Canx","P35564_Canx","P35564","Canx",1,67,22,22,"P35564","MOUSE",67676.1,42.1,400,400.1,315.74,315.74,NA,591,"Calnexin","endoplasmic reticulum|endoplasmic reticulum membrane|smooth endoplasmic reticulum|rough endoplasmic reticulum|ribosome|membrane|integral component of membrane|axon|dendrite cytoplasm|melanosome|neuronal cell body|dendritic spine|myelin sheath|protein complex|ER-mitochondrion membrane contact site|extracellular exosome|integral component of lumenal side of endoplasmic reticulum membrane|","aging|synaptic vesicle endocytosis|chaperone-mediated protein folding|clathrin-mediated endocytosis|","glycoprotein binding|calcium ion binding|protein binding|carbohydrate binding|apolipoprotein binding|ionotropic glutamate receptor binding|poly(A) RNA binding|unfolded protein binding|",22,67,4.22e+10,"42.1%"
"1537","Q99KF1",0.000242393,-0.427,55.44046029,2.448666667,2.85729e-06,14.96278433,-1.613,-1.368,-1.973,0.676,0.805,0.911,"Q99KF1","Tmed9","Q99KF1_Tmed9","Q99KF1","Tmed9",1,27,8,7,"Q99KF1|A0A286YDS5","MOUSE",27240.8,29.7,1270,1270.1,105.98,88.16,NA,235,"Transmembrane emp24 domain-containing protein 9","Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|integral component of membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|extracellular exosome|","Golgi organization|positive regulation of organelle organization|protein transport|COPI coating of Golgi vesicle|","syntaxin binding|",8,27,9.49e+09,"29.7%"
"43","Q91ZV0",0.000697718,-0.199333333,46.95140524,2.386,2.01771e-05,10.95233357,-1.228,-1.267,-1.682,0.557,1.239,1.185,"Q91ZV0","Mia2","Q91ZV0_Mia2","Q91ZV0","Mia2",1,325,80,80,"A0A1W2P711|Q91ZV0|H3BJS0|E9Q3S2|Q8R311|H3BKH2|H3BK48|E9PY90|H3BK44|H3BJI6|H3BL19|H3BKL6|Q91ZV0-2","MOUSE",157029.1,57.3,25,25.1,1195.21,1195.21,NA,1396,"Melanoma inhibitory activity protein 2","extracellular region|endoplasmic reticulum exit site|","cholesterol homeostasis|triglyceride homeostasis|","",80,325,2.61e+11,"57.3%"
"901","O35887",0.000187112,-0.415,57.00313218,2.386,1.99382e-06,15.83748814,-1.407,-1.5,-1.917,0.65,0.819,0.865,"O35887","Calu","O35887_Calu","O35887","Calu",1,34,14,3,"O35887|G3UWR0|G3UWV3|G3V004","MOUSE",37177.2,48.2,690,690.1,203.65,45.81,NA,315,"Calumenin","extracellular region|endoplasmic reticulum|endoplasmic reticulum lumen|membrane|sarcoplasmic reticulum lumen|melanosome|","peripheral nervous system axon regeneration|response to organic cyclic compound|negative regulation of catalytic activity|","enzyme inhibitor activity|calcium ion binding|enzyme binding|",14,34,2.23e+10,"48.2%"
"88","Q8VCC2",5.50868e-05,-0.370333333,67.7357971,2.34,1.6843e-07,23.01727123,-1.48,-1.463,-1.678,0.764,0.923,0.712,"Q8VCC2","Ces1g","Q8VCC2_Ces1g","Q8VCC2","Ces1",1,148,31,28,"Q8VCC2","MOUSE",63078.1,68.3,56,56.2,494.3,446.52,NA,565,"Liver carboxylesterase 1","endoplasmic reticulum lumen|","metabolic process|","carboxylic ester hydrolase activity|",28,148,3.19e+11,"64.6%"
"101","P27773",0.000247287,-0.365,54.91954111,2.280666667,3.22141e-06,14.68156112,-1.443,-1.267,-1.806,0.689,0.707,0.93,"P27773","Pdia3","P27773_Pdia3","P27773","Pdia3",1,280,50,50,"P27773|A5D7E8|P38657","MOUSE",57133.7,68.9,67,67.1,773.01,773.01,NA,505,"Protein disulfide-isomerase A3","nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|focal adhesion|cell surface|melanosome|myelin sheath|extracellular exosome|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|positive regulation of extrinsic apoptotic signaling pathway|","protein disulfide isomerase activity|protein binding|poly(A) RNA binding|",50,280,4.45e+11,"68.9%"
"251","Q02819",0.000179344,-0.295666667,57.92978465,2.276666667,1.61073e-06,16.37902064,-1.373,-1.307,-1.622,0.63,1.042,0.856,"Q02819","Nucb1","Q02819_Nucb1","Q02819","Nucb1",1,146,35,35,"Q02819|A0A1C7CYU3","MOUSE",53407.7,66.2,168,168.1,533.38,533.38,NA,459,"Nucleobindin-1","extracellular space|nucleus|early endosome|rough endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi-associated vesicle|cis-Golgi network|trans-Golgi network|microtubule cytoskeleton|membrane|Golgi cisterna membrane|extracellular exosome|extrinsic component of Golgi membrane|lumenal side of Golgi membrane|","response to cisplatin|regulation of protein targeting|","G-protein alpha-subunit binding|DNA binding|calcium ion binding|",35,146,8.84e+10,"66.2%"
"492","Q63880",0.000114593,-0.282,60.59998875,2.24,8.70966e-07,18.04072568,-1.472,-1.364,-1.37,0.697,0.728,1.089,"Q63880","Ces3a","Q63880_Ces3a","Q63880","Ces3a",1,162,22,10,"Q63880|Q63880-2","MOUSE",63715.9,46.2,349,349.1,354.29,189.74,NA,571,"Carboxylesterase 3A","endoplasmic reticulum lumen|extracellular exosome|","metabolic process|","carboxylic ester hydrolase activity|",22,162,7.82e+11,"46.2%"
"116","Q64176",0.001942774,-0.2225,40.51580277,2.230333333,8.88014e-05,8.594865288,-1.221,-1.117,-1.675,0.586,1.427,0.665,"Q64176","Ces1e","Q64176_Ces1e","Q64176","Ces1e",1,73,21,18,"Q64176|H3BL34|D3Z298","MOUSE",61865.8,47.6,74,74.2,338.85,288.28,NA,562,"Carboxylesterase 1E","endoplasmic reticulum lumen|","metabolic process|","carboxylic ester hydrolase activity|",18,73,3.53e+10,"41.6%"
"1386","Q9CYA0",0.000463165,-0.120666667,49.47340274,2.228,1.12891e-05,12.02471152,-1.115,-1.434,-1.155,0.727,0.882,1.371,"Q9CYA0","Creld2","Q9CYA0_Creld2","Q9CYA0","Creld2",1,26,11,11,"Q9CYA0","MOUSE",40386.9,40,1127,1127.1,124.87,124.87,NA,350,"Cysteine-rich with EGF-like domain protein 2","extracellular space|endoplasmic reticulum|Golgi apparatus|","","calcium ion binding|",11,26,6.97e+09,"40.0%"
"1691","Q9CQU0",0.00095391,-0.1725,44.89979768,2.213666667,3.23609e-05,10.14503461,-1.155,-1.11,-1.573,0.585,1.335,0.883,"Q9CQU0","Txndc12","Q9CQU0_Txndc12","Q9CQU0","Txndc12",1,19,6,6,"Q9CQU0","MOUSE",19219.4,40.5,1414,1414.1,88.01,88.01,NA,170,"Thioredoxin domain-containing protein 12","endoplasmic reticulum lumen|","cell redox homeostasis|oxidation-reduction process|","protein-disulfide reductase (glutathione) activity|",6,19,8.62e+09,"40.5%"
"330","Q8BK48",0.000101298,-0.349666667,62.03792299,2.210666667,6.25472e-07,19.00175407,-1.386,-1.303,-1.676,0.825,0.713,0.729,"Q8BK48","Ces2e","Q8BK48_Ces2e","Q8BK48","Ces2e",1,141,30,23,"Q8BK48|F6Z9B9|Q08ED5|Q149K3","MOUSE",62716,62.4,223,223.1,461.09,379.17,NA,559,"Pyrethroid hydrolase Ces2e","endoplasmic reticulum|","metabolic process|","carboxylic ester hydrolase activity|",30,141,1.72e+11,"62.4%"
"493","Q8VCU1",0.001240397,-0.218833333,43.31150441,2.208333333,4.66498e-05,9.557149135,-1.182,-1.056,-1.731,0.818,0.597,1.241,"Q8VCU1","Ces3b","Q8VCU1_Ces3b","Q8VCU1","Ces3b",1,53,22,10,"Q8VCU1|Q8VCU1-2","MOUSE",63751.2,53.5,349,349.2,350.41,185.86,NA,571,"Carboxylesterase 3B","endoplasmic reticulum lumen|extracellular exosome|","metabolic process|","carboxylic ester hydrolase activity|",10,53,8.59e+10,"37.3%"
"2781","Q8BXZ1",0.001810849,-0.303666667,40.92536447,2.204666667,8.08097e-05,8.730343855,-1.585,-1.822,-0.811,0.764,0.893,0.739,"Q8BXZ1","Tmx3","Q8BXZ1_Tmx3","Q8BXZ1","Tmx3",1,11,3,3,"Q8BXZ1","MOUSE",52189.4,7.2,2475,2475.1,29.56,29.56,NA,456,"Protein disulfide-isomerase TMX3","endoplasmic reticulum membrane|cell surface|integral component of membrane|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|","protein disulfide isomerase activity|",3,11,1.65e+10,"7.2%"
"71","Q8BHN3-2",8.03584e-05,-0.308333333,65.26153503,2.184,2.97746e-07,21.12897855,-1.346,-1.293,-1.562,0.684,0.815,0.852,"Q8BHN3","Ganab","Q8BHN3-2_Ganab","Q8BHN3-2","Ganab",1,314,63,4,"Q8BHN3-2|Q8BHN3-3","MOUSE",109858.4,62.4,47,47.1,966.89,67.36,NA,944,"Isoform 2 of Neutral alpha-glucosidase AB","endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|","N-glycan processing|","protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",63,314,3.91e+11,"62.4%"
"338","Q8BMK4",5.22077e-05,-0.338166667,69.88983268,2.176333333,1.02569e-07,24.62366992,-1.435,-1.306,-1.538,0.736,0.772,0.742,"Q8BMK4","Ckap4","Q8BMK4_Ckap4","Q8BMK4","Ckap4",1,120,34,34,"Q8BMK4","MOUSE",63748,58.2,227,227.1,459.85,459.85,NA,575,"Cytoskeleton-associated protein 4","endoplasmic reticulum|endoplasmic reticulum membrane|lipid particle|cytoskeleton|plasma membrane|cell surface|integral component of membrane|perinuclear region of cytoplasm|extracellular exosome|","","poly(A) RNA binding|",34,120,4.23e+10,"58.2%"
