Liver_Searched, 126:127, No_BirA_4:No_BirA_5	Liver_Searched, 126:128, No_BirA_4:XBirA_2	Liver_Searched, 126:129, No_BirA_4:No_BirA_6	Liver_Searched, 126:130, No_BirA_4:XBirA_3	Liver_Searched, 126:131, No_BirA_4:XBirA_1	Liver_Searched, 127:126, No_BirA_5:No_BirA_4	Liver_Searched, 127:128, No_BirA_5:XBirA_2	Liver_Searched, 127:129, No_BirA_5:No_BirA_6	Liver_Searched, 127:130, No_BirA_5:XBirA_3	Liver_Searched, 127:131, No_BirA_5:XBirA_1	Liver_Searched, 128:126, XBirA_2:No_BirA_4	Liver_Searched, 128:127, XBirA_2:No_BirA_5	Liver_Searched, 128:129, XBirA_2:No_BirA_6	Liver_Searched, 128:130, XBirA_2:XBirA_3	Liver_Searched, 128:131, XBirA_2:XBirA_1	Liver_Searched, 129:126, No_BirA_6:No_BirA_4	Liver_Searched, 129:127, No_BirA_6:No_BirA_5	Liver_Searched, 129:128, No_BirA_6:XBirA_2	Liver_Searched, 129:130, No_BirA_6:XBirA_3	Liver_Searched, 129:131, No_BirA_6:XBirA_1	Liver_Searched, 130:126, XBirA_3:No_BirA_4	Liver_Searched, 130:127, XBirA_3:No_BirA_5	Liver_Searched, 130:128, XBirA_3:XBirA_2	Liver_Searched, 130:129, XBirA_3:No_BirA_6	Liver_Searched, 130:131, XBirA_3:XBirA_1	Liver_Searched, 131:126, XBirA_1:No_BirA_4	Liver_Searched, 131:127, XBirA_1:No_BirA_5	Liver_Searched, 131:128, XBirA_1:XBirA_2	Liver_Searched, 131:129, XBirA_1:No_BirA_6	Liver_Searched, 131:130, XBirA_1:XBirA_3	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Liver_Searched unique_peptides	Liver_Searched numSpectra	Liver_Searched totalIntensity	Liver_Searched pct_cov
-0.066	-0.4575	0.355	-0.36	-0.2425	0.066	-0.358	0.42	-0.283	-0.1875	0.4575	0.358	0.796	0.13	0.2125	-0.355	-0.42	-0.796	-0.684	-0.6075	0.36	0.283	-0.13	0.684	0.088	0.2425	0.1875	-0.2125	0.6075	-0.088	P19096	P19096	Fasn	1	737	153	153	P19096|A0A0U1RNJ1	MOUSE	275162	67.8	5	5.1	2328.71	2328.71		2504	Fatty acid synthase	cytoplasm|mitochondrion|Golgi apparatus|plasma membrane|membrane|melanosome|glycogen granule|extracellular exosome|	osteoblast differentiation|acetyl-CoA metabolic process|fatty acid biosynthetic process|mammary gland development|oxidation-reduction process|cellular response to interleukin-4|	[acyl-carrier-protein] S-acetyltransferase activity|[acyl-carrier-protein] S-malonyltransferase activity|3-oxoacyl-[acyl-carrier-protein] synthase activity|3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity|3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity|enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity|oleoyl-[acyl-carrier-protein] hydrolase activity|drug binding|zinc ion binding|myristoyl-[acyl-carrier-protein] hydrolase activity|palmitoyl-[acyl-carrier-protein] hydrolase activity|protein homodimerization activity|poly(A) RNA binding|enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity|3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity|NADPH binding|	153	737	7.7e+11	67.8%
0.161	0.2145	0.274	0.279	0.4345	-0.161	0.051	0.121	0.122	0.2615	-0.2145	-0.051	0.062	0.077	0.2135	-0.274	-0.121	-0.062	-0.00900000000000001	0.1055	-0.279	-0.122	-0.077	0.00900000000000001	0.128	-0.4345	-0.2615	-0.2135	-0.1055	-0.128	Q3UQ44	Q3UQ44	Iqgap2	1	648	138	131	Q3UQ44|Q3UQP1	MOUSE	181209.2	74	6	6.1	2131.02	2052.03		1575	Ras GTPase-activating-like protein IQGAP2	cytoplasm|microtubule|microvillus|cell surface|lamellipodium|filopodium|extracellular exosome|filamentous actin|	small GTPase mediated signal transduction|Arp2/3 complex-mediated actin nucleation|positive regulation of GTPase activity|thrombin receptor signaling pathway|	GTPase activator activity|calmodulin binding|phosphatidylinositol-3,4,5-trisphosphate binding|Rho GTPase binding|Rac GTPase binding|actin filament binding|Arp2/3 complex binding|	138	648	5.42e+11	74.0%
0.184	-0.1755	-0.348	0.093	0.0825	-0.184	-0.366	-0.579	-0.068	-0.1115	0.1755	0.366	-0.191	0.25	0.2325	0.348	0.579	0.191	0.454	0.4485	-0.093	0.068	-0.25	-0.454	-0.024	-0.0825	0.1115	-0.2325	-0.4485	0.024	Q9JKF1	Q9JKF1	Iqgap1	1	72	42	35	Q9JKF1	MOUSE	189537.7	31	6	6.2	510.27	431.28		1657	Ras GTPase-activating-like protein IQGAP1	nucleoplasm|cytoplasm|microtubule|plasma membrane|cell-cell junction|focal adhesion|membrane|lateral plasma membrane|cell junction|axon|growth cone|midbody|ribonucleoprotein complex|extrinsic component of cytoplasmic side of plasma membrane|cell leading edge|slit diaphragm|cytoplasmic ribonucleoprotein granule|neuron projection|extracellular exosome|actin cytoskeleton|microtubule cytoskeleton|	epidermal growth factor receptor signaling pathway|small GTPase mediated signal transduction|fibroblast growth factor receptor signaling pathway|negative regulation of dephosphorylation|cellular response to platelet-derived growth factor stimulus|positive regulation of GTPase activity|cellular response to fibroblast growth factor stimulus|positive regulation of protein kinase activity|platelet-derived growth factor receptor signaling pathway|cellular response to calcium ion|cellular response to epidermal growth factor stimulus|positive regulation of protein serine/threonine kinase activity|glomerular visceral epithelial cell development|neuron projection extension|	GTPase activator activity|protein binding|calmodulin binding|phosphatidylinositol-3,4,5-trisphosphate binding|Rho GTPase binding|protein kinase binding|protein phosphatase binding|protein complex binding|protein serine/threonine kinase activator activity|Rac GTPase binding|	35	72	7.95e+09	27.8%
0.007	0.7645	-0.205	0.487	0.3565	-0.007	0.747	-0.25	0.489	0.3395	-0.7645	-0.747	-0.989	-0.248	-0.3795	0.205	0.25	0.989	0.73	0.5955	-0.487	-0.489	0.248	-0.73	-0.125	-0.3565	-0.3395	0.3795	-0.5955	0.125	E9QPD7	E9QPD7	Pcx	1	2040	130	130	E9QPD7|G5E8R3|Q05920	MOUSE	130571.1	88.8	7	7.1	2071.98	2071.98		1179	Pyruvate carboxylase	mitochondrion|	pyruvate metabolic process|gluconeogenesis|negative regulation of gene expression|viral RNA genome packaging|positive regulation by host of viral release from host cell|	DNA binding|biotin carboxylase activity|pyruvate carboxylase activity|ATP binding|biotin binding|metal ion binding|	130	2040	4.67e+13	88.8%
0.047	-2.4135	0.578	-2.861	-2.8405	-0.047	-2.378	0.55	-2.936	-2.9225	2.4135	2.378	2.635	-0.432	-0.3915	-0.578	-0.55	-2.635	-3.138	-3.0825	2.861	2.936	0.432	3.138	0.027	2.8405	2.9225	0.3915	3.0825	-0.027	Q8BI84	Q8BI84	Mia3	1	616	138	77	Q8BI84|Q8BI84-2|Q8BI84-3	MOUSE	214298.7	59.3	8	8.1	2019.99	1208.71		1930	Transport and Golgi organization protein 1 homolog	endoplasmic reticulum membrane|membrane|integral component of membrane|intracellular membrane-bounded organelle|	chondrocyte development|positive regulation of leukocyte migration|exocytosis|negative regulation of cell adhesion|protein transport|collagen fibril organization|negative regulation of cell migration|positive regulation of bone mineralization|wound healing|		138	616	7.13e+11	59.3%
0.325	-0.2335	0.159	0.358	-0.2635	-0.325	-0.551	-0.184	0.013	-0.6205	0.2335	0.551	0.356	0.569	-0.0335	-0.159	0.184	-0.356	0.202	-0.4315	-0.358	-0.013	-0.569	-0.202	-0.602	0.2635	0.6205	0.0335	0.4315	0.602	E9Q4Z2	E9Q4Z2	Acacb	1	639	134	117	E9Q4Z2	MOUSE	278141.4	60.1	9	9.1	1970.91	1731.28		2448	Acetyl-CoA carboxylase 2	nucleus|mitochondrion|endomembrane system|membrane|	acetyl-CoA metabolic process|fatty acid biosynthetic process|positive regulation of lipid storage|negative regulation of fatty acid oxidation|protein homotetramerization|positive regulation of heart growth|malonyl-CoA biosynthetic process|	acetyl-CoA carboxylase activity|biotin carboxylase activity|ATP binding|metal ion binding|	134	639	6.45e+11	60.1%
0.167	-0.0055	0.196	0.224	0.0535	-0.167	-0.206	0.003	0.039	-0.1225	0.0055	0.206	0.186	0.241	0.0885	-0.196	-0.003	-0.186	0.029	-0.1155	-0.224	-0.039	-0.241	-0.029	-0.136	-0.0535	0.1225	-0.0885	0.1155	0.136	Q5SWU9	Q5SWU9	Acaca	1	436	131	114	Q5SWU9|Q5SWU9-2	MOUSE	266849.4	58.5	9	9.2	1889.2	1649.57		2345	Acetyl-CoA carboxylase 1	nucleolus|cytoplasm|mitochondrion|cytosol|actin cytoskeleton|extracellular exosome|	tissue homeostasis|acetyl-CoA metabolic process|lipid metabolic process|fatty acid biosynthetic process|multicellular organismal protein metabolic process|protein homotetramerization|lipid homeostasis|cellular response to prostaglandin E stimulus|malonyl-CoA biosynthetic process|	acetyl-CoA carboxylase activity|biotin carboxylase activity|protein binding|ATP binding|metal ion binding|	114	436	2.2e+11	51.2%
0.087	-0.1645	0.188	-0.368	-0.6255	-0.087	-0.227	0.09	-0.47	-0.7555	0.1645	0.227	0.337	-0.242	-0.4585	-0.188	-0.09	-0.337	-0.56	-0.8065	0.368	0.47	0.242	0.56	-0.22	0.6255	0.7555	0.4585	0.8065	0.22	P16546	P16546	Sptan1	1	412	145	1	P16546|P08032	MOUSE	285391	58.5	10	10.1	1950.27	4.57		2472	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|	actin filament capping|	actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|	146	412	1.52e+11	58.5%
0.055	-1.4615	0.015	-1.528	-1.5405	-0.055	-1.419	-0.085	-1.549	-1.6215	1.4615	1.419	1.389	-0.107	-0.0915	-0.015	0.085	-1.389	-1.461	-1.5295	1.528	1.549	0.107	1.461	-0.002	1.5405	1.6215	0.0915	1.5295	0.002	Q91ZX7	Q91ZX7	Lrp1	1	444	131	131	A0A0R4J0I9|Q91ZX7|Q3U5J2|D3Z5M3	MOUSE	523675.1	36.3	11	11.1	1744.7	1744.7		4545	Prolow-density lipoprotein receptor-related protein 1	nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|	receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|	calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|	131	444	1.52e+11	36.3%
0.002	-0.1235	0.212	-0.388	-0.5785	-0.002	-0.117	0.171	-0.413	-0.6625	0.1235	0.117	0.315	-0.26	-0.4635	-0.212	-0.171	-0.315	-0.592	-0.8225	0.388	0.413	0.26	0.592	-0.207	0.5785	0.6625	0.4635	0.8225	0.207	Q62261	Q62261	Sptbn1	1	388	121	9	Q62261|A2ASS6-3|Q91XZ2	MOUSE	275074	49.4	12	12.1	1599.58	119.63		2363	Spectrin beta chain, non-erythrocytic 1	nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|	mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|	actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|	124	388	1.4e+11	49.4%
0.078	-0.2125	0.018	0.213	-0.1305	-0.078	-0.072	0.233	-0.003	-0.3355	0.2125	0.072	0.212	0.31	-0.1155	-0.018	-0.233	-0.212	0.079	-0.3595	-0.213	0.003	-0.31	-0.079	-0.361	0.1305	0.3355	0.1155	0.3595	0.361	Q62261-2	Q62261-2	Sptbn1	1	4	115	2	Q62261-2	MOUSE	251893.6	51.2	12	12.2	1512.62	27.45		2363	Isoform 2 of Spectrin beta chain, non-erythrocytic 1	nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|	mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|	actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|	2	4	84900000	1.4%
-0.296	-0.1045	0.222	-0.358	-0.5245	0.296	0.203	0.512	-0.07	-0.2455	0.1045	-0.203	0.33	-0.218	-0.3655	-0.222	-0.512	-0.33	-0.574	-0.7695	0.358	0.07	0.218	0.574	-0.152	0.5245	0.2455	0.3655	0.7695	0.152	Q68FG2	Q68FG2	Sptbn2	1	272	109	98	Q68FG2	MOUSE	272173.4	54.2	12	12.3	1551.46	1404.61		2388	Spectrin beta chain	photoreceptor inner segment|extracellular space|cytoplasm|plasma membrane|spectrin|apical plasma membrane|cell junction|neuronal cell body|	synapse assembly|vesicle-mediated transport|cerebellar Purkinje cell layer morphogenesis|adult behavior|multicellular organism growth|	actin binding|structural constituent of cytoskeleton|phospholipid binding|	98	272	2.94e+11	49.4%
-0.353	0.7385	-0.162	0.488	0.1735	0.353	0.898	0.046	0.513	0.4865	-0.7385	-0.898	-0.867	0.057	-0.0995	0.162	-0.046	0.867	0.275	0.7305	-0.488	-0.513	-0.057	-0.275	-0.22	-0.1735	-0.4865	0.0995	-0.7305	0.22	A2ASS6	A2ASS6	Ttn	1	8	9	6	A2ASS6|E9Q8K5|E9Q8N1|A2ASS6-2	MOUSE	3935740.7	0.3	12	12.5	54.19	30.82		35213	Titin	nucleus|cytoplasm|	somitogenesis|protein phosphorylation|heart development|regulation of relaxation of cardiac muscle|	protein serine/threonine kinase activity|protein binding|calmodulin binding|ATP binding|ankyrin binding|metal ion binding|	6	8	2.82e+09	0.2%
0.175	0.3925	0.446	0.441	0.6205	-0.175	0.243	0.269	0.252	0.4245	-0.3925	-0.243	0.023	0.049	0.2425	-0.446	-0.269	-0.023	0.00399999999999999	0.2015	-0.441	-0.252	-0.049	-0.00399999999999999	0.183	-0.6205	-0.4245	-0.2425	-0.2015	-0.183	Q8CC88	Q8CC88	Vwa8	1	409	104	36	Q8CC88|Q8CC88-3	MOUSE	214501.4	58.7	13	13.1	1589.05	523.53		1905	von Willebrand factor A domain-containing protein 8	extracellular region|mitochondrion|	metabolic process|	ATP binding|ATPase activity|	104	409	2.6e+11	58.7%
